generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
39,3,20480,271.61613025004044,75.4005293468647,488.9090344500728,1.4282842735908132e-05,-6.101461686020284,6.101461686020284,1.399625664861808,0.2666084419073893,0.3948025737711588,0.10509084691385921,0.0,13.59921014027524,11.540385436673407,2.672710014847427,21.875141692792134,15.37587952747379,234.43886867593974,2309.189500844539,0.8151606721533309,0.8250266383327319,8.0
40,3,20992,279.86600695800735,75.0073230692492,484.64601204923224,1.4124533095172903e-05,-6.101461686020284,6.101461686020284,1.399625664861808,0.2666084419073893,0.3948025737711588,0.10509084691385921,0.0,13.59921014027524,11.540385436673407,2.672710014847427,21.875141692792134,15.37587952747379,234.43886867593974,2309.189500844539,0.8151606721533309,0.8250266383327319,8.0
41,4,21504,304.657382416015,70.58420783854798,507.76230402669177,1.8166572783490053e-05,-4.568695608477718,4.568695608477718,1.2750528583783656,0.2708558674156666,0.40372445806860924,0.19543627407401798,1.0,5.995367760208802,5.505017980927617,3.7700435263104737,20.44129909016192,14.58388726019398,316.7575282044709,1052.610732614994,0.9963577603921294,0.7355546560138464,6.0
42,4,22016,310.1373985829996,70.98789149773575,497.6623372610924,1.7245173147155595e-05,-4.568695608477718,4.568695608477718,1.2750528583783656,0.2708558674156666,0.40372445806860924,0.19543627407401798,1.0,5.995367760208802,5.505017980927617,3.7700435263104737,20.44129909016192,14.58388726019398,316.7575282044709,1052.610732614994,0.9963577603921294,0.7355546560138464,6.0
43,4,22528,314.87665987503715,71.54547437380886,486.62756526142107,1.6250312679714303e-05,-5.373913119559136,5.373913119559136,1.689233382411301,0.18815582164231487,0.6562023578791252,0.19051526518031373,0.0,6.285409615541842,5.979640812622794,4.1539108410678,21.707062499180452,13.790603868675875,326.69836831088077,1482.1164130535035,0.7669108295813203,0.9254318635860036,6.0
44,4,23040,321.39934187504696,71.6865189131515,478.52790901395883,1.5264939198448053e-05,-5.373913119559136,5.373913119559136,1.689233382411301,0.18815582164231487,0.6562023578791252,0.19051526518031373,0.0,6.285409615541842,5.979640812622794,4.1539108410678,21.707062499180452,13.790603868675875,326.69836831088077,1482.1164130535035,0.7669108295813203,0.9254318635860036,6.0
45,4,23552,328.93009925005026,71.60183897338,471.9431858805069,1.461596777175498e-05,-5.402212791939514,5.402212791939514,1.7664190578349261,0.18021865157894817,0.7395074859541119,0.1353884365968406,0.0,6.7491693180638395,6.654115510742671,3.8512685156094952,22.957973005403087,15.32196673714356,319.28334637811577,2154.464759684613,0.7600682373627415,0.8761650418539584,6.0
46,4,24064,336.02675833302783,71.61334448297347,464.71785726908104,1.4755649291146534e-05,-5.402212791939514,5.402212791939514,1.7664190578349261,0.18021865157894817,0.7395074859541119,0.1353884365968406,0.0,6.7491693180638395,6.654115510742671,3.8512685156094952,22.957973005403087,15.32196673714356,319.28334637811577,2154.464759684613,0.7600682373627415,0.8761650418539584,6.0
47,4,24576,343.56351391604403,71.53262498649839,458.0846852213921,1.4064532082411391e-05,-5.402212791939514,5.402212791939514,1.7664190578349261,0.18021865157894817,0.7395074859541119,0.1353884365968406,0.0,6.7491693180638395,6.654115510742671,3.8512685156094952,22.957973005403087,15.32196673714356,319.28334637811577,2154.464759684613,0.7600682373627415,0.8761650418539584,6.0
48,4,25088,350.69450195803074,71.5380476737625,450.89293108889666,1.3692598944780788e-05,-5.402212791939514,5.402212791939514,1.7664190578349261,0.18021865157894817,0.7395074859541119,0.1353884365968406,0.0,6.7491693180638395,6.654115510742671,3.8512685156094952,22.957973005403087,15.32196673714356,319.28334637811577,2154.464759684613,0.7600682373627415,0.8761650418539584,6.0
49,4,25600,357.4479722499964,71.61881444971677,443.23548558999556,1.3446547097532452e-05,-5.402212791939514,5.402212791939514,1.7664190578349261,0.18021865157894817,0.7395074859541119,0.1353884365968406,0.0,6.7491693180638395,6.654115510742671,3.8512685156094952,22.957973005403087,15.32196673714356,319.28334637811577,2154.464759684613,0.7600682373627415,0.8761650418539584,6.0
50,4,26112,366.33161633304553,71.27967894603076,438.1613450257995,1.3044542574300285e-05,-5.402212791939514,5.402212791939514,1.7664190578349261,0.18021865157894817,0.7395074859541119,0.1353884365968406,0.0,6.7491693180638395,6.654115510742671,3.8512685156094952,22.957973005403087,15.32196673714356,319.28334637811577,2154.464759684613,0.7600682373627415,0.8761650418539584,6.0
51,5,26624,391.33787895803107,68.03328129361913,451.54370649003585,1.7620108084763474e-05,-5.545246037667404,5.545246037667404,1.6880553342565894,0.17977156735956668,0.606367706693709,0.21477721624076362,0.0,9.577330371968468,6.161988833713189,2.9123784583061934,15.759770749136806,10.02967043895788,409.5367149449885,2684.0719655156136,0.7369570792652667,0.7252577813342214,8.0
52,5,27136,396.04762920801295,68.51701158839049,440.883209873071,1.6740537787323448e-05,-5.545246037667404,5.545246037667404,1.6880553342565894,0.17977156735956668,0.606367706693709,0.21477721624076362,0.0,9.577330371968468,6.161988833713189,2.9123784583061934,15.759770749136806,10.02967043895788,409.5367149449885,2684.0719655156136,0.7369570792652667,0.7252577813342214,8.0
53,5,27648,400.8183088750229,68.97888491571072,430.5085539768765,1.6028455846217357e-05,-5.545246037667404,5.545246037667404,1.6880553342565894,0.17977156735956668,0.606367706693709,0.21477721624076362,0.0,9.577330371968468,6.161988833713189,2.9123784583061934,15.759770749136806,10.02967043895788,409.5367149449885,2684.0719655156136,0.7369570792652667,0.7252577813342214,8.0
54,5,28160,405.667242458032,69.41649966453299,420.41877854741495,1.561251697474654e-05,-5.545246037667404,5.545246037667404,1.6880553342565894,0.17977156735956668,0.606367706693709,0.21477721624076362,0.0,9.577330371968468,6.161988833713189,2.9123784583061934,15.759770749136806,10.02967043895788,409.5367149449885,2684.0719655156136,0.7369570792652667,0.7252577813342214,8.0
55,5,28672,410.57462150003994,69.83383409146542,410.57462150003994,1.5275935160572337e-05,-6.184210046977513,6.184210046977513,1.779609060447478,0.17218559094702662,0.33434357854902963,0.22176811488824716,1.0,8.182273695589208,8.038594541097286,2.3843324529371843,12.07106439396739,7.6896812781275745,458.44795996861404,2219.0588135272264,0.9619841893453269,0.8182674306444824,8.0
56,5,29184,414.4348960000207,70.41878056523151,399.8933207017743,1.4443719953790253e-05,-6.184210046977513,6.184210046977513,1.779609060447478,0.17218559094702662,0.33434357854902963,0.22176811488824716,1.0,8.182273695589208,8.038594541097286,2.3843324529371843,12.07106439396739,7.6896812781275745,458.44795996861404,2219.0588135272264,0.9619841893453269,0.8182674306444824,8.0
57,5,29696,418.5508577080327,70.94956193045232,389.68528131437523,1.3560439471211062e-05,-6.184210046977513,6.184210046977513,1.779609060447478,0.17218559094702662,0.33434357854902963,0.22176811488824716,1.0,8.182273695589208,8.038594541097286,2.3843324529371843,12.07106439396739,7.6896812781275745,458.44795996861404,2219.0588135272264,0.9619841893453269,0.8182674306444824,8.0
58,5,30208,423.65117170801386,71.30394536196341,380.56800170380905,1.294988203979904e-05,-6.184210046977513,6.184210046977513,1.779609060447478,0.17218559094702662,0.33434357854902963,0.22176811488824716,1.0,8.182273695589208,8.038594541097286,2.3843324529371843,12.07106439396739,7.6896812781275745,458.44795996861404,2219.0588135272264,0.9619841893453269,0.8182674306444824,8.0
59,5,30720,428.5452331660199,71.68438153668359,371.4058687438839,1.2653554579893875e-05,-6.377377805479311,6.377377805479311,1.739562860384558,0.25149301396398355,0.8181213782719993,0.22280869463299532,0.0,9.687402654259996,8.345283072489968,2.9387677557097103,15.335936125887168,11.809275648314653,326.6983513815896,2873.057614890471,0.7981075472198427,0.8932012212605163,8.0
60,5,31232,434.5735052910168,71.86816411894499,363.33194704658774,1.2691303133989004e-05,-6.377377805479311,6.377377805479311,1.739562860384558,0.25149301396398355,0.8181213782719993,0.22280869463299532,0.0,9.687402654259996,8.345283072489968,2.9387677557097103,15.335936125887168,11.809275648314653,326.6983513815896,2873.057614890471,0.7981075472198427,0.8932012212605163,8.0
61,0,31744,463.5841362500214,68.4751645230581,373.8581743951786,1.3622928605285837e-05,-5.838505514171061,5.838505514171061,1.4727352786794508,0.3040242511225996,0.5272176747770843,0.146246389452461,0.0,14.847188806629601,6.174917009636987,2.708324432375532,20.326274862786256,9.739946902022155,317.24440799014235,2037.1676665193977,0.8040992871308053,0.8173007589462666,8.0
62,0,32256,471.9480353750405,68.34650762846654,367.07069418058705,1.290977477234781e-05,-6.227304090609477,6.227304090609477,1.546933272584313,0.292407749541058,0.6515698902545863,0.09746074467122713,0.0,11.102420716155219,9.794883355125021,1.933037213695723,20.032002486929336,14.497610282596153,285.71970329986164,1614.1094273005174,0.6840954014750984,0.6697303833345001,8.0
63,0,32768,479.76131941599306,68.30062923765517,359.8209895619948,1.2805621795946966e-05,-6.227304090609477,6.227304090609477,1.546933272584313,0.292407749541058,0.6515698902545863,0.09746074467122713,0.0,11.102420716155219,9.794883355125021,1.933037213695723,20.032002486929336,14.497610282596153,285.71970329986164,1614.1094273005174,0.6840954014750984,0.6697303833345001,8.0
64,0,33280,486.72837166604586,68.37489231639465,351.94205335852547,1.2802629778092071e-05,-6.227304090609477,6.227304090609477,1.546933272584313,0.292407749541058,0.6515698902545863,0.09746074467122713,0.0,11.102420716155219,9.794883355125021,1.933037213695723,20.032002486929336,14.497610282596153,285.71970329986164,1614.1094273005174,0.6840954014750984,0.6697303833345001,8.0
65,0,33792,494.8654237500159,68.28523145531021,344.9062044318292,1.2134882677027916e-05,-6.227304090609477,6.227304090609477,1.546933272584313,0.292407749541058,0.6515698902545863,0.09746074467122713,0.0,11.102420716155219,9.794883355125021,1.933037213695723,20.032002486929336,14.497610282596153,285.71970329986164,1614.1094273005174,0.6840954014750984,0.6697303833345001,8.0
66,0,34304,502.3438881660113,68.28788168447555,337.3951487682166,1.1353168431216907e-05,-6.28736638929539,6.28736638929539,1.4328536298578747,0.3414262274636477,0.7053158437110176,0.20735516604706422,0.0,9.369609874828688,7.694429911880125,2.7960282761074984,17.46948997291549,12.711860240555199,307.2976370271646,2940.191320564917,0.9154157486713727,0.723757414784706,8.0
67,0,34816,509.2005078330403,68.37385168401222,329.4826815390261,1.0119419991043387e-05,-6.723223441634039,6.723223441634039,1.7620877778786814,0.31555973879838123,0.8280184838630513,0.22339601043629043,0.0,12.836291862018815,8.603408824133446,2.0463281012878136,15.177647614463767,9.423031672694323,337.9810384108576,2363.336337117618,0.8694646031865273,0.8495333886955149,8.0
68,1,35328,534.8054899160052,66.05766146033486,333.2845806722931,1.3272393381708177e-05,-6.716203634013728,6.716203634013728,1.349564153360409,0.37212044840098635,0.550421742216618,0.11257738958971909,0.0,13.802284142734601,9.911552401883794,3.378378378378378,16.59464467318274,11.59033713382701,443.06199634447694,2468.9087101519845,0.6640747718548514,0.5727615464262241,8.0
69,1,35840,539.683144041046,66.4093373968229,323.8098864246276,1.2781351646264684e-05,-6.716203634013728,6.716203634013728,1.349564153360409,0.37212044840098635,0.550421742216618,0.11257738958971909,0.0,13.802284142734601,9.911552401883794,3.378378378378378,16.59464467318274,11.59033713382701,443.06199634447694,2468.9087101519845,0.6640747718548514,0.5727615464262241,8.0
70,1,36352,544.5598956250469,66.7548240185317,314.46416507925244,1.2581385115105084e-05,-6.716203634013728,6.716203634013728,1.349564153360409,0.37212044840098635,0.550421742216618,0.11257738958971909,0.0,13.802284142734601,9.911552401883794,3.378378378378378,16.59464467318274,11.59033713382701,443.06199634447694,2468.9087101519845,0.6640747718548514,0.5727615464262241,8.0
71,1,36864,549.0208295410266,67.14499344372373,305.01157196723705,1.2053043367020095e-05,-6.716203634013728,6.716203634013728,1.349564153360409,0.37212044840098635,0.550421742216618,0.11257738958971909,0.0,13.802284142734601,9.911552401883794,3.378378378378378,16.59464467318274,11.59033713382701,443.06199634447694,2468.9087101519845,0.6640747718548514,0.5727615464262241,8.0
72,1,37376,554.6356150000356,67.38838795989976,296.31217787673137,1.170293929551457e-05,-6.716203634013728,6.716203634013728,1.349564153360409,0.37212044840098635,0.550421742216618,0.11257738958971909,0.0,13.802284142734601,9.911552401883794,3.378378378378378,16.59464467318274,11.59033713382701,443.06199634447694,2468.9087101519845,0.6640747718548514,0.5727615464262241,8.0
73,1,37888,560.576264250034,67.58759229788011,287.8634870473147,1.1399134084829722e-05,-6.716203634013728,6.716203634013728,1.349564153360409,0.37212044840098635,0.550421742216618,0.11257738958971909,0.0,13.802284142734601,9.911552401883794,3.378378378378378,16.59464467318274,11.59033713382701,443.06199634447694,2468.9087101519845,0.6640747718548514,0.5727615464262241,8.0
74,1,38400,567.2418233750504,67.69599563643351,279.83929953169155,1.0999027704505744e-05,-6.716203634013728,6.716203634013728,1.349564153360409,0.37212044840098635,0.550421742216618,0.11257738958971909,0.0,13.802284142734601,9.911552401883794,3.378378378378378,16.59464467318274,11.59033713382701,443.06199634447694,2468.9087101519845,0.6640747718548514,0.5727615464262241,8.0
75,2,38912,599.660856625007,64.89001169594984,284.04987945395067,1.3099666924904772e-05,-6.269520053324108,6.269520053324108,1.5362607386294076,0.28501798129085126,0.770494415226545,0.22341962784491085,0.0,9.201582951492533,7.444295143644327,3.3783789563422424,18.823691517376982,12.559145175446652,387.0607084385354,1782.5150862336159,0.9372031683011733,0.8199954575711674,6.0
76,2,39424,607.1072198330075,64.93745867631762,275.9578271968216,1.2589631293762441e-05,-6.269520053324108,6.269520053324108,1.5362607386294076,0.28501798129085126,0.770494415226545,0.22341962784491085,0.0,9.201582951492533,7.444295143644327,3.3783789563422424,18.823691517376982,12.559145175446652,387.0607084385354,1782.5150862336159,0.9372031683011733,0.8199954575711674,6.0
77,2,39936,615.1142310410505,64.92452618501491,268.1267160948169,1.212087928196157e-05,-6.269520053324108,6.269520053324108,1.5362607386294076,0.28501798129085126,0.770494415226545,0.22341962784491085,0.0,9.201582951492533,7.444295143644327,3.3783789563422424,18.823691517376982,12.559145175446652,387.0607084385354,1782.5150862336159,0.9372031683011733,0.8199954575711674,6.0
78,2,40448,624.6047427500016,64.75775355453766,260.9108419082285,1.1168035361978715e-05,-6.5189422879816,6.5189422879816,1.800493220456296,0.29008230347122593,0.8243040378488169,0.1545124028404891,1.0,8.498892407933262,6.377892616219644,3.121718841082213,18.141928398024685,12.462335016489641,365.4930628414797,1976.5078417602626,0.9918380257120576,0.8668193073974657,6.0
79,2,40960,632.5657830830314,64.7521587404982,253.02631323321256,9.909881879490607e-06,-6.658122647475315,6.658122647475315,1.8226530388344913,0.2947417148553772,0.8245794908571218,0.14387173053837074,1.0,8.44260181550392,8.14551069194925,3.5661543576058574,15.796857934408724,12.031033204863135,403.5591363330789,1645.1423883161724,0.9502153487231862,0.9480654870599693,6.0
80,2,41472,637.97477458301,65.00570500942882,244.16318533423842,9.751607467433381e-06,-6.658122647475315,6.658122647475315,1.8226530388344913,0.2947417148553772,0.8245794908571218,0.14387173053837074,1.0,8.44260181550392,8.14551069194925,3.5661543576058574,15.796857934408724,12.031033204863135,403.5591363330789,1645.1423883161724,0.9502153487231862,0.9480654870599693,6.0
81,2,41984,644.0868442500359,65.1837564682531,235.64152838415947,9.344391644179158e-06,-6.658122647475315,6.658122647475315,1.8226530388344913,0.2947417148553772,0.8245794908571218,0.14387173053837074,1.0,8.44260181550392,8.14551069194925,3.5661543576058574,15.796857934408724,12.031033204863135,403.5591363330789,1645.1423883161724,0.9502153487231862,0.9480654870599693,6.0
82,3,42496,676.0624068750185,62.85810239979236,236.21457589609082,1.348858908838749e-05,-6.101461686020284,6.101461686020284,1.399625664861808,0.2666084419073893,0.3948025737711588,0.10509084691385921,0.0,13.59921014027524,11.540385436673407,2.672710014847427,21.875141692792134,15.37587952747379,234.43886867593974,2309.189500844539,0.8151606721533309,0.8250266383327319,8.0
