generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
23,2,13312,394.869138799957,33.71243455605665,1306.105612953704,0.0,10.159206969238278,-10.159206969238278,1.6852523945109974,0.31771539885550737,0.37392577305436137,0.15220244083313364,1.0,0.41713509871704385,0.023919781992621285,1.43556061046975,0.18471233837947665,2.890061310098139,14.780427997393094,6.657326463313714,547.7446527000928,2493.9906629279712,0.7117852411599315,0.9295903951860964
24,2,13824,405.4464331000345,34.09574945400802,1276.4054375371454,0.0,10.159206969238278,-10.159206969238278,1.6852523945109974,0.31771539885550737,0.37392577305436137,0.15220244083313364,1.0,0.41713509871704385,0.023919781992621285,1.43556061046975,0.18471233837947665,2.890061310098139,14.780427997393094,6.657326463313714,547.7446527000928,2493.9906629279712,0.7117852411599315,0.9295903951860964
25,2,14336,413.116493599955,34.702076102249244,1239.349480799865,0.0,10.159206969238278,-10.159206969238278,1.6852523945109974,0.31771539885550737,0.37392577305436137,0.15220244083313364,1.0,0.41713509871704385,0.023919781992621285,1.43556061046975,0.18471233837947665,2.890061310098139,14.780427997393094,6.657326463313714,547.7446527000928,2493.9906629279712,0.7117852411599315,0.9295903951860964
26,2,14848,423.1740841999417,35.0872148233553,1211.1534133998332,0.0,10.159206969238278,-10.159206969238278,1.6852523945109974,0.31771539885550737,0.37392577305436137,0.15220244083313364,1.0,0.41713509871704385,0.023919781992621285,1.43556061046975,0.18471233837947665,2.890061310098139,14.780427997393094,6.657326463313714,547.7446527000928,2493.9906629279712,0.7117852411599315,0.9295903951860964
27,2,15360,431.51649059995543,35.59539515777102,1179.4784076398782,0.0,10.159206969238278,-10.159206969238278,1.6852523945109974,0.31771539885550737,0.37392577305436137,0.15220244083313364,1.0,0.41713509871704385,0.023919781992621285,1.43556061046975,0.18471233837947665,2.890061310098139,14.780427997393094,6.657326463313714,547.7446527000928,2493.9906629279712,0.7117852411599315,0.9295903951860964
28,2,15872,442.2219519999344,35.89147921811524,1155.4831649030546,0.0,10.159206969238278,-10.159206969238278,1.6852523945109974,0.31771539885550737,0.37392577305436137,0.15220244083313364,1.0,0.41713509871704385,0.023919781992621285,1.43556061046975,0.18471233837947665,2.890061310098139,14.780427997393094,6.657326463313714,547.7446527000928,2493.9906629279712,0.7117852411599315,0.9295903951860964
29,2,16384,450.10109589993954,36.40071119409643,1125.2527397498488,0.0,10.159206969238278,-10.159206969238278,1.6852523945109974,0.31771539885550737,0.37392577305436137,0.15220244083313364,1.0,0.41713509871704385,0.023919781992621285,1.43556061046975,0.18471233837947665,2.890061310098139,14.780427997393094,6.657326463313714,547.7446527000928,2493.9906629279712,0.7117852411599315,0.9295903951860964
30,2,16896,458.83788120001554,36.82346356366931,1098.4300792364008,0.0,10.159206969238278,-10.159206969238278,1.6852523945109974,0.31771539885550737,0.37392577305436137,0.15220244083313364,1.0,0.41713509871704385,0.023919781992621285,1.43556061046975,0.18471233837947665,2.890061310098139,14.780427997393094,6.657326463313714,547.7446527000928,2493.9906629279712,0.7117852411599315,0.9295903951860964
31,3,17920,506.84548260003794,35.355943014571636,1115.0600617200835,0.0,9.839557684756803,-9.839557684756803,1.6620791614964605,0.22449183583259583,0.8771997671574354,0.21701465284451843,0.0,0.3740115833658725,0.012901607858110217,0.38382412258729204,0.29531558503443023,1.9336468611617343,18.516211141832173,8.002856918941013,604.6164660714567,2150.085361674428,0.7949891686439514,0.9070172063075006
32,3,18432,517.4448740000371,35.6211858038402,1092.383622888967,0.0,9.839557684756803,-9.839557684756803,1.6620791614964605,0.22449183583259583,0.8771997671574354,0.21701465284451843,0.0,0.3740115833658725,0.012901607858110217,0.38382412258729204,0.29531558503443023,1.9336468611617343,18.516211141832173,8.002856918941013,604.6164660714567,2150.085361674428,0.7949891686439514,0.9070172063075006
