generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
37,3,19456,600.2179904000368,32.414889775351206,4612.201399916072,2.9111399624919147e-06,-5.052854122621564,5.052854122621564,1.4962863831650466,0.3189152796397838,0.8622457039488243,0.20797649404247118,80.0,22.0,3.5461461637887908,2.2805908611547334,15.064325626897759,10.994791537706456,371.7741204736544,2597.780972524236,0.9014582315616076,0.507757389889438
38,3,19968,612.9119132999331,32.578906636831036,4573.265814622578,2.4503471651560116e-06,-5.052966101694915,5.052966101694915,1.495330591843775,0.33196561170817623,0.7300861124089052,0.19611891863771375,81.0,20.0,4.08188658198249,1.8200318453212867,13.66488101800619,7.613508749330048,385.1446302059485,2504.157201444903,0.9674640350946984,0.8069866252873551
39,3,20480,623.1595914999489,32.864775379136056,4517.907038374629,2.0161851378565503e-06,-5.052966101694915,5.052966101694915,1.495330591843775,0.33196561170817623,0.7300861124089052,0.19611891863771375,81.0,20.0,4.08188658198249,1.8200318453212867,13.66488101800619,7.613508749330048,385.1446302059485,2504.157201444903,0.9674640350946984,0.8069866252873551
40,3,20992,634.2277629999444,33.098519529807845,4470.532280658144,1.4113608514191432e-06,-5.059665871121719,5.059665871121719,1.4532632468220115,0.363218900573781,0.8830566761473415,0.17284953566465408,71.0,19.0,4.278861556814741,2.020394242573559,13.79881466132797,9.679736378685433,344.34221083491815,2643.1368859383792,0.908866445975721,0.6801687437591236
41,4,21504,678.1897092000581,31.707942052621988,4650.44372022897,8.171676423377822e-06,-4.890913006813733,4.890913006813733,1.4222831500004978,0.3888870286941528,0.7415247548371554,0.2528914067149162,44.0,5.0,1.3459054650738835,3.347941378131509,19.74086198490113,11.393266488611117,291.21772004291415,2387.4448649585247,0.9505777433514595,0.9050182304345071
42,4,22016,694.548457799945,31.698292254132973,4635.707148571726,6.4675317285999156e-06,-4.890913006813733,4.890913006813733,1.4222831500004978,0.3888870286941528,0.7415247548371554,0.2528914067149162,44.0,5.0,1.3459054650738835,3.347941378131509,19.74086198490113,11.393266488611117,291.21772004291415,2387.4448649585247,0.9505777433514595,0.9050182304345071
43,4,22528,709.297781100031,31.760990377076784,4610.435577150201,5.562988606732518e-06,-4.915441780954104,4.915441780954104,1.4136012655954102,0.35432898444985667,0.7116311768759198,0.26540989153087136,54.0,11.0,0.7130631506443024,4.17841183054381,19.253924062143927,11.772611010721233,304.92446528057343,2637.799032390173,0.8997298837639391,0.7988252933137119
44,4,23040,727.1765689000022,31.684189212604224,4605.451603033347,4.6802907827640395e-06,-4.972810076708777,4.972810076708777,1.426060436468425,0.3385072561542634,0.6795112938725989,0.15733034788033085,50.0,8.0,1.541837538255022,4.029967912858332,22.20715935661645,10.577254879430269,305.90461305984854,1848.8152432597574,0.8007449162277709,0.9354146368274598
45,4,23552,758.7965752000455,31.038621904416033,4684.744072974194,3.1418789110104467e-06,-4.99724243192234,4.99724243192234,1.3488976640547925,0.35088410771073475,0.8047608594113628,0.12059276357390436,66.0,16.0,2.2707613756519827,1.8800616541169832,19.372806543759296,12.247113246440604,237.92600078115885,2041.2666914307279,0.9483133417958683,0.7607901940723986
46,4,24064,779.3137843001168,30.878447789309035,4692.463850147512,2.4052352488607865e-06,-5.098665787789833,5.098665787789833,1.4624281427041703,0.34766352613208895,0.7809048773370757,0.16041685749019896,68.0,11.0,0.969513403289298,3.74176520117238,14.71799717530382,10.877569118987225,484.955531440609,2142.519706975228,0.6659857291310545,0.6617771903081129
47,4,24576,795.8871518999804,30.8787495078052,4675.837017412385,1.963137666852159e-06,-5.098665787789833,5.098665787789833,1.4624281427041703,0.34766352613208895,0.7809048773370757,0.16041685749019896,68.0,11.0,0.969513403289298,3.74176520117238,14.71799717530382,10.877569118987225,484.955531440609,2142.519706975228,0.6659857291310545,0.6617771903081129
48,4,25088,809.9315981999971,30.97545528011984,4644.709777432637,1.4817212439499115e-06,-5.098665787789833,5.098665787789833,1.4624281427041703,0.34766352613208895,0.7809048773370757,0.16041685749019896,68.0,11.0,0.969513403289298,3.74176520117238,14.71799717530382,10.877569118987225,484.955531440609,2142.519706975228,0.6659857291310545,0.6617771903081129
49,4,25600,824.8175723999739,31.037166103907815,4618.978405439854,1.4113262688210135e-06,-5.134748121905661,5.134748121905661,1.5217647260283762,0.3549514916726435,0.8518401059674339,0.14301509454589784,73.0,16.0,0.6362108702283034,3.9249291812083396,14.959989051563351,9.916733318109618,426.00422835158656,1238.691872077642,0.8079177658073604,0.5914154486727248
50,4,26112,838.1160573998932,31.155589693637253,4584.987843422945,1.1772202709494506e-06,-5.149674120556936,5.149674120556936,1.468001307845622,0.3771897128224373,0.7809695864388678,0.13811078236995514,65.0,14.0,0.7814143383628869,4.3717307241971035,19.68282813719749,11.197879615496186,408.3042548072859,1534.614125932676,0.8157472984778831,0.6703156083334775
51,5,26624,878.9332971000113,30.29126338465538,4698.912626803906,7.908255664326054e-06,-5.01851208956365,5.01851208956365,1.46219604823491,0.3908010616039048,0.8270459792745233,0.18168429828074062,92.0,16.0,4.466169420405298,3.9090081991224492,21.494692174792302,9.008481579553251,279.640941181924,1242.669966205259,0.8848764996082328,0.6169709782679267
52,5,27136,898.6389776999131,30.196776095173625,4696.660317412753,6.2252590791936705e-06,-5.059102856420665,5.059102856420665,1.2937694376358833,0.38810272637971155,0.7428043411031021,0.1783739183783253,68.0,16.0,4.380610428937816,1.6843703199464393,17.429152692425085,10.975941844536457,302.98888993951914,1473.2164888890366,0.914121651593935,0.7795019795063649
53,5,27648,915.0760152000003,30.213883372254287,4677.055188800002,5.170395090111143e-06,-5.059102856420665,5.059102856420665,1.2937694376358833,0.38810272637971155,0.7428043411031021,0.1783739183783253,68.0,16.0,4.380610428937816,1.6843703199464393,17.429152692425085,10.975941844536457,302.98888993951914,1473.2164888890366,0.914121651593935,0.7795019795063649
54,5,28160,932.6021628999151,30.1950833058727,4663.010814499576,4.239404698395743e-06,-5.202410916177454,5.202410916177454,1.390038643464454,0.3897635401465972,0.7777765580915701,0.15511288499420442,78.0,23.0,0.6337018769978142,3.440318348880691,23.43419817383574,15.424023600308479,296.7475756682518,1271.1888667750814,0.8053101682373633,0.6990213055006642
55,5,28672,951.0729676999617,30.147003409569365,4653.464163389099,3.643415411714046e-06,-5.202410916177454,5.202410916177454,1.390038643464454,0.3897635401465972,0.7777765580915701,0.15511288499420442,78.0,23.0,0.6337018769978142,3.440318348880691,23.43419817383574,15.424023600308479,296.7475756682518,1271.1888667750814,0.8053101682373633,0.6990213055006642
56,5,29184,968.9096872000955,30.12045434733385,4640.56744922151,3.326109478860549e-06,-5.202410916177454,5.202410916177454,1.390038643464454,0.3897635401465972,0.7777765580915701,0.15511288499420442,78.0,23.0,0.6337018769978142,3.440318348880691,23.43419817383574,15.424023600308479,296.7475756682518,1271.1888667750814,0.8053101682373633,0.6990213055006642
57,5,29696,995.3184016000014,29.835678665503295,4667.700090262075,2.831411935667919e-06,-5.202410916177454,5.202410916177454,1.390038643464454,0.3897635401465972,0.7777765580915701,0.15511288499420442,78.0,23.0,0.6337018769978142,3.440318348880691,23.43419817383574,15.424023600308479,296.7475756682518,1271.1888667750814,0.8053101682373633,0.6990213055006642
58,5,30208,1018.8040913001169,29.65045022684484,4679.591673598842,2.450329181716223e-06,-5.202410916177454,5.202410916177454,1.390038643464454,0.3897635401465972,0.7777765580915701,0.15511288499420442,78.0,23.0,0.6337018769978142,3.440318348880691,23.43419817383574,15.424023600308479,296.7475756682518,1271.1888667750814,0.8053101682373633,0.6990213055006642
59,5,30720,1044.7089774000924,29.405318289167106,4701.190398300416,1.963128592318374e-06,-5.202410916177454,5.202410916177454,1.390038643464454,0.3897635401465972,0.7777765580915701,0.15511288499420442,78.0,23.0,0.6337018769978142,3.440318348880691,23.43419817383574,15.424023600308479,296.7475756682518,1271.1888667750814,0.8053101682373633,0.6990213055006642
60,5,31232,1061.7272141999565,29.41621876343657,4682.042960980136,1.7960177492222281e-06,-5.202410916177454,5.202410916177454,1.390038643464454,0.3897635401465972,0.7777765580915701,0.15511288499420442,78.0,23.0,0.6337018769978142,3.440318348880691,23.43419817383574,15.424023600308479,296.7475756682518,1271.1888667750814,0.8053101682373633,0.6990213055006642
61,0,31744,1129.258680100087,28.110476863623933,4881.311713981022,1.737245461799307e-06,-5.296217512951018,5.296217512951018,1.5179531708395917,0.322354895867657,0.6713035963800182,0.1357398155569189,74.0,16.0,1.235624393337015,3.0324216422558976,16.89506390066002,9.15498215928647,369.01390159849296,1851.7540117943872,0.8651113273755033,0.8364065452084681
62,0,32256,1144.3672432999592,28.186755771674182,4849.937364461732,1.6140195152833767e-06,-5.296217512951018,5.296217512951018,1.5179531708395917,0.322354895867657,0.6713035963800182,0.1357398155569189,74.0,16.0,1.235624393337015,3.0324216422558976,16.89506390066002,9.15498215928647,369.01390159849296,1851.7540117943872,0.8651113273755033,0.8364065452084681
63,0,32768,1162.5929090001155,28.185274266107488,4832.02677803173,1.1772621553722297e-06,-5.296217512951018,5.296217512951018,1.5179531708395917,0.322354895867657,0.6713035963800182,0.1357398155569189,74.0,16.0,1.235624393337015,3.0324216422558976,16.89506390066002,9.15498215928647,369.01390159849296,1851.7540117943872,0.8651113273755033,0.8364065452084681
64,0,33280,1180.4988931999542,28.191470734706567,4812.803179969043,9.929495790895176e-07,-5.296217512951018,5.296217512951018,1.5179531708395917,0.322354895867657,0.6713035963800182,0.1357398155569189,74.0,16.0,1.235624393337015,3.0324216422558976,16.89506390066002,9.15498215928647,369.01390159849296,1851.7540117943872,0.8651113273755033,0.8364065452084681
65,0,33792,1197.3413033001125,28.222529287900183,4789.36521320045,8.871851954540478e-07,-5.296217512951018,5.296217512951018,1.5179531708395917,0.322354895867657,0.6713035963800182,0.1357398155569189,74.0,16.0,1.235624393337015,3.0324216422558976,16.89506390066002,9.15498215928647,369.01390159849296,1851.7540117943872,0.8651113273755033,0.8364065452084681
66,0,34304,1219.7530066999607,28.123726534447663,4787.9856830162635,8.871522987305776e-07,-5.296217512951018,5.296217512951018,1.5179531708395917,0.322354895867657,0.6713035963800182,0.1357398155569189,74.0,16.0,1.235624393337015,3.0324216422558976,16.89506390066002,9.15498215928647,369.01390159849296,1851.7540117943872,0.8651113273755033,0.8364065452084681
67,0,34816,1233.593821800081,28.223228249632363,4752.964431053254,7.674653920348783e-07,-5.296217512951018,5.296217512951018,1.5179531708395917,0.322354895867657,0.6713035963800182,0.1357398155569189,74.0,16.0,1.235624393337015,3.0324216422558976,16.89506390066002,9.15498215928647,369.01390159849296,1851.7540117943872,0.8651113273755033,0.8364065452084681
68,0,35328,1250.4070498999208,28.253199630334425,4729.800580056222,7.674479770219991e-07,-5.296217512951018,5.296217512951018,1.5179531708395917,0.322354895867657,0.6713035963800182,0.1357398155569189,74.0,16.0,1.235624393337015,3.0324216422558976,16.89506390066002,9.15498215928647,369.01390159849296,1851.7540117943872,0.8651113273755033,0.8364065452084681
69,0,35840,1265.343889700016,28.324315857325427,4699.848733171488,7.674323734607346e-07,-5.296217512951018,5.296217512951018,1.5179531708395917,0.322354895867657,0.6713035963800182,0.1357398155569189,74.0,16.0,1.235624393337015,3.0324216422558976,16.89506390066002,9.15498215928647,369.01390159849296,1851.7540117943872,0.8651113273755033,0.8364065452084681
70,0,36352,1280.7968470000196,28.38233095681523,4672.202582718382,7.674146883602146e-07,-5.296217512951018,5.296217512951018,1.5179531708395917,0.322354895867657,0.6713035963800182,0.1357398155569189,74.0,16.0,1.235624393337015,3.0324216422558976,16.89506390066002,9.15498215928647,369.01390159849296,1851.7540117943872,0.8651113273755033,0.8364065452084681
