prop_name,diameter_in,pitch_in,velocity_mps,cruise_selected_rpm,cruise_thrust_n,cruise_torque_nm,cruise_current_a,cruise_voltage_sag_v,cruise_voltage_required_v,cruise_throttle,cruise_power_w,cruise_flight_time_s,cruise_valid_rpm_count,cruise_failed,max_selected_rpm,max_thrust_n,max_torque_nm,max_current_a,max_voltage_sag_v,max_voltage_required_v,max_throttle,max_power_w,max_flight_time_s,max_valid_rpm_count,max_failed
12.7x8.5E,12.7,8.5,16.667,9600.0,28.78727529137353,0.8051634699567003,45.77179218278382,21.406622268831747,19.121780397178117,0.8932647176672809,979.819465824319,300.8403067332662,67,False,10600.0,36.71509149074831,0.9883838726385032,55.748925947701025,21.23368528357318,21.188773950890326,0.9978849016511703,1183.7551484707103,247.00027428183745,77,False
12.7x8.5E,12.7,8.5,25.0,9700.0,21.954235115440177,0.7410550187718483,42.280813102011074,21.467132572898475,19.263731949259476,0.8973593414883589,907.6478201508145,325.6796402372175,48,False,10600.0,29.064032446309177,0.9310307378700662,52.62580270898733,21.287819419710885,21.14372400125901,0.9932310860210297,1120.2885848862543,261.6587166593163,57,False
13x4.5EP,13.0,4.5,0.001,9900.0,27.741118406000002,0.4189012091351351,24.73816171287958,21.77120519697675,19.395300783651113,0.890869412518533,538.5795948470952,556.6298805796406,70,False,11000.0,34.54327835660869,0.5180019451304347,30.134620211794612,21.67766658299556,21.58852740685343,0.9958879718072584,653.2482495564826,456.9495119971831,81,False
13x4.5EP,13.0,4.5,8.334,10000.0,21.751153134326923,0.4151867197115385,24.535891893006106,21.774711207187895,19.584690805248826,0.8994236763417492,534.2619601809906,561.2186449160669,71,False,11000.0,27.41054041353712,0.5074054048034935,29.55759331555511,21.687668382530376,21.580203997681078,0.9950449083343665,641.0352820134557,465.8701353994656,81,False
13x4.5EP,13.0,4.5,16.667,10000.0,12.64923373197115,0.33106068644230763,19.95486993937216,21.854115587717548,19.51861118158461,0.8931320557558715,436.0960341929094,690.057115974029,56,False,11100.0,18.226901117565216,0.4366580013913043,25.705094920003468,21.754445021386605,21.716940761335373,0.9982760185325638,559.2000742067396,535.691466724922,67,False
13x4.5EP,13.0,4.5,25.0,10200.0,2.820225721153845,0.17709423076923075,11.570738581314348,21.999440531257218,19.78228843263521,0.8992177962220522,254.5497753223485,1190.0709624740161,27,False,11200.0,6.963705676855896,0.27557314410480344,16.93333617956906,21.906488839554136,21.782718931997486,0.9943500800852589,370.9499400341479,813.1888396932796,37,False
13x8E,13.0,8.0,0.001,9700.0,38.86849893777397,0.730308426678082,41.69561524594744,21.477276002403578,19.25529067687764,0.896542497974265,895.5082367272396,330.25055317629256,68,False,10700.0,47.57096860740741,0.891209665617284,50.457375182832244,21.325405496830907,21.304752892390518,0.9990315492737778,1076.02398607963,272.90361320033827,78,False
13x8E,13.0,8.0,8.334,9600.0,34.632978012222225,0.7843331006172838,44.637489571120426,21.42628351410058,19.105418482640555,0.8916814000928968,956.4155069085341,308.48509027507936,67,False,10600.0,43.02876221146067,0.953787611011236,53.86501168395621,21.266339797478093,21.161599153034324,0.9950748156268908,1145.5116416661403,255.63904229322605,77,False
13x8E,13.0,8.0,16.667,9600.0,28.8178783784,0.7910268042769231,45.00199033532254,21.41996550085441,19.110676277422503,0.892189871951951,963.9410804523924,305.986466318397,65,False,10600.0,37.03148088123595,0.9770152670786515,55.1298568007556,21.244415815453568,21.17984409710086,0.996960532174025,1171.2016017216627,249.77391197960213,75,False
13x8E,13.0,8.0,25.0,9700.0,20.832579166666665,0.6943291666666667,39.736390811100804,21.511235892607587,19.227029556403046,0.8938133379407774,854.7788762584339,346.5337369329777,46,False,10600.0,28.08513370786517,0.8855601123595506,50.149732869315876,21.330737963598523,21.108007568369615,0.9895582424007551,1069.7308107798408,274.5777337614728,55,False
