rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
1690,2115,13.759641244469426,-13.759641244469426,-13.759641244469426,True,1.6239443036018169,0.3144398194533791,0.3062116519193281,0.15079090548575683,0.0,0.35117429623363816,0.12634877235047431,11.237531818362406,8.331408242425049,3.0673697075544806,14.0,8.5,14.0,10.0,319.8239798897465,1278.735949907235,3.5912964268493575
1691,596,13.763790628365077,-13.763790628365077,-13.763790628365077,True,1.4576028425567327,0.38913185688588076,0.5411843987467349,0.21486867828928394,0.0,0.40455472979351326,0.11423394202525497,10.918451828757114,5.564054168675554,3.3772294804895164,17.0,10.0,17.0,12.0,624.486797291577,2930.5759210622205,37.27446101145794
1692,2785,13.769672380737099,-13.769672380737099,-13.769672380737099,True,1.8109502316815103,0.37761945216313253,0.5636513203382492,0.19512203675381812,0.0,0.40670190790918415,0.06771239857078176,8.103441896305782,4.28297865525947,2.6480776830656825,22.0,13.0,20.0,11.0,505.35893716357776,1647.8096231403176,6.217418806938024
1693,1342,13.770963630070046,-13.770963630070046,-13.770963630070046,True,1.7331216772796547,0.2793377795842661,0.715847423972045,0.2330252632281187,0.0,0.45467868783362203,0.11250500513757752,13.354506089713933,1.3808066037886846,2.456796622210904,17.0,7.0,13.0,8.0,461.73772333162947,1404.6650320652718,30.530097242891692
1694,436,13.774343444063746,-13.774343444063746,-13.774343444063746,True,1.7637902707561457,0.1828526379339349,0.6357951364994603,0.18811427160761363,0.0,0.33831786598674674,0.08198275882190685,4.953029854418247,0.6328085886204349,2.7006160164863813,11.0,5.5,19.0,10.0,541.5450304841435,1234.5214270901483,36.21503377826149
1695,561,13.788700588660612,-13.788700588660612,-13.788700588660612,True,1.7692343275620384,0.3039820400313044,0.6574695166200399,0.25016322206045083,0.0,0.4967304583538226,0.09713335819337836,9.870375216227465,8.267376932965625,2.1684768941373505,24.0,12.0,18.0,8.0,376.83947708599646,2457.5948211008986,38.616751175404104
1696,1619,13.792645498731991,-13.792645498731991,-13.792645498731991,True,1.5049679512406897,0.3640920024280222,0.7194912000327143,0.1530651702377699,0.0,0.297128857385014,0.13712295728812196,11.39184788347984,8.883819623973686,2.4768693270586795,20.0,15.0,20.0,15.0,361.9527557785045,1451.436767117974,15.161551691277879
1697,192,13.802588983618662,-13.802588983618662,-13.802588983618662,True,1.4767222785591072,0.34266779773299527,0.5091146782913514,0.11992175364559025,0.0,0.4084367106403312,0.05146611575710218,5.537893750843708,4.085576884388594,1.3099050685610578,16.0,12.0,21.0,13.5,290.04631290758607,2434.4957850459023,26.73196373122466
1698,1548,13.811498260234023,-13.811498260234023,-13.811498260234023,True,1.593289938037296,0.39992574305789796,0.5867200313153073,0.2626337135721191,0.0,0.5205382275901881,0.12460024604070545,12.52070197228728,0.3343943115840986,2.085013326335076,22.0,10.0,22.0,13.0,300.169123419406,2921.741886259866,12.747871478567712
1699,675,13.824801186214252,-13.824801186214252,-13.824801186214252,True,1.6494477604733584,0.3594967159874485,0.591852544885839,0.13383708094764013,0.0,0.5149571506930504,0.07904700749599068,11.50816148865728,2.846286020074885,1.6301304139465413,17.0,8.0,20.0,13.0,374.53403394216457,2648.229954710522,24.54699908597439
