rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
3052,797,7.339874113009908,-7.339874113009908,-8.762518114085989,True,1.5865728578113019,0.1884420697018504,0.8607047377154231,0.11650638196617365,1.0,9.093531680324446,6.512040401921446,2.7223317050375044,17.819937244057655,10.831233707066817,424.8220108449459,1371.763002127409,0.9101988459005952,0.8255114485509694,6
3053,1763,8.763714285714286,-8.763714285714286,-8.763714285714286,True,1.3699242820235995,0.3500978932902217,0.5868561706604412,0.20665882722415022,1.0,11.689710927963894,9.318256992147598,1.921011241116354,11.088828147625573,6.607858561213035,479.84751248038094,2482.8087527385796,0.651288674886302,0.5157688772792451,8
3054,469,8.76457142857143,-8.76457142857143,-8.76457142857143,True,1.7572662746144465,0.39303535533357375,0.39697559089211554,0.2713796691372656,4.0,11.676274134758323,7.023726117238105,3.2901963656077187,12.76826626337581,5.584357568398564,336.3017503156445,1795.77030537028,0.9726423672708511,0.920845736584522,8
3055,1604,8.771714285714285,-8.771714285714285,-8.771714285714285,True,1.4674498936931981,0.16347889680611755,0.8577807838797581,0.1046429383191152,2.0,11.561947007510213,5.597691758298605,2.071525847526903,15.220163760852646,8.423158545357138,346.1710347596359,2771.9820266891093,0.5371583692223891,0.7697623531674058,6
3056,2377,8.773714285714286,-8.773714285714286,-8.773714285714286,True,1.2106026942738108,0.2613426493243927,0.8000144105404616,0.25049113534375334,2.0,11.529396187682615,9.986486857187426,2.5859533296997532,11.886679156900362,6.558858455657987,399.22802597284317,1226.6154363751411,0.7686831934586443,0.934065018291081,8
3057,2187,8.784285714285714,-8.784285714285714,-8.784285714285714,True,1.1743287903476507,0.2751106069236994,0.7292510323226453,0.2568792215175926,4.0,11.361870599330427,11.11300666148507,2.4362962115556,11.002900176681578,5.080954195354635,323.8849088549614,2714.940745383501,0.8815637705847621,0.716152545530349,8
3058,1204,8.785428571428572,-8.785428571428572,-8.785428571428572,True,1.187365860114619,0.31223393317312004,0.6566731804981828,0.11465792328119279,2.0,11.343878356323533,6.783917410358981,3.2885815878398716,17.142406441271305,13.172153433127617,312.8931959159672,2019.4120611995459,0.5559502774849534,0.6302115195430815,6
3059,880,8.787142857142857,-8.787142857142857,-8.787142857142857,True,1.131457026452739,0.24073068764635056,0.6926510161720856,0.20248454575593133,3.0,11.315852612654558,7.1342861403595865,2.236716242310356,18.811202377493778,7.535320449454155,381.24298662078456,1542.4595885918275,0.666761652078116,0.5573200757030761,8
3060,1449,8.789428571428571,-8.789428571428571,-8.789428571428571,True,1.7579098024662585,0.15852568175643683,0.6668186450377107,0.2932048210129142,10.0,11.283071510476173,7.871455215579775,3.378378378378378,24.968410744331777,16.960798286336562,491.56060703098774,2953.537229448557,0.8144073183648288,0.6956978039816022,8
3061,1215,8.789714285714286,-8.789714285714286,-8.789714285714286,True,1.6019755808336928,0.12829066675059603,0.519451737005399,0.2384327949277623,2.0,11.277191281324802,8.309647260674112,1.3842862781862975,23.536919075995684,16.310741827195855,282.90562124037524,2485.317358143403,0.9339063863818928,0.5264513911280222,8
3062,152,8.791428571428572,-8.791428571428572,-8.791428571428572,True,1.4092455227801268,0.3050574371981851,0.7887391662078773,0.2312606446276033,3.0,11.24742366907912,9.701984365579346,2.9541765156301434,16.221517418786544,12.5877084370216,273.3697175797193,1658.8874061860367,0.8043030036701211,0.5901878420412634,6
3063,1749,8.792,-8.792,-8.792,True,1.1233732837412527,0.34195171348750597,0.8206248963244727,0.2447660185276671,1.0,11.239217746644798,6.910193117032831,2.324098735429211,14.518931483457528,5.889131717252377,221.2107953280273,2090.04622087157,0.7949992048398212,0.9367198943639137,8
3064,367,8.795714285714286,-8.795714285714286,-8.795714285714286,True,1.3986045714495758,0.36235041558717984,0.6833140852531491,0.21533371892305747,8.0,11.178891804383916,10.917661747303578,2.9915994105556996,16.225748641764678,9.857349419853595,371.51073733031825,2067.4679585589756,0.8225450529635014,0.685397804689806,6
3065,1959,8.798857142857143,-8.798857142857143,-8.798857142857143,True,1.6106524362766093,0.21896897257315495,0.5019381157883391,0.13883134798244984,2.0,11.12944780968828,6.702155569643177,2.198024964891374,13.387705288076042,5.436930274382258,465.2070124510087,1772.0202513328106,0.7699245358482895,0.675076629162007,8
3066,2803,8.803714285714285,-8.803714285714285,-8.803714285714285,True,1.6880591568118648,0.21253479502083675,0.39856971068948743,0.22931730537860995,3.0,11.056212072221598,7.264209961770776,2.79730412205144,18.647832775936124,9.8282777433886,271.06716623773764,2066.674973058815,0.6965043077191133,0.6931275585119614,8
3067,1871,8.806571428571429,-8.806571428571429,-8.806571428571429,True,1.4952540209522216,0.3490341170417921,0.8479170656453927,0.09849852474882721,3.0,11.008475942805788,9.480909440374745,2.6071001235747655,11.753085062146198,8.020632652147054,326.7769906952521,2258.9197220256856,0.7177051394412413,0.6826469711959362,8
3068,2373,8.806857142857144,-8.806857142857144,-8.806857142857144,True,1.182610824375777,0.2778363561921615,0.41077553216834817,0.2407994866557419,3.0,11.004637946987755,7.653548753577722,3.378378378378378,14.394259463568304,9.364830014011947,307.463114920968,2536.1893074375935,0.7856139732213778,0.5541952333448201,8
3069,319,8.811142857142858,-8.811142857142858,-8.811142857142858,True,1.197938161500585,0.3972650226700948,0.8176603662270399,0.2132621637209307,3.0,10.935500463072547,8.957280484719211,4.320915202114833,16.98126859065355,8.900938841522596,385.7165799105025,2756.842185637703,0.8556190349244295,0.6975755140425325,6
3070,761,8.81257142857143,-8.81257142857143,-8.81257142857143,True,1.3086115860845975,0.33122712658957965,0.7981228524819017,0.27498115072026846,9.0,10.913765386923458,9.008189391407724,2.2523485150237637,13.85887186974287,7.818739776924609,237.45043333619833,2086.657492443919,0.8197061598853574,0.9721451825462282,8
3071,2181,8.814285714285715,-8.814285714285715,-8.814285714285715,True,1.1425777794565615,0.27210911500743307,0.8823284877336415,0.14049860721711838,2.0,10.884634471773076,7.345542720186343,3.6131723290345583,11.859412874381318,6.367307264992577,274.526315289291,1430.4985833880487,0.8685143200065577,0.9381021087672943,6
3072,1960,8.815142857142858,-8.815142857142858,-8.815142857142858,True,1.4387672596556362,0.2840898622203687,0.652474642164385,0.1234521721196133,9.0,10.874622669997574,8.903204959430155,3.2288480343093977,12.224304226620518,8.403694208753638,336.22082766614676,2633.246272567452,0.8785496501605299,0.8583799711700619,6
3073,3,8.820571428571428,-8.820571428571428,-8.820571428571428,True,1.602233148207373,0.2865346218814367,0.5896381156443495,0.26503493748048546,8.0,10.78537222943948,9.051984724189058,3.2460136519390606,14.719460234047514,6.48513789201121,233.24987372141732,1112.5895195284456,0.5623277729091357,0.599936724130088,8
3074,1771,8.821428571428571,-8.821428571428571,-8.821428571428571,True,1.6238366830694122,0.2076832400830229,0.5749677873719906,0.17712018215199568,3.0,10.772181824974407,9.504004758165951,2.754161360110954,13.076927311938121,7.386383255423859,357.38493973784676,2719.976454683904,0.8726349463116111,0.7225262100734415,8
3075,1916,8.824,-8.824,-8.824,True,1.3067805597164577,0.3688599030000823,0.608225059409931,0.12465634330669054,2.0,10.734007463193732,9.721914554627185,3.120095934777641,10.408644715703328,7.527506336081301,380.245748749605,2459.6339191141424,0.8174139990173142,0.9948952917841012,8
3076,2022,8.826285714285714,-8.826285714285714,-8.826285714285714,True,1.3644754484388977,0.20377441745251418,0.35409750547260044,0.21785518484190103,3.0,10.697769648751526,7.731573174169581,3.378378378378378,19.143499126657844,14.36644871753169,483.00663037225604,2614.6648600697517,0.7468993770889938,0.6130268345586956,8
3077,1136,8.828857142857142,-8.828857142857142,-8.828857142857142,True,1.1287408465582878,0.3420809170976281,0.7258116463199258,0.2099799121769523,3.0,10.656067476737842,6.212194826291362,2.1296767801977694,23.21948692156497,15.774025494703555,290.29747681832595,2235.004240531731,0.9786415593698621,0.9578565550036728,8
3078,1963,8.828857142857142,-8.828857142857142,-8.828857142857142,True,1.82175427134037,0.15970479549591157,0.6610943121778158,0.10877149453386664,5.0,10.654621392069028,9.3455512319749,1.97491714078933,19.907767232507467,8.378298634529532,373.1071924428193,1360.121350735426,0.7862646072585816,0.8220018145608268,6
3079,4,8.836285714285715,-8.836285714285715,-8.836285714285715,True,1.0535523321824614,0.29109439286208855,0.577000508772809,0.184277592117883,1.0,10.539186516761532,9.722804201888975,2.219084570566727,14.249747629953822,7.496731133687102,486.4664856338039,2686.227718301606,0.78055405137788,0.7228568856013496,6
3080,2444,8.842857142857143,-8.842857142857143,-8.842857142857143,True,1.2101084569085656,0.33579888747743525,0.8618590810744395,0.22568390556807638,8.0,10.43147293912787,7.596373027057906,2.934952617932078,19.10885513253985,11.841159980905692,386.5817322281744,1917.265941936762,0.5233537920383772,0.7939428882215793,8
3081,1226,8.843428571428571,-8.843428571428571,-8.843428571428571,True,1.146231901890116,0.3251456502629059,0.5318086202947957,0.24474053605551627,4.0,10.425120582860018,8.61239883632983,1.635838304167444,14.737600626493167,7.888455254337668,311.14284231558304,2248.600846156478,0.8402560149989644,0.7499423719307097,6
3082,1967,8.84457142857143,-8.84457142857143,-8.84457142857143,True,0.999936649040462,0.17798513853988684,0.6351048516109585,0.15597810545880095,8.0,10.40749319174579,9.990358157380355,2.3946099885279577,18.504693920205458,7.878730307371672,420.5996001846458,1450.204615282359,0.8262610283426827,0.9039512952044841,6
3083,2528,8.847428571428571,-8.847428571428571,-8.847428571428571,True,1.2016450994106733,0.20342086345109503,0.5580419663339853,0.29454172724109623,6.0,10.35932632078859,7.1049936384709795,3.723918820152261,24.266131003387272,16.204897062229815,414.8995991107896,1229.93438432402,0.789131526481175,0.7212869706563652,6
3084,1803,8.847714285714286,-8.847714285714286,-8.847714285714286,True,1.2755561878688138,0.18619955794731186,0.7024180562783243,0.19948478323682545,5.0,10.35745464033756,9.074248004310949,2.2676856405395105,13.009072396579839,8.870859409393297,240.60825208684957,2813.68210725518,0.7573008519402307,0.9725526317612778,8
3085,449,8.847999999999999,-8.847999999999999,-8.847999999999999,True,0.957750893900789,0.33481267716200275,0.6634850921843312,0.19739349240125825,5.0,10.35149545305365,6.862826274840154,3.1704050060584024,15.34258321870324,8.18497805495771,326.86997921399586,2883.477779326239,0.7848310873659401,0.6516335923224688,8
3086,1216,8.850571428571428,-8.850571428571428,-8.850571428571428,True,1.4469400228925307,0.17115827434279388,0.5794503929313252,0.23171611088120586,4.0,10.310092036014378,7.300076775198235,2.766812967848586,24.476000837054684,13.642635882675942,314.0665251355719,2828.1498817606544,0.9996347203850746,0.5100533757479889,8
3087,86,8.852285714285713,-8.852285714285713,-8.852285714285713,True,1.6813122684366588,0.19430079695986835,0.7897490216574161,0.2923167708705653,7.0,10.281240678604695,7.429856136457685,2.8044773529241804,24.849387346656997,12.779489385036625,481.62155193773185,1854.8255308896933,0.8541696332235382,0.8476695195249788,8
3088,1884,8.853428571428571,-8.853428571428571,-8.853428571428571,True,1.7461566119530578,0.2699507131030996,0.8391128104903105,0.21410763481631873,7.0,10.263227114198688,5.522720843598778,3.031145173124969,21.88742806275899,10.165904730642158,207.21385199576613,1003.1780824065208,0.9776347363367677,0.6581753307400704,6
3089,2548,8.853714285714286,-8.853714285714286,-8.853714285714286,True,1.2840250635900947,0.3486158874548013,0.6477021816291595,0.12887211100928106,9.0,10.25878837468452,5.53568952549451,1.6678314515586925,14.041303785845448,8.926232178621694,230.51838412049193,1536.3286745703413,0.7738927255755262,0.791811070604479,8
3090,262,7.2583976372301215,-7.2583976372301215,-8.860285714285714,True,0.9436079031657428,0.3468040468358367,0.6798839818748814,0.29086446757666895,1.0,10.155284656312185,10.144182969249641,2.2069639226275393,19.88455720634438,14.037746837967177,457.64489843828187,2246.369086980823,0.8816626313574332,0.7313509132212244,8
