evaluation,generation,status,objective,score,raw_score,implied_penalty,message,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,ground,m1,m2,m3
64,0,rejected,1000000.0,-1000000.0,nan,nan,"No fuselage width kept the fuselage ahead of the tail, produced exact M2 static margin, and kept M1 at or below 23.0% after 4 permitted width increases. Attempts: width 0.0762 m puts the fuselage back at x=2.6701 m, at or behind the permitted tail-front limit x=0.4236 m; width 0.1292 m puts the fuselage back at x=1.3180 m, at or behind the permitted tail-front limit x=0.4236 m; width 0.1822 m puts the fuselage back at x=0.8700 m, at or behind the permitted tail-front limit x=0.4236 m; width 0.2352 m puts the fuselage back at x=0.6991 m, at or behind the permitted tail-front limit x=0.4236 m; width 0.2882 m puts the fuselage back at x=0.5655 m, at or behind the permitted tail-front limit x=0.4236 m",1.0272389550600303,0.29249389174802237,0.4236283171062123,0.11834305553897369,71.90000312401918,27.639101888425216,3.254248602193125,3.90842749604577,16.909816666863037,6.762243793688988,335.5322417151261,1367.830744618954,0.759550149681457,0.9673457422136195,nan,nan,nan,nan
65,0,ok,0.6696293012074221,-0.6696293012074221,0.06691449814126393,0.7365437993486861,,1.3612462740120956,0.22369415112382968,0.5435206376124643,0.26415691563052784,49.86903434946067,4.173286286124895,1.6038741220841775,2.1041503856970882,14.27944353001066,14.208265939535146,260.63140769875355,1243.3627292840765,0.5071223302618055,0.8744237850220247,0.06691449814126393,0.0,0.0,0.0
66,0,ok,5.479626378430812,-5.479626378430812,5.261414882067756,10.741041260498568,,1.5011485603266874,0.34898481136102033,0.8860526086933612,0.27758719243069807,43.65240323165392,6.76190134450971,2.883842305897367,1.0359420791596425,21.272857494414136,15.841296531299392,237.8061672326021,2737.7111809191747,0.768984015293293,0.7692004504074204,0.07258064516129033,1.0,1.7785375977227633,2.410296639183702
67,0,ok,2.2762337602873384,-2.2762337602873384,6.12455638926127,8.400790149548609,,1.4470681339507256,0.3966606001416144,0.7470867594163904,0.14370146370531758,29.392508448436175,35.777920206927135,4.25195023272814,2.581615994795995,12.56046636892598,15.158003352315447,301.01815950122534,1828.6855170916574,0.9921823591804388,0.9373917291578995,0.06923076923076923,1.0,2.750136869384094,2.3051887506464075
68,0,ok,2.2132556242435393,-2.2132556242435393,0.2465753424657534,2.459830966709293,,1.2916603690899626,0.2570463695731594,0.40350677773148225,0.14831403664195567,6.282477495350783,12.174203260204699,1.5025735594843015,4.023650486573686,15.370955887265378,14.494241043004564,465.005158526888,1064.0824855064895,0.8455341683462888,0.7839707279226816,0.2465753424657534,0.0,0.0,0.0
69,0,rejected,1000000.0,-1000000.0,nan,nan,"No fuselage width kept the fuselage ahead of the tail, produced exact M2 static margin, and kept M1 at or below 23.0% after 4 permitted width increases. Attempts: width 0.0762 m puts the fuselage back at x=1.7957 m, at or behind the permitted tail-front limit x=0.5902 m; width 0.1292 m puts the fuselage back at x=1.8189 m, at or behind the permitted tail-front limit x=0.5902 m; width 0.1822 m puts the fuselage back at x=0.9474 m, at or behind the permitted tail-front limit x=0.5902 m; width 0.2352 m puts the fuselage back at x=0.7019 m, at or behind the permitted tail-front limit x=0.5902 m; width 0.2882 m puts the fuselage back at x=0.7050 m, at or behind the permitted tail-front limit x=0.5902 m",1.3351029159742178,0.18872652642301457,0.5902257701969174,0.18824381425617312,34.511404070358054,39.78983460482928,2.3581972835660205,2.0785175371282336,13.946239682822739,11.654134821949283,274.6734411268178,2474.3382570281947,0.800470590708664,0.5756919808439654,nan,nan,nan,nan
70,0,ok,18.758395296105935,-18.758395296105935,5.919643214229651,24.678038510335586,,1.0009775612293363,0.32327639762697813,0.6755169666419051,0.10470261000759401,92.96598212553921,38.53199422843344,3.7806855082398565,3.5072385871428016,14.400092243481037,9.82943568536477,457.8955953162998,1516.8091023270872,0.8269932387326245,0.9606418807419503,0.030560271646859084,1.0,2.400616362281118,2.4884665803016737
71,1,ok,21.534199390825137,-21.534199390825137,4.51687363770139,26.051073028526528,,0.9797186161707363,0.2834930175420776,0.5570749922916072,0.21694687299205337,55.253528220989296,26.051468108154268,0.893735802078691,4.459558153683043,18.622628852291523,10.626379834888612,244.82179737407375,1872.041446727138,0.94961671362495,0.8683101927599481,0.05,1.0,1.3277777777777777,2.139095859923612
72,1,ok,-0.8351077313054498,0.8351077313054498,4.33510773130545,3.5,,1.073491776844456,0.39573318241154576,0.631714711446573,0.27924277519493573,35.40685140344972,26.562767805608622,4.937799426130606,4.117001298026708,11.332232248047566,9.36530711962891,467.5269449018788,2416.831391280908,0.566171966934953,0.9478028254910109,0.06844106463878327,1.0,1.2666666666666666,2.0
73,1,ok,4.5220759931165775,-4.5220759931165775,5.028306563655515,9.550382556772092,,1.274262943760128,0.21674891910379765,0.7351331476697769,0.25542806278385166,56.09935772806862,2.7402670075456896,3.6697103463549166,2.567502319583874,17.616606114316443,8.82587243122775,308.5992173706805,1925.382774154698,0.9585947297965931,0.9061392836534176,0.060810810810810814,1.0,1.6963139437435766,2.2711818091011278
74,1,rejected,1000000.0,-1000000.0,nan,nan,"No fuselage width kept the fuselage ahead of the tail, produced exact M2 static margin, and kept M1 at or below 23.0% after 4 permitted width increases. Attempts: width 0.0762 m puts the fuselage back at x=2.4279 m, at or behind the permitted tail-front limit x=0.5223 m; width 0.1292 m puts the fuselage back at x=1.3250 m, at or behind the permitted tail-front limit x=0.5223 m; width 0.1822 m puts the fuselage back at x=0.9111 m, at or behind the permitted tail-front limit x=0.5223 m; width 0.2352 m puts the fuselage back at x=0.7427 m, at or behind the permitted tail-front limit x=0.5223 m; width 0.2882 m puts the fuselage back at x=0.5969 m, at or behind the permitted tail-front limit x=0.5223 m",1.3471562375254074,0.2378316876573707,0.5222591294657729,0.2864067504789356,68.87836930676893,1.297667329546499,3.5967217483805136,3.3662015797639686,10.02663003028982,12.50427193475798,316.5996297440253,1176.036085711819,0.6494047486560229,0.6951752762427047,nan,nan,nan,nan
75,1,ok,10.939657873474374,-10.939657873474374,4.794724031926969,15.734381905401342,,1.0095735950368527,0.30567851673846314,0.6714589455210395,0.1365228992413846,27.630973179730248,15.18115331476572,3.221187592238398,3.434943783443633,10.700564649862596,10.973892106384975,434.8289718534958,1792.709780474539,0.7438654722707123,0.8795615439271481,0.09375,1.0,1.700974031926969,2.0
76,1,rejected,1000000.0,-1000000.0,nan,nan,"No fuselage width kept the fuselage ahead of the tail, produced exact M2 static margin, and kept M1 at or below 23.0% after 4 permitted width increases. Attempts: width 0.0762 m puts the fuselage back at x=3.4902 m, at or behind the permitted tail-front limit x=0.4369 m; width 0.1292 m puts the fuselage back at x=1.8394 m, at or behind the permitted tail-front limit x=0.4369 m; width 0.1822 m puts the fuselage back at x=1.2950 m, at or behind the permitted tail-front limit x=0.4369 m; width 0.2352 m puts the fuselage back at x=1.0135 m, at or behind the permitted tail-front limit x=0.4369 m; width 0.2882 m puts the fuselage back at x=0.8292 m, at or behind the permitted tail-front limit x=0.4369 m",1.0761308573969357,0.22744257956810288,0.43686792644532024,0.1421437339962367,98.11559117482938,6.24214824009478,2.022750152510607,1.2648213881420007,24.84992588810102,14.006438438630017,292.55365572972266,2851.192324349806,0.6243250354116343,0.9681376467572849,nan,nan,nan,nan
77,1,ok,9.92741935483871,-9.92741935483871,0.07258064516129033,10.0,,1.0134794714737199,0.13473297052199207,0.8726567268514714,0.2917830463240872,31.69921561823073,27.11937347199212,4.733775217480044,3.8090191830137723,22.101963266852785,15.415092990833147,330.24297223298174,1529.5520335017509,0.9612033841425458,0.5509944192929312,0.07258064516129033,0.0,0.0,0.0
78,1,rejected,1000000.0,-1000000.0,nan,nan,"No fuselage width kept the fuselage ahead of the tail, produced exact M2 static margin, and kept M1 at or below 23.0% after 4 permitted width increases. Attempts: width 0.0762 m puts the fuselage back at x=3.1428 m, at or behind the permitted tail-front limit x=0.6732 m; width 0.1292 m puts the fuselage back at x=1.6258 m, at or behind the permitted tail-front limit x=0.6732 m; width 0.1822 m puts the fuselage back at x=1.1424 m, at or behind the permitted tail-front limit x=0.6732 m; width 0.2352 m puts the fuselage back at x=0.8854 m, at or behind the permitted tail-front limit x=0.6732 m; width 0.2882 m puts the fuselage back at x=0.7254 m, at or behind the permitted tail-front limit x=0.6732 m",1.1230446164302759,0.16757489397366182,0.6732181799990089,0.2084696030720354,82.55605390426737,10.79891868130219,3.555324124061057,4.330231838288835,16.23591756226378,15.4021452446501,301.64123862137154,1138.3594110854456,0.6963382671680493,0.9032671762239288,nan,nan,nan,nan
79,1,ok,0.9313691290187236,-0.9313691290187236,0.14754098360655737,1.078910112625281,,1.264643027118279,0.24575805060092157,0.48449093844302604,0.2105729345904348,17.1214079898433,10.24779053899038,2.226449472122596,3.793981239096472,23.914173120550004,10.097726464995969,303.38319296123063,2154.2702797297725,0.6124627787341355,0.8340083942624228,0.14754098360655737,0.0,0.0,0.0
80,1,rejected,1000000.0,-1000000.0,nan,nan,"No fuselage width kept the fuselage ahead of the tail, produced exact M2 static margin, and kept M1 at or below 23.0% after 4 permitted width increases. Attempts: width 0.0762 m puts the fuselage back at x=2.0710 m, at or behind the permitted tail-front limit x=0.5437 m; width 0.1292 m puts the fuselage back at x=1.4319 m, at or behind the permitted tail-front limit x=0.5437 m; width 0.1822 m puts the fuselage back at x=0.7780 m, at or behind the permitted tail-front limit x=0.5437 m; width 0.2352 m puts the fuselage back at x=0.5634 m, at or behind the permitted tail-front limit x=0.5437 m; width 0.2882 m puts the fuselage back at x=0.5745 m, at or behind the permitted tail-front limit x=0.5437 m",1.1213113514442532,0.30532624287907395,0.5436590818965849,0.2712786381022167,59.98482554454867,30.885624879354015,2.6857660779960666,1.5832406525749962,16.262478811255605,13.171217468609187,270.790824808289,1735.3644258883073,0.6443345484727203,0.7857047923278506,nan,nan,nan,nan
