generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,feasible_population_fraction,finite_energy_relative_std,best_objective,best_score,global_best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
85,2,48128,1739.5598462999915,27.666768753237942,4367.4055715616805,2.904137944476461e-05,1.0,0.3443362605767244,9.306994759421162,-9.306994759421162,-5.371449790097984,1.8160212380827063,0.3415040227439423,0.8558618865355752,0.21328251976765752,0.0,0.45181724208618457,11.751691465752739,10.290448751487943,3.364726383171233,17.0,7.0,22.0,13.0,420.73022403523055,2806.8182374062467,4.7705445026265
86,2,48640,1751.7575651999796,27.766399281653616,4333.295029705213,2.9366701615953703e-05,1.0,0.340521728683599,7.979977339640554,-7.979977339640554,-5.371449790097984,1.7721766918322817,0.3467844130469261,0.57411553753543,0.21328251976765752,0.0,0.45181724208618457,11.733208691703302,10.290448751487943,3.364726383171233,17.0,7.0,18.0,12.0,377.2740545057852,2512.6357175849275,29.100671166668768
87,2,49152,1765.8997863999975,27.83396904996651,4304.380729349994,2.954841317269519e-05,1.0,0.3384276489419302,7.979977339640554,-7.979977339640554,-5.371449790097984,1.7721766918322817,0.3467844130469261,0.57411553753543,0.21328251976765752,0.0,0.45181724208618457,11.733208691703302,10.290448751487943,3.364726383171233,17.0,7.0,18.0,12.0,377.2740545057852,2512.6357175849275,29.100671166668768
88,2,49664,1779.6729170999897,27.90625149307122,4274.884429735027,2.9565842203048633e-05,1.0,0.338228146227773,7.979977339640554,-7.979977339640554,-5.371449790097984,1.7721766918322817,0.3467844130469261,0.57411553753543,0.21328251976765752,0.0,0.45181724208618457,11.733208691703302,10.290448751487943,3.364726383171233,17.0,7.0,18.0,12.0,377.2740545057852,2512.6357175849275,29.100671166668768
89,2,50176,1798.331856899982,27.90141308317525,4257.275416334652,2.962375036857869e-05,1.0,0.3375669817487657,7.979977339640554,-7.979977339640554,-5.371449790097984,1.7721766918322817,0.3467844130469261,0.57411553753543,0.21328251976765752,0.0,0.45181724208618457,11.733208691703302,10.290448751487943,3.364726383171233,17.0,7.0,18.0,12.0,377.2740545057852,2512.6357175849275,29.100671166668768
90,2,50688,1811.8753338999813,27.97543465139863,4227.70911243329,3.0096747345738684e-05,1.0,0.3322618183660922,7.979977339640554,-7.979977339640554,-5.371449790097984,1.7721766918322817,0.3467844130469261,0.57411553753543,0.21328251976765752,0.0,0.45181724208618457,11.733208691703302,10.290448751487943,3.364726383171233,17.0,7.0,18.0,12.0,377.2740545057852,2512.6357175849275,29.100671166668768
91,3,51712,1877.0707880999835,27.549307318529067,4255.932776979171,nan,0.998046875,0.3215205345619193,9.424247384008307,-9.424247384008307,-5.371449790097984,1.7686890920578286,0.28872606838257125,0.5850588586015354,0.09945688696810935,0.0,0.4940545141012755,11.485655409403691,8.761585083757979,3.0992743679600103,16.0,10.0,12.0,8.0,343.78212822914173,2640.508295060758,33.79571594057538
92,3,52224,1896.5885620999907,27.53575606412767,4239.433256458803,2.9832765110489587e-05,1.0,0.33520191517493175,9.424247384008307,-9.424247384008307,-5.371449790097984,1.7686890920578286,0.28872606838257125,0.5850588586015354,0.09945688696810935,0.0,0.4940545141012755,11.485655409403691,8.761585083757979,3.0992743679600103,16.0,10.0,12.0,8.0,343.78212822914173,2640.508295060758,33.79571594057538
93,3,52736,1915.5541761999775,27.53041425568876,4221.658232984416,2.933478036904909e-05,1.0,0.34089227443307946,9.424247384008307,-9.424247384008307,-5.371449790097984,1.7686890920578286,0.28872606838257125,0.5850588586015354,0.09945688696810935,0.0,0.4940545141012755,11.485655409403691,8.761585083757979,3.0992743679600103,16.0,10.0,12.0,8.0,343.78212822914173,2640.508295060758,33.79571594057538
94,3,53248,1931.5500674999785,27.56749664217575,4197.406877451876,2.923890525048392e-05,1.0,0.34201006892467317,9.424247384008307,-9.424247384008307,-5.371449790097984,1.7686890920578286,0.28872606838257125,0.5850588586015354,0.09945688696810935,0.0,0.4940545141012755,11.485655409403691,8.761585083757979,3.0992743679600103,16.0,10.0,12.0,8.0,343.78212822914173,2640.508295060758,33.79571594057538
