rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
2037,739,25.914835112596826,-25.914835112596826,-25.914835112596826,True,1.6945952108314126,0.34506708274686937,0.5658541655167937,0.23306884660758637,2.0,0.23826473546108654,3.875132733279834,1.596745000796309,2.13203828750095,12.0,6.0,15.0,7.0,412.6741399461104,2354.8710544689966,39.31370310485363
2038,2057,25.948743000046715,-25.948743000046715,-25.948743000046715,True,1.4190019397783356,0.2994924634695053,0.42207131393110586,0.2242609191110164,4.0,0.05893372242715589,2.1097614573938888,0.5636761896994784,1.7048241634352657,12.0,6.0,24.0,12.0,238.96047641636045,2704.6043942492142,0.2115931361913681
2039,2024,25.97899720249885,-25.97899720249885,-25.97899720249885,True,1.3523503982953908,0.2648817551092692,0.5642686207225811,0.15829894746073228,2.0,0.3940606159631978,5.40658410201587,1.4065605637787133,1.4882512993273145,18.0,10.0,16.0,12.0,248.81437486249953,1901.33761597456,3.163206511467088
2040,312,25.98289098293948,-25.98289098293948,-25.98289098293948,True,1.0724967347382726,0.24337391298087824,0.39933460734921267,0.21750527486311572,1.0,0.13439373864354973,2.3620581975198682,0.20517977952089694,3.0895153832438496,14.0,7.0,18.0,10.0,367.81355114653707,2362.2002922929646,29.74454363104083
2041,865,25.985320302356715,-25.985320302356715,-25.985320302356715,True,1.4772845300806592,0.2592666822301022,0.4292300979674889,0.2034319854854023,1.0,0.34271243285105485,5.344238997919039,0.974769832916726,1.9132678121781248,17.0,12.0,20.0,13.0,315.7303588132184,1532.7521411287473,2.730881162699781
2042,2467,25.995222642451957,-25.995222642451957,-25.995222642451957,True,1.3372628707204015,0.37652638953179124,0.39604412522166965,0.13851552555337548,2.0,0.1784121364763006,3.9122321072637183,0.21685171540802983,1.5642818909239122,14.0,8.5,21.0,13.0,406.8765035364777,1169.5590484887362,17.039999663829803
2043,2352,26.029969584188056,-26.029969584188056,-26.029969584188056,True,1.6267118906490947,0.29741865427876135,0.5415743628279021,0.19247070361804502,1.0,0.5312569105429207,7.604216476279204,4.359948843327552,2.958940923761454,20.0,12.0,20.0,15.0,320.52453105191387,1591.488517668012,34.63789046909568
2044,2049,26.03568378180029,-26.03568378180029,-26.03568378180029,True,0.9428244459061588,0.39904525644122957,0.45041649102027126,0.2681809871123139,0.0,0.3407193026183416,2.655909383954464,1.124939457376863,1.6861876701084464,20.0,12.0,14.0,8.5,286.9769399296488,1625.4408805694839,25.58182865841855
2045,2866,26.067672088750932,-26.067672088750932,-26.067672088750932,True,1.6412438395635003,0.3132789300390043,0.5003295499087136,0.1427926162816584,0.0,0.3040363016626016,9.181732018744961,1.817908374008363,1.3984726182109601,16.0,10.0,12.0,6.0,319.4324509378565,2906.77823469002,32.400744865070784
2046,2345,26.06924815744859,-26.06924815744859,-26.06924815744859,True,1.6998344137700356,0.2706870248170701,0.4783724098143158,0.17983936793584163,0.0,0.2368106931468451,7.552761592191228,5.191952226585327,1.2293247136150907,22.0,13.0,20.0,10.0,228.39914266138595,2943.793645081296,19.145801755391595
