rank,population_index,objective,score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
62,61,-1.5,1.5,True,1.147316687614221,0.32811220429227544,0.8382395505982603,0.18406807900569144,5.0,20.88489336378379,1.588540541290184,17.413738111486513,11.649910773932168,409.7148616465315,1329.3477511212468,0.9965259475021405,0.8010167051238273
63,62,-1.5,1.5,True,1.1607778567195977,0.39230038803170564,0.805701817094344,0.1966312938307357,4.0,20.696168329111963,2.477149840647414,19.367188946690504,11.56730992211784,362.8987281594038,1908.1518733341486,0.9278858338243527,0.8137947314051717
64,63,-1.5,1.5,True,1.1397844796483645,0.35055104528699094,0.8712571438299727,0.2527778575661771,5.0,19.337971550824427,1.7441295345716399,18.33792682977932,12.078263795571216,424.4186139744616,2013.1913378924155,0.8369414210294706,0.8111120582701934
65,64,-1.5,1.5,True,1.3049078542682444,0.3289386335587339,0.8424407421786924,0.1839098948682361,5.0,19.892559373345694,1.7021065975748404,17.64256669232921,12.390762032030366,408.7489615490808,1774.2810129066575,0.9105548750241104,0.8854272127529166
66,65,-1.5,1.5,True,1.047600186896772,0.34059418260831614,0.8355488882563883,0.1714221019508262,5.0,20.37445800493527,1.2635886318200775,17.86958217441561,12.130691448239363,404.24373676148105,2037.4462316053382,0.9792094677363764,0.8967593300070027
67,66,-1.5,1.5,True,1.1453939425558863,0.34214712128724595,0.5693352310070536,0.1790678918270587,5.0,20.917816938992626,1.7645314996581398,16.90471543623603,10.934528291682389,434.8145263919722,1321.3356801913321,0.9772406339926774,0.9121081833426332
68,67,-1.5,1.5,True,1.0518308022264455,0.3704219775550623,0.7242991971659437,0.18425488961989844,5.0,19.26188710836985,2.06240882908088,17.510452211719876,12.256778334401991,493.69247894875406,1968.1436218928777,0.8768031638394833,0.7290564809601957
69,68,-1.5,1.5,True,0.9370659450008527,0.3738854704109158,0.5981075119545685,0.14507019336158838,5.0,19.59153647228787,1.664947997394567,17.509183652792665,12.759400580181937,403.57793217078927,1963.9031398272618,0.9306234400571637,0.6681238383216508
70,69,-1.5,1.5,True,1.2390552443883085,0.364852759629945,0.8479180932168183,0.1652430716449929,5.0,20.237921322048983,1.8465535430795978,21.620661405972637,11.39912334575016,466.70855528932304,1712.0217127029387,0.9047642544356136,0.8950531166467469
71,70,-1.5,1.5,True,1.1287979744166994,0.3856216956886921,0.8540709381845883,0.2653231846784753,5.0,20.736149415357033,1.7247534299076686,19.996873381082935,11.339776535653785,475.4161121764233,2245.9887485257455,0.9444745533626875,0.7910252448247999
72,71,-1.5,1.5,True,1.2783147566272306,0.3436037708048788,0.6910666684711121,0.1649755053949081,4.0,19.657720451530455,1.199137053989619,20.423785620611575,13.51863008195689,420.50895496950835,2805.5519340521932,0.8678171354857135,0.6615518870556517
73,72,-1.5,1.5,True,1.2550650347335222,0.384260254651183,0.7641564517833566,0.25082137329208914,5.0,18.539415173128415,2.5558094500329918,20.123209999853497,12.164073876670692,414.2836530243018,1882.3300712988023,0.8911752077051853,0.8543610596308475
