rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
1785,2351,48.471479198153546,-48.471479198153546,-48.471479198153546,True,0.9706515949517489,0.32634864807128905,0.4390768881887197,0.21601835248991846,1.0,0.49969426473230116,0.12629120477018876,20.013082111839708,3.9381537627756202,1.938869255015979,12.886366010643542,6.869958440276917,301.7764684278518,2843.3637358248234,0.8411835613660514,0.8694548914209008
1786,409,48.49142857142857,-48.49142857142857,-48.49142857142857,True,1.275060009847209,0.35037471167743206,0.5244634056463837,0.11289508176967501,7.0,0.43519987574815744,0.0734514252597466,0.13801559703205157,0.07930611650951391,1.4363729748371483,11.334725278429687,8.168676420746191,388.2518685888499,2337.319727987051,0.808707038871944,0.7627931288443506
1787,168,48.499430627097645,-48.499430627097645,-48.499430627097645,True,1.6077656335661985,0.2520466878877175,0.8519605227619291,0.15055649248692474,6.0,0.230097378077892,0.08765907004118907,5.106369412157903,0.85648252207762,2.6937905885972677,16.759462545887228,8.283800522976643,349.63252706802376,2699.6862542903245,0.7447672331163837,0.9858931785087276
1788,350,48.500257973650804,-48.500257973650804,-48.500257973650804,True,1.17526453518772,0.3922116918416625,0.6082742052820261,0.17720818873842514,4.0,0.5237644080034121,0.10865686813878903,4.125226554232178,0.19065611241136793,2.79489287921845,21.018606588350877,14.463829365830328,565.4039254262666,2770.073803764917,0.6714569906857731,0.5395953175387226
1789,2432,48.586080257977315,-48.586080257977315,-48.586080257977315,True,1.404699563701383,0.27647642264685013,0.5039514679293338,0.2557031358947958,2.0,0.4818552437537662,0.10481092428206125,9.683885989397325,6.279822160903912,2.5813605488131675,16.567278190828844,8.133797098528584,620.7246717996895,2613.0405704203677,0.9792009389810438,0.6949625580018277
1790,741,48.596520323166295,-48.596520323166295,-48.596520323166295,True,1.3172538435260404,0.25236467523346684,0.8366065157577396,0.148327946581985,6.0,0.42822868090254007,0.1456212496084501,5.773769456539668,0.3244076707170933,3.323018018098103,14.166060010604406,7.8678866985109535,521.1203035515396,1069.3568235347964,0.6268862155266106,0.9145391035023696
1791,1233,48.59792959408702,-48.59792959408702,-48.59792959408702,True,1.6888950363159179,0.16576426558196544,0.7994344376027585,0.17926719916984438,0.0,0.507092318227887,0.13193743165833874,39.84102873309503,11.407484668798709,3.050298359748479,23.382790782488883,15.514304538992862,459.06469277106225,1197.3516754806042,0.9307919009588659,0.7593882041983306
1792,1410,48.60065841209805,-48.60065841209805,-48.60065841209805,True,1.5822054351709784,0.3821869329735637,0.3370923846960067,0.26131972057744857,4.0,0.31387510765828186,0.0561220853863284,6.095144599602378,5.073874333891482,2.871195247245801,15.11274317279458,8.63144831004859,487.720009079203,2800.4898447543383,0.8463020492345095,0.8790179016068578
1793,395,48.60633026843968,-48.60633026843968,-48.60633026843968,True,1.416941985761747,0.38693294290453195,0.5646203432232142,0.2777458240278065,3.0,0.4474603831149637,0.11071107977293432,10.310767745129489,6.887241540432186,2.7153065603327105,18.764808820560575,7.638023510448744,617.6990226842463,1300.0046405941248,0.7415181915275753,0.9672018173150718
1794,2296,48.63038799397237,-48.63038799397237,-48.63038799397237,True,1.1207176993716508,0.29584783976479884,0.31436219159513706,0.2144957697184736,1.0,0.4565684431680147,0.12770656981803474,19.825923336508364,2.5350525074364754,1.2529554256313555,15.688819024699185,12.40820024584534,484.66255022212863,2952.500215676385,0.8155827029908527,0.8455136341008562
