rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
833,255,10.676266270854555,-10.676266270854555,-10.676266270854555,True,1.784604069176357,0.3766684576909476,0.7668540018313255,0.1472422252899804,0.0,15.171192756771255,8.738413205814217,3.328628894076045,22.0,10.0,20.0,10.0,264.22568279220184,2176.2213913751766,38.88392196641859
834,3520,10.676266270854555,-10.676266270854555,-10.676266270854555,True,1.784604069176357,0.3766684576909476,0.7668540018313255,0.1472422252899804,0.0,15.171192756771255,8.738413205814217,3.328628894076045,22.0,10.0,20.0,10.0,264.22568279220184,2176.2213913751766,38.88392196641859
835,174,10.676280454406339,-10.676280454406339,-10.676280454406339,True,1.7918247062572763,0.3919512602452476,0.47515856808393075,0.28409279907909124,0.0,15.035921882152383,13.753185793602844,3.378213672557333,22.0,12.0,20.0,13.0,258.2362600312525,2537.615546413682,15.426451212056225
836,3521,10.676280454406339,-10.676280454406339,-10.676280454406339,True,1.7918247062572763,0.3919512602452476,0.47515856808393075,0.28409279907909124,0.0,15.035921882152383,13.753185793602844,3.378213672557333,22.0,12.0,20.0,13.0,258.2362600312525,2537.615546413682,15.426451212056225
837,3522,10.677339804762122,-10.677339804762122,-10.677339804762122,True,1.7950967241610956,0.3650242211780853,0.8825975735859652,0.1863664531512462,0.0,15.556411089197638,14.264502809906071,3.3401378970926334,22.0,10.0,20.0,11.0,282.98186531458987,2257.1095951221637,15.866810932738282
838,1767,10.677647979383394,-10.677647979383394,-10.677647979383394,True,1.7535568508647075,0.38010297899401946,0.5990387758323844,0.1516125534053057,0.0,15.05218884472945,14.948376091351932,3.368983239654714,19.0,8.0,22.0,12.0,334.46558603233456,2428.1427964016984,29.25251845193236
839,3523,10.677647979383394,-10.677647979383394,-10.677647979383394,True,1.7535568508647075,0.38010297899401946,0.5990387758323844,0.1516125534053057,0.0,15.05218884472945,14.948376091351932,3.368983239654714,19.0,8.0,22.0,12.0,334.46558603233456,2428.1427964016984,29.25251845193236
840,714,10.67828085641146,-10.67828085641146,-10.67828085641146,True,1.8135820513037777,0.3576863101210675,0.4338151541009461,0.20743583149753828,0.0,15.26148066420894,11.371833563383062,3.3536785006761614,17.0,10.0,16.0,10.0,385.7132435048294,2712.3747708363762,13.052650890526103
841,3524,10.67828085641146,-10.67828085641146,-10.67828085641146,True,1.8135820513037777,0.3576863101210675,0.4338151541009461,0.20743583149753828,0.0,15.26148066420894,11.371833563383062,3.3536785006761614,17.0,10.0,16.0,10.0,385.7132435048294,2712.3747708363762,13.052650890526103
842,769,10.679166916387365,-10.679166916387365,-10.679166916387365,True,1.7848532241926143,0.3376832163801818,0.38996076753913633,0.21262084632303344,0.0,15.527796877986853,14.482987132486517,3.2243751969356476,17.0,10.0,19.0,10.0,365.93961398475244,2367.3150193552874,23.39926832991594
843,3525,10.679166916387365,-10.679166916387365,-10.679166916387365,True,1.7848532241926143,0.3376832163801818,0.38996076753913633,0.21262084632303344,0.0,15.527796877986853,14.482987132486517,3.2243751969356476,17.0,10.0,19.0,10.0,365.93961398475244,2367.3150193552874,23.39926832991594
844,582,10.679490166416265,-10.679490166416265,-10.679490166416265,True,1.8135110324009007,0.3830864909201461,0.33114254363389617,0.267690004102,0.0,15.237924307133856,13.217740433131675,3.324675109004438,14.0,7.0,14.0,8.5,522.2704444820085,2234.0709535652522,18.455819755946386
845,3526,10.679490166416265,-10.679490166416265,-10.679490166416265,True,1.8135110324009007,0.3830864909201461,0.33114254363389617,0.267690004102,0.0,15.237924307133856,13.217740433131675,3.324675109004438,14.0,7.0,14.0,8.5,522.2704444820085,2234.0709535652522,18.455819755946386
846,1106,10.679494638179708,-10.679494638179708,-10.679494638179708,True,1.8175819547900864,0.334260946382846,0.5165320411438358,0.1886673784410556,0.0,15.036272768799538,13.043618083178085,3.375300935127239,14.0,7.0,16.0,10.0,540.8595838985144,2232.4808311141546,19.2695159113529
847,3527,10.679494638179708,-10.679494638179708,-10.679494638179708,True,1.8175819547900864,0.334260946382846,0.5165320411438358,0.1886673784410556,0.0,15.036272768799538,13.043618083178085,3.375300935127239,14.0,7.0,16.0,10.0,540.8595838985144,2232.4808311141546,19.2695159113529
848,2002,10.681200638815387,-10.681200638815387,-10.681200638815387,True,1.7794898150399598,0.3930430839461566,0.45960602128818034,0.19192137055191286,0.0,15.466493315632498,10.76309448917415,3.269033448023384,20.0,10.0,20.0,13.0,286.71716557910906,2070.677455007803,22.672022004246628
849,3528,10.681200638815387,-10.681200638815387,-10.681200638815387,True,1.7794898150399598,0.3930430839461566,0.45960602128818034,0.19192137055191286,0.0,15.466493315632498,10.76309448917415,3.269033448023384,20.0,10.0,20.0,13.0,286.71716557910906,2070.677455007803,22.672022004246628
850,434,10.681518667937185,-10.681518667937185,-10.681518667937185,True,1.7899092105030971,0.37081663293014333,0.4122127742752785,0.1377489173361064,0.0,15.825173625283563,13.922735737470987,3.3393900270851278,20.0,11.0,20.0,11.0,320.57987324617227,2405.972787909276,28.038731613457244
851,3529,10.681518667937185,-10.681518667937185,-10.681518667937185,True,1.7899092105030971,0.37081663293014333,0.4122127742752785,0.1377489173361064,0.0,15.825173625283563,13.922735737470987,3.3393900270851278,20.0,11.0,20.0,11.0,320.57987324617227,2405.972787909276,28.038731613457244
852,2317,10.68246455974124,-10.68246455974124,-10.68246455974124,True,1.8170986269817793,0.38908183412088854,0.7456357167569703,0.2352122801939856,0.0,15.380845285430453,12.350587785907988,3.369780809017005,18.0,12.0,20.0,13.0,326.1556083935504,2320.4638586869464,9.965427738461514
853,3530,10.68246455974124,-10.68246455974124,-10.68246455974124,True,1.8170986269817793,0.38908183412088854,0.7456357167569703,0.23521228019398563,0.0,15.380845285430453,12.350587785907988,3.369780809017005,18.0,12.0,20.0,13.0,326.1556083935504,2320.4638586869464,9.965427738461514
854,3531,10.68246455974124,-10.68246455974124,-10.68246455974124,True,1.8170986269817793,0.38908183412088854,0.7456357167569703,0.2352122801939856,0.0,15.380845285430453,12.350587785907988,3.369780809017005,18.0,12.0,20.0,13.0,326.1556083935504,2320.4638586869464,9.965427738461514
855,1707,10.682829868495133,-10.682829868495133,-10.682829868495133,True,1.7767902019175423,0.3963422474777849,0.8556666062173842,0.19142634704525777,0.0,15.593714185040351,9.17495878994624,3.304280870985739,20.0,8.0,25.0,12.5,319.8179388827706,2107.408216343974,27.831718608647854
856,3532,10.682829868495133,-10.682829868495133,-10.682829868495133,True,1.7767902019175423,0.3963422474777849,0.8556666062173842,0.19142634704525777,0.0,15.593714185040351,9.17495878994624,3.304280870985739,20.0,8.0,25.0,12.5,319.8179388827706,2107.408216343974,27.831718608647854
857,2716,10.683140409704151,-10.683140409704151,-10.683140409704151,True,1.7659351853661889,0.3717614776042798,0.5355254152737823,0.2608577869110433,0.0,15.064404114513748,14.750470049743715,3.3308285639499644,20.0,13.0,19.0,10.0,290.7508103606773,2697.270293708909,28.07665476243059
858,3533,10.683140409704151,-10.683140409704151,-10.683140409704151,True,1.7659351853661889,0.3717614776042798,0.5355254152737823,0.2608577869110433,0.0,15.064404114513748,14.750470049743715,3.3308285639499644,20.0,13.0,19.0,10.0,290.7508103606773,2697.270293708909,28.07665476243059
859,1254,10.684222922972644,-10.684222922972644,-10.684222922972644,True,1.807931538095862,0.366947430233725,0.4816050788596111,0.19629930117928737,0.0,15.108824309411178,10.593036284712042,3.326144744700139,16.0,8.0,16.0,12.0,447.1275764182153,2226.2793785989616,15.115927853642788
860,3534,10.684222922972644,-10.684222922972644,-10.684222922972644,True,1.807931538095862,0.366947430233725,0.4816050788596111,0.19629930117928737,0.0,15.108824309411178,10.593036284712042,3.326144744700139,16.0,8.0,16.0,12.0,447.1275764182153,2226.2793785989616,15.115927853642788
861,439,10.684375750518981,-10.684375750518981,-10.684375750518981,True,1.765708943510162,0.3438328567899628,0.5918821866437214,0.15310405925019466,0.0,15.336268337897739,14.256170943878248,3.339861033337246,22.0,12.0,20.0,15.0,266.09388243216677,2340.2220344758184,9.940785379137472
862,3535,10.684375750518981,-10.684375750518981,-10.684375750518981,True,1.765708943510162,0.3438328567899627,0.5918821866437214,0.15310405925019466,0.0,15.336268337897739,14.256170943878248,3.3398610333372454,22.0,12.0,20.0,15.0,266.09388243216677,2340.2220344758184,9.940785379137472
863,3536,10.684375750518981,-10.684375750518981,-10.684375750518981,True,1.765708943510162,0.3438328567899628,0.5918821866437214,0.15310405925019466,0.0,15.336268337897739,14.256170943878248,3.339861033337246,22.0,12.0,20.0,15.0,266.09388243216677,2340.2220344758184,9.940785379137472
864,1378,10.685346298606838,-10.685346298606838,-10.685346298606838,True,1.8085302902803604,0.37543549528406844,0.6267072184098567,0.23004426179725193,0.0,15.328398651054924,13.457128016661425,3.3042917359174613,15.0,8.0,15.0,10.0,460.42641454203977,2373.8566825842818,29.07543533394067
865,3537,10.685346298606838,-10.685346298606838,-10.685346298606838,True,1.8085302902803604,0.37543549528406844,0.6267072184098567,0.23004426179725193,0.0,15.328398651054924,13.457128016661425,3.3042917359174613,15.0,8.0,15.0,10.0,460.42641454203977,2373.8566825842818,29.07543533394067
866,3538,10.68546196003106,-10.68546196003106,-10.68546196003106,True,1.8059025403102198,0.390044268511778,0.7475284124906606,0.24628734436294142,0.0,15.122196948741715,13.6864454276157,3.2540970294204996,20.0,11.0,20.0,15.0,265.13716022189226,1822.8959538863633,25.132389509898907
