generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,feasible_population_fraction,finite_energy_relative_std,best_objective,best_score,global_best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
217,3,122368,6831.050294999994,17.913497151319117,5802.105480690371,6.777339591616345e-05,1.0,0.14755052280942382,10.132134956386158,-10.132134956386158,-10.132134956386158,1.7941069491016708,0.3957133575115005,0.8029615226606812,0.19402214721558586,0.0,15.420392242423915,13.627232380823026,3.3771939401256326,19.0,8.0,20.0,11.0,340.3950789059565,2270.277813694519,26.807353757059612
218,3,122880,6856.207833499997,17.922443861692493,5770.641593195831,7.399483199004429e-05,1.0,0.13514457335811567,10.132134956386158,-10.132134956386158,-10.132134956386158,1.7941069491016708,0.3957133575115005,0.8029615226606812,0.19402214721558586,0.0,15.420392242423915,13.627232380823026,3.3771939401256326,19.0,8.0,20.0,11.0,340.3950789059565,2270.277813694519,26.807353757059612
219,3,123392,6889.0751765999885,17.91125758347414,5745.660209529451,7.522424767289849e-05,1.0,0.1329358592389452,10.132134956386158,-10.132134956386158,-10.132134956386158,1.7941069491016708,0.3957133575115005,0.8029615226606812,0.19402214721558586,0.0,15.420392242423915,13.627232380823026,3.3771939401256326,19.0,8.0,20.0,11.0,340.3950789059565,2270.277813694519,26.807353757059612
220,3,123904,6916.413542800001,17.91448692783622,5716.0442502479345,7.636554222779503e-05,1.0,0.1309491127578251,10.132134956386158,-10.132134956386158,-10.132134956386158,1.7941069491016708,0.3957133575115005,0.8029615226606812,0.19402214721558586,0.0,15.420392242423915,13.627232380823026,3.3771939401256326,19.0,8.0,20.0,11.0,340.3950789059565,2270.277813694519,26.807353757059612
221,4,124928,6982.302517600008,17.892092140823035,5665.966797068859,8.017218682976508e-05,1.0,0.12473153590326337,11.096809802018083,-11.096809802018083,-10.132134956386158,1.7976727781053503,0.3650669904888888,0.8752144613828263,0.14250272926427707,0.0,16.238951758888312,15.899431617799909,3.362885887644941,16.0,10.0,20.0,11.0,403.87337877440564,2462.9601657658495,13.708501178142354
222,4,125440,7007.068693100009,17.90192240066422,5634.255234860007,8.136754642151182e-05,1.0,0.12289912182182008,10.692756734854255,-10.692756734854255,-10.132134956386158,1.781157779227176,0.38590457221312546,0.8808471273418865,0.20765181935555854,0.0,15.070670340911018,13.2285821114973,3.350377077843017,13.0,8.0,18.0,10.0,498.63962482931214,2143.461978956275,11.534446255436537
223,4,125952,7028.6149827000045,17.919888955365174,5600.034701663419,8.528412093145676e-05,1.0,0.1172551219474611,10.692756734854255,-10.692756734854255,-10.132134956386158,1.781157779227176,0.38590457221312546,0.8808471273418865,0.20765181935555854,0.0,15.070670340911018,13.2285821114973,3.350377077843017,13.0,8.0,18.0,10.0,498.63962482931214,2143.461978956275,11.534446255436537
224,4,126464,7054.832793700014,17.925867798444877,5569.60483713159,9.985476282928995e-05,1.0,0.10014544841587389,10.692756734854255,-10.692756734854255,-10.132134956386158,1.781157779227176,0.38590457221312546,0.8808471273418865,0.20765181935555854,0.0,15.070670340911018,13.2285821114973,3.350377077843017,13.0,8.0,18.0,10.0,498.63962482931214,2143.461978956275,11.534446255436537
225,4,126976,7078.775428299996,17.9375657959662,5537.429165686287,0.00010548234563041192,1.0,0.09480259412355017,10.692756734854255,-10.692756734854255,-10.132134956386158,1.781157779227176,0.38590457221312546,0.8808471273418865,0.20765181935555854,0.0,15.070670340911018,13.2285821114973,3.350377077843017,13.0,8.0,18.0,10.0,498.63962482931214,2143.461978956275,11.534446255436537
226,4,127488,7099.759123800002,17.956665539909842,5503.026148166267,0.00010872225106321515,1.0,0.09197749220797136,10.692756734854255,-10.692756734854255,-10.132134956386158,1.781157779227176,0.38590457221312546,0.8808471273418865,0.20765181935555854,0.0,15.070670340911018,13.2285821114973,3.350377077843017,13.0,8.0,18.0,10.0,498.63962482931214,2143.461978956275,11.534446255436537
227,4,128000,7124.588032200001,17.965951072749238,5471.6836087296015,0.00011120045840003846,1.0,0.08992768684482795,10.692756734854255,-10.692756734854255,-10.132134956386158,1.781157779227176,0.38590457221312546,0.8808471273418865,0.20765181935555854,0.0,15.070670340911018,13.2285821114973,3.350377077843017,13.0,8.0,18.0,10.0,498.63962482931214,2143.461978956275,11.534446255436537
228,4,128512,7149.821928899997,17.97415394089005,5440.701149083265,0.00012942576472319461,1.0,0.07726436866250831,10.692756734854255,-10.692756734854255,-10.132134956386158,1.781157779227176,0.38590457221312546,0.8808471273418865,0.20765181935555854,0.0,15.070670340911018,13.2285821114973,3.350377077843017,13.0,8.0,18.0,10.0,498.63962482931214,2143.461978956275,11.534446255436537
229,4,129024,7170.494362400001,17.993738434070117,5406.3251145079375,0.00013523683756118052,1.0,0.07394434963384897,10.692756734854255,-10.692756734854255,-10.132134956386158,1.781157779227176,0.38590457221312546,0.8808471273418865,0.20765181935555854,0.0,15.070670340911018,13.2285821114973,3.350377077843017,13.0,8.0,18.0,10.0,498.63962482931214,2143.461978956275,11.534446255436537
230,4,129536,7190.971427799988,18.013699720627365,5371.911461874299,0.0001557680650143217,1.0,0.06419801131304123,10.692756734854255,-10.692756734854255,-10.132134956386158,1.781157779227176,0.38590457221312546,0.8808471273418865,0.20765181935555854,0.0,15.070670340911018,13.2285821114973,3.350377077843017,13.0,8.0,18.0,10.0,498.63962482931214,2143.461978956275,11.534446255436537
