rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,takeoff_flap_deflection_deg,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power
26,423,-6.230518693975497,6.230518693975497,6.171708298892074,True,1.8273561489465688,0.39787348117954363,0.6767185175896553,0.1973891697871754,14.848929725991635,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
27,289,-6.22052836162387,6.22052836162387,6.171666379394514,True,1.828506016833865,0.2661304213644954,0.5938461994318261,0.19166596151624105,35.455503846849524,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
28,320,-6.229848178786788,6.229848178786788,6.17137308271815,True,1.8197310904559256,0.39664789214241186,0.8543312847559159,0.11356234404146667,7.233251587466899,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
29,473,-6.230617262131003,6.230617262131003,6.171331203154615,True,1.8253879160893147,0.39365527409735646,0.8416156870106888,0.11392313174153657,20.47732397374964,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
30,708,-6.230331708091183,6.230331708091183,6.171289328578821,True,1.8168167335258916,0.39754218999221014,0.8789249141907127,0.23091728987223076,29.064301265316963,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
31,842,-6.230331708091183,6.230331708091183,6.171289328578821,True,1.8168167335258916,0.3975421899922101,0.8789249141907127,0.23091728987223079,29.064301265316963,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
32,844,-6.230153165926591,6.230153165926591,6.1712474589898765,True,1.8135374423731119,0.3987021565437317,0.8906406747177245,0.19289466843008996,12.609052881598473,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
33,859,-6.229199851825567,6.229199851825567,6.1712474589898765,True,1.8270408638357918,0.3934871920215779,0.7495810748099367,0.2697189951673844,2.7245843501099145,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
34,166,-6.229901948504621,6.229901948504621,6.17120559438689,True,1.8241081329430906,0.39821985023401446,0.60807830610581,0.1866884504490117,22.099776392524184,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
35,384,-6.25132110805023,6.25132110805023,6.171163734768973,True,1.8237696189880372,0.3996818367521823,0.5700182444676418,0.2051077317073941,15.561570764311906,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
36,383,-6.2304027044747095,6.2304027044747095,6.171163734768973,True,1.8278248954340817,0.39171159476041795,0.8089622084051371,0.24609801089391106,17.837007604539394,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
37,226,-6.230346846669428,6.230346846669428,6.171121880135233,True,1.8259069199006905,0.39304590493427327,0.7604163341964547,0.16385002509103036,21.696085274654877,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
38,360,-6.230191566878076,6.230191566878076,6.171121880135233,True,1.8218131155087174,0.3961225807442521,0.7035742532223388,0.18157279939569515,20.83567568652521,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
39,270,-6.21634628818936,6.21634628818936,6.170996346130182,True,1.8126726858635194,0.26834871299100327,0.6010916902383757,0.15063332009251415,8.251144291723005,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
40,256,-6.251147144036272,6.251147144036272,6.170954511424254,True,1.8235607129424882,0.398758001412557,0.5604535475184426,0.09274827696056624,16.93609704585224,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
41,846,-6.230074703229126,6.230074703229126,6.170954511424254,True,1.8237696189880372,0.3922318634338835,0.8148279828026703,0.2051077317073941,15.561570764311906,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
42,489,-6.2300283363510145,6.2300283363510145,6.170954511424254,True,1.815287499425678,0.39709351831020845,0.7658496127499713,0.11686690492591163,17.79057275977618,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
43,619,-6.229966410412436,6.229966410412436,6.170954511424254,True,1.8163577042176888,0.3965013422055843,0.7758812786194391,0.17587254286823661,24.367967869298855,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
44,630,-6.2299115814490955,6.2299115814490955,6.170954511424254,True,1.8104079751246993,0.3985115929823073,0.8711979701510101,0.09202703969513028,13.839045859422026,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
45,850,-6.229749774518656,6.229749774518656,6.170912681698057,True,1.8253117551646239,0.39471356804282326,0.6308632175887308,0.15865025844384634,24.908970201728387,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
46,345,-6.229645282090031,6.229645282090031,6.170912681698057,True,1.8085354538140312,0.3992622170564666,0.8776929560278259,0.15494991889140325,10.51175161784734,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
47,245,-6.229521936023453,6.229521936023453,6.170912681698057,True,1.818119215767601,0.39988477798238165,0.5909309344048568,0.15542007435313357,22.331370954503797,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
48,282,-6.249860859245074,6.249860859245074,6.170870856950699,True,1.8247341935347903,0.39785924429661423,0.553208992944933,0.15394001412534422,2.3822483952315636,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
49,849,-6.229857445524133,6.229857445524133,6.170787222388949,True,1.822254838769308,0.3942270295419042,0.6770536053138412,0.24313701700605728,22.05932884756369,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
50,169,-6.229778181147945,6.229778181147945,6.170787222388949,True,1.8144636433879695,0.3975256589701889,0.7067915800109,0.25089125727640943,18.26200717227574,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
51,268,-6.229090319261696,6.229090319261696,6.170787222388949,True,1.82385559036607,0.3924347820176016,0.7259125568837516,0.19901912295508112,6.015808955372206,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
52,200,-6.229892074749883,6.229892074749883,6.17074541257278,True,1.821508061312983,0.39174029558539236,0.852624236502898,0.28897808244038875,28.663048107407523,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
53,868,-6.228920326800936,6.228920326800936,6.1707036077318955,True,1.8168167335258916,0.3975421899922101,0.6341168759508199,0.10168061009182043,8.042202438906044,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
54,317,-6.250819715086551,6.250819715086551,6.17066180786541,True,1.8279574092989463,0.39510268064677123,0.5428179885306608,0.13076726864955288,26.41311106102321,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
55,128,-6.250740697167976,6.250740697167976,6.170620012972435,True,1.8198809128345081,0.3981383709247619,0.5602051893860504,0.23515087994279543,27.186081884422695,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
56,644,-6.229721528207202,6.229721528207202,6.170620012972435,True,1.827747129143784,0.38865540938880044,0.7618561061411808,0.254346966130816,15.010599945979514,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
57,239,-6.229301527337288,6.229301527337288,6.170620012972435,True,1.8161444198637264,0.3982859894242452,0.6089273056354302,0.2754976198463235,23.75016396168212,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
58,861,-6.229179498146846,6.229179498146846,6.170620012972435,True,1.827747129143784,0.38865540938880044,0.7618561061411808,0.19678305667940404,7.704455404264603,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
59,557,-6.234425901364601,6.234425901364601,6.170536438103465,True,1.7442596383763531,0.2860309100083667,0.5988074456580381,0.1366849169863448,9.828075021505356,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
60,484,-6.229446981579458,6.229446981579458,6.170494658125696,True,1.8239014655824912,0.39170070370320564,0.6658981556291265,0.08483295652390227,23.010977484604545,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
61,863,-6.229135935818496,6.229135935818496,6.170494658125696,True,1.8239014655824912,0.39170070370320564,0.6658981556291265,0.14466289422336792,10.775027227694295,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
62,663,-6.228121939360246,6.228121939360246,6.170494658125696,True,1.8210635445038794,0.3914712709319337,0.7433345515602694,0.2287106642259179,0.2891307374667065,0.0,0.2667,0.07619999999999999,9.54,7.02,3.342,20.0,15.0,20.0,15.0,246.75,2029.36
