generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,takeoff_flap_deflection_deg
60,5,7808,3473.914999099914,2.2476082466102483,2904.420736952387,4.51470228892266e-05,-6.236826860784759,6.236826860784759,1.8239887888298196,0.32659833539277316,0.4417767333541178,0.21259990144147123,20.973179317760394
61,0,7936,3555.7882069998886,2.2318539626115164,2867.5711346773296,5.401188471499574e-05,-6.2362032629126585,6.2362032629126585,1.7930126697108149,0.33194114323705437,0.5553769582639522,0.2792004206031561,22.77599658817053
62,0,8064,3593.077053599991,2.244315910765254,2794.6154861333266,5.4030864655333805e-05,-6.2362032629126585,6.2362032629126585,1.7930126697108149,0.33194114323705437,0.5553769582639522,0.2792004206031561,22.77599658817053
63,0,8192,3631.1352472999133,2.256043755487079,2723.351435474935,0.002609020211418047,-6.2362032629126585,6.2362032629126585,1.7930126697108149,0.33194114323705437,0.5553769582639522,0.2792004206031561,22.77599658817053
64,0,8320,3669.664522799896,2.2672372224510515,2653.449731870694,0.003887883946474457,-6.2362032629126585,6.2362032629126585,1.7930126697108149,0.33194114323705437,0.5553769582639522,0.2792004206031561,22.77599658817053
65,0,8448,3707.9716940999497,2.2783345443122687,2584.343908009056,0.006753640842832307,-6.2362032629126585,6.2362032629126585,1.7930126697108149,0.33194114323705437,0.5553769582639522,0.2792004206031561,22.77599658817053
66,0,8576,3744.7205938000698,2.2901575124720432,2515.110846582136,0.007234985194595207,-6.2362032629126585,6.2362032629126585,1.7930126697108149,0.33194114323705437,0.5553769582639522,0.2792004206031561,22.77599658817053
67,0,8704,3782.189505300019,2.3013125037238353,2447.2990916647177,0.008465755379441872,-6.2362032629126585,6.2362032629126585,1.7930126697108149,0.33194114323705437,0.5553769582639522,0.2792004206031561,22.77599658817053
68,1,8832,3856.7416827001143,2.290015958190048,2403.4767008131143,2.0981638890359346e-05,-6.250457292265303,6.250457292265303,1.8135374423731119,0.3987021565437317,0.5605610095620485,0.24270869349660232,22.03910215657206
69,1,8960,3890.5694317000452,2.303004780481398,2334.3416590200272,2.941274006783348e-05,-6.250457292265303,6.250457292265303,1.8135374423731119,0.3987021565437317,0.5605610095620485,0.24270869349660232,22.03910215657206
70,1,9088,3923.726300599985,2.3161656302607896,2265.8137792197094,0.002128237378494774,-6.250457292265303,6.250457292265303,1.8135374423731119,0.3987021565437317,0.5605610095620485,0.24270869349660232,22.03910215657206
71,1,9216,3957.911824400071,2.328500585380508,2198.839902444484,0.002259865005877448,-6.250457292265303,6.250457292265303,1.8135374423731119,0.3987021565437317,0.5605610095620485,0.24270869349660232,22.03910215657206
72,1,9344,3993.548846000107,2.339773559889932,2133.5397944384135,0.002887667460399415,-6.250457292265303,6.250457292265303,1.8135374423731119,0.3987021565437317,0.5605610095620485,0.24270869349660232,22.03910215657206
73,1,9472,4026.5962924999185,2.3523589930390796,2067.7116096621203,0.004270759149197655,-6.250457292265303,6.250457292265303,1.8135374423731119,0.3987021565437317,0.5605610095620485,0.24270869349660232,22.03910215657206
74,1,9600,4061.313281199895,2.3637674159339235,2003.5812187252816,0.0064456106192705585,-6.250740697167976,6.250740697167976,1.8198809128345081,0.3981383709247619,0.5602051893860504,0.23515087994279543,27.186081884422695
75,2,9728,4134.531231400091,2.352866493332975,1958.4621622421485,1.8200449725016523e-05,-6.249860859245074,6.249860859245074,1.8247341935347903,0.39785924429661423,0.553208992944933,0.15394001412534422,2.3822483952315636
76,2,9856,4166.138268399984,2.365740012701312,1893.6992129090834,2.5825107267001594e-05,-6.249860859245074,6.249860859245074,1.8247341935347903,0.39785924429661423,0.553208992944933,0.15394001412534422,2.3822483952315636
77,2,9984,4195.204771399964,2.3798599935011713,1828.6790029179328,2.853169851059808e-05,-6.249860859245074,6.249860859245074,1.8247341935347903,0.39785924429661423,0.553208992944933,0.15394001412534422,2.3822483952315636
78,2,10112,4223.915874799946,2.3939870725950305,1764.42055529618,4.4780124511511725e-05,-6.249860859245074,6.249860859245074,1.8247341935347903,0.39785924429661423,0.553208992944933,0.15394001412534422,2.3822483952315636
79,2,10240,4254.084427299909,2.407098442684031,1701.6337709199636,4.479945350961659e-05,-6.249860859245074,6.249860859245074,1.8247341935347903,0.39785924429661423,0.553208992944933,0.15394001412534422,2.3822483952315636
80,2,10368,4286.159129299922,2.4189489207540116,1640.3818889913282,5.399281456038789e-05,-6.250819715086551,6.250819715086551,1.8279574092989463,0.39510268064677123,0.5428179885306608,0.13076726864955288,26.41311106102321
81,2,10496,4318.8253130000085,2.4302904700512435,1580.0580413414666,0.002380753457440491,-6.251147144036272,6.251147144036272,1.8235607129424882,0.398758001412557,0.5604535475184426,0.09274827696056624,16.93609704585224
82,3,10624,4395.020764000015,2.417280957355669,1535.6096645301259,3.738177247852782e-05,-6.236713132101329,6.236713132101329,1.8109160054770763,0.3807045126644166,0.8826341757486753,0.1995958039177162,22.421412914012173
83,3,10752,4427.228137699887,2.4286076221014605,1475.742712566629,4.534043118938235e-05,-6.236713132101329,6.236713132101329,1.8109160054770763,0.3807045126644166,0.8826341757486753,0.1995958039177162,22.421412914012173
84,3,10880,4462.775355400052,2.4379448064386597,1417.5874658329576,0.002205233929592568,-6.25132110805023,6.25132110805023,1.8237696189880372,0.3996818367521823,0.5700182444676418,0.2051077317073941,15.561570764311906
85,3,11008,4499.615019599907,2.446431517374302,1360.3487268557858,0.0025052746714652858,-6.25132110805023,6.25132110805023,1.8237696189880372,0.3996818367521823,0.5700182444676418,0.2051077317073941,15.561570764311906
86,3,11136,4531.817161899991,2.4572924286581688,1302.246310890802,0.0029903770536410922,-6.25132110805023,6.25132110805023,1.8237696189880372,0.3996818367521823,0.5700182444676418,0.2051077317073941,15.561570764311906
87,3,11264,4564.320434099995,2.4678372525834873,1244.814663845453,0.0030971271434620676,-6.25132110805023,6.25132110805023,1.8237696189880372,0.3996818367521823,0.5700182444676418,0.2051077317073941,15.561570764311906
88,3,11392,4597.33600479993,2.477956796741848,1188.0755967460493,0.003292015218740035,-6.25132110805023,6.25132110805023,1.8237696189880372,0.3996818367521823,0.5700182444676418,0.2051077317073941,15.561570764311906
89,4,11520,4673.901633200003,2.4647502031643724,1142.5092881155563,2.3226121448330648e-05,-6.236777626992485,6.236777626992485,1.828613039039248,0.32458931129425767,0.4365338323862936,0.09065495899357166,26.50204085944481
90,4,11648,4706.139025100041,2.4750650029410024,1086.0320827153942,2.3609268281357067e-05,-6.236777626992485,6.236777626992485,1.828613039039248,0.32458931129425767,0.4365338323862936,0.09065495899357166,26.50204085944481
91,4,11776,4738.770113399951,2.4850329765313326,1030.167415956511,4.837352962275361e-05,-6.236777626992485,6.236777626992485,1.828613039039248,0.32458931129425767,0.4365338323862936,0.09065495899357166,26.50204085944481
92,4,11904,4772.577903999947,2.494249489363628,975.042797591387,6.88486262870388e-05,-6.237855711025413,6.237855711025413,1.8240171917842165,0.33265265344065703,0.40921346995464725,0.10751964198509598,29.09873233971659
93,4,12032,4806.377110800007,2.5033408163008892,920.3700850468099,0.0037501510037502473,-6.237855711025413,6.237855711025413,1.8240171917842165,0.33265265344065703,0.40921346995464725,0.10751964198509598,29.09873233971659
94,4,12160,4842.365335399983,2.511169471478049,866.5285337031548,0.003998131256934129,-6.237855711025413,6.237855711025413,1.8240171917842165,0.33265265344065703,0.40921346995464725,0.10751964198509598,29.09873233971659
95,5,12288,4920.630127999932,2.4972411419581038,820.1050213333219,4.51684195899529e-05,-6.237740539695986,6.237740539695986,1.8240823561733133,0.33219328229439987,0.4086876057155633,0.2083185982417391,22.8122959543626
96,5,12416,4951.381505900063,2.5075829816799824,765.6775524587725,4.5191677290690764e-05,-6.237740539695986,6.237740539695986,1.8240823561733133,0.33219328229439987,0.4086876057155633,0.2083185982417391,22.8122959543626
97,5,12544,4985.84247449995,2.5159238512159545,712.26321064285,0.0026239969668805925,-6.237740539695986,6.237740539695986,1.8240823561733133,0.33219328229439987,0.4086876057155633,0.2083185982417391,22.8122959543626
98,5,12672,5020.4666963999625,2.5240681327667684,659.2532025575708,0.0033075602889067945,-6.237740539695986,6.237740539695986,1.8240823561733133,0.33219328229439987,0.4086876057155633,0.2083185982417391,22.8122959543626
99,5,12800,5056.010604300071,2.531640259835248,606.7212725160085,0.0038706431902219896,-6.237740539695986,6.237740539695986,1.8240823561733133,0.33219328229439987,0.4086876057155633,0.2083185982417391,22.8122959543626
100,5,12928,5091.28304619994,2.5392420501251194,554.4961733485084,0.0046263688081190175,-6.237740539695986,6.237740539695986,1.8240823561733133,0.33219328229439987,0.4086876057155633,0.2083185982417391,22.8122959543626
