rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
1842,74,3.717763241774202,-3.717763241774202,-3.7255167039720014,True,1.356122982397217,0.35779333052859313,0.5535340610385098,0.14709515413790544,2.0,0.4528143615835358,5.973529520116843,2.637353561564278,22.88975354083376,11.792843202458371,335.0825453315626,2495.928227614024,0.7640102728763867,0.7684560674928975,8
1843,423,3.7382003908903867,-3.7382003908903867,-3.7382003908903867,True,1.1508074943304734,0.3187771192915001,0.7041646348843471,0.13723403263637973,3.0,0.20054764608814668,4.121868152745713,3.35247835816087,21.591193244623465,11.74822187890915,421.9587542678968,2070.4239806040728,0.9570659979725318,0.7777621842017166,6
1844,1469,3.7511228983637954,-3.7511228983637954,-3.7511228983637954,True,1.7372651653422215,0.19794218725138843,0.5780385696729824,0.2564019695414971,3.0,0.25309805934484064,1.0894224381672872,3.031134011348071,14.71814073986933,10.567387505315164,319.0647172201448,2602.5009539000794,0.9160228635795384,0.7098029708867643,8
1845,867,3.7685540154617945,-3.7685540154617945,-3.7685540154617945,True,1.072659521262191,0.26324001320338664,0.8749954445285723,0.17091883025805749,3.0,0.4684736541887632,3.078229762737317,2.568432229844104,13.833421517199994,8.649106077709067,341.7870331879819,1997.1041632859017,0.7492279064987613,0.595046111091958,8
1846,2620,3.773986249075609,-3.773986249075609,-3.773986249075609,True,1.2981206716875078,0.2935192001277894,0.7205427710389498,0.2228479045965504,1.0,0.6527720022251469,5.280336862779091,1.8846044105054824,14.615634021060988,7.273225597214285,292.83387363988214,2288.9415624379417,0.9425871906973988,0.5938102084543635,8
1847,2071,3.774909446288995,-3.774909446288995,-3.774909446288995,True,1.0950301438428462,0.22867562102518182,0.6256232558981928,0.2941710497171633,1.0,0.2637829645070758,5.505571849733193,3.8573797075058343,20.322528275281307,10.79213084897684,247.36652628087214,1900.9891202579956,0.5990986279901298,0.6989718587267402,6
1848,2991,3.760028601170493,-3.760028601170493,-3.790855671226886,True,0.9518568268414587,0.34880534722744927,0.6563171266135974,0.1299950237912929,0.0,0.4077585615699405,6.312385487627681,1.872143673203452,17.327407487977034,12.946035675784902,258.26617597285474,1199.5764726828604,0.9843980332122122,0.9254754364658988,8
1849,1764,3.7920598593562964,-3.7920598593562964,-3.7920598593562964,True,1.054841094300721,0.3953914795331697,0.6930081280246,0.10344889800134764,3.0,0.7190333421718846,3.547565942877145,3.7602656584689464,24.091736295315336,10.364636678142821,319.9147615074583,1256.3616451134667,0.5322304394899148,0.9691558591157474,6
1850,1419,3.764318993190342,-3.764318993190342,-3.797996209455583,True,1.1767213464358326,0.309990266089278,0.7356355755446758,0.23814617063726146,0.0,0.35948674431139827,7.1338354915081785,3.0232803720443755,24.197719017146753,14.526107509908664,287.5175805657843,1374.8180373716173,0.6245395526751318,0.8183769559625254,8
1851,639,3.8106823808215524,-3.8106823808215524,-3.8106823808215524,True,1.4814095917937204,0.39331184484064685,0.8237431429070556,0.24602591662488188,6.0,0.4513576688163655,1.6998817108099216,2.427880562658064,22.589935790276826,16.895440370640255,344.46070800344813,2901.1550253645473,0.8538926561678285,0.5597354307319199,8
