generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
32,3,16896,147.99237410002388,114.16804482493448,103.14620013031968,3.8134699326163077e-06,-6.459262037346873,6.459262037346873,1.4857429389044254,0.3698414333858391,0.6647348580881953,0.09890565518668921,0.0,0.3595511966852092,7.757918145021894,3.498300324372101,21.039072424173355,10.41276886542627,370.5893340520561,1574.1632360232968,0.9917665007524192,0.9059341568499804,6.0
33,3,17408,152.75518219999503,113.96012723947094,98.84158848234974,3.2899072752166247e-06,-6.459262037346873,6.459262037346873,1.4857429389044254,0.3698414333858391,0.6647348580881953,0.09890565518668921,0.0,0.3595511966852092,7.757918145021894,3.498300324372101,21.039072424173355,10.41276886542627,370.5893340520561,1574.1632360232968,0.9917665007524192,0.9059341568499804,6.0
34,3,17920,158.58459540002514,112.99962619192179,95.15075724001508,2.79110833695029e-06,-6.459262037346873,6.459262037346873,1.4857429389044254,0.3698414333858391,0.6647348580881953,0.09890565518668921,0.0,0.3595511966852092,7.757918145021894,3.498300324372101,21.039072424173355,10.41276886542627,370.5893340520561,1574.1632360232968,0.9917665007524192,0.9059341568499804,6.0
35,4,18432,173.61691009998322,106.16477386554861,96.45383894443512,8.680203820707284e-06,-3.210905135463511,3.210905135463511,1.3006685359799224,0.3078367379680276,0.44880533249576915,0.1266049231402576,0.0,0.2541969452533511,11.926877109187448,3.682379825899188,23.600725643336773,12.019510473862901,389.26124588758836,2504.563498684175,0.8382712303763459,0.5727777204856321,6.0
36,4,18944,178.8507003999548,105.92074818626088,91.84225155673354,7.331888098025343e-06,-3.210905135463511,3.210905135463511,1.3006685359799224,0.3078367379680276,0.44880533249576915,0.1266049231402576,0.0,0.2541969452533511,11.926877109187448,3.682379825899188,23.600725643336773,12.019510473862901,389.26124588758836,2504.563498684175,0.8382712303763459,0.5727777204856321,6.0
37,4,19456,186.19990309991408,104.48985029578664,88.1999540999593,6.2254050031704215e-06,-3.210905135463511,3.210905135463511,1.3006685359799224,0.3078367379680276,0.44880533249576915,0.1266049231402576,0.0,0.2541969452533511,11.926877109187448,3.682379825899188,23.600725643336773,12.019510473862901,389.26124588758836,2504.563498684175,0.8382712303763459,0.5727777204856321,6.0
38,4,19968,193.53558269992936,103.17482563896137,84.36166425381536,5.412462192767765e-06,-4.213740602170477,4.213740602170477,1.4977553165134414,0.39045522686797723,0.41247104509195065,0.15843304064615146,0.0,0.4326849500110557,12.373202849146125,3.378378378378378,20.00353789962541,13.252679570082691,310.6318896387427,1305.4294344040873,0.7996736014140021,0.7322579124662242,8.0
39,4,20480,198.6723833999131,103.08428202008956,79.46895335996524,4.987949560213886e-06,-5.3113106760960624,5.3113106760960624,1.6850005470822769,0.3752541350511619,0.7623835276113164,0.26003458494155934,0.0,0.3402494641639646,4.926573058589694,3.318214821568282,22.65284577533375,15.41797831683577,271.5548401905186,1137.5411197528988,0.6435049920626567,0.9464547704118453,8.0
40,4,20992,203.4575756000122,103.17630070098379,74.43569839024836,4.3034765841257346e-06,-5.875990931584447,5.875990931584447,1.8021886754855951,0.3141403581424506,0.8151211146265269,0.22724112828597007,1.0,0.284200858207047,3.973042518609775,4.301798672917416,17.589456889305023,9.326760973232325,421.6715828515589,2879.454266299971,0.945398323019448,0.8112588729709387,6.0
41,4,21504,207.25975339999422,103.75386271206766,69.08658446666475,3.6090738081822986e-06,-5.875990931584447,5.875990931584447,1.8021886754855951,0.3141403581424506,0.8151211146265269,0.22724112828597007,1.0,0.284200858207047,3.973042518609775,4.301798672917416,17.589456889305023,9.326760973232325,421.6715828515589,2879.454266299971,0.945398323019448,0.8112588729709387,6.0
42,4,22016,211.75120449997485,103.9710732790784,64.01780601162031,2.9112601264129387e-06,-5.875990931584447,5.875990931584447,1.8021886754855951,0.3141403581424506,0.8151211146265269,0.22724112828597007,1.0,0.284200858207047,3.973042518609775,4.301798672917416,17.589456889305023,9.326760973232325,421.6715828515589,2879.454266299971,0.945398323019448,0.8112588729709387,6.0
43,5,22528,225.7390529999975,99.79664440250951,61.565196272726595,8.508467944140355e-06,-4.304571428571428,4.304571428571428,1.5846778249556381,0.3718879095609977,0.8777344085276129,0.1108695077523589,0.0,0.47377808885824935,12.771236893479392,2.049320894635771,22.042462243698537,13.16445169307959,220.5149243522201,1592.5316598555373,0.9437743413352002,0.6453561340167433,8.0
44,5,23040,230.69558329996653,99.87187301302505,56.392253695547375,6.8650624755717244e-06,-5.5920133656673325,5.5920133656673325,1.3399832539382308,0.38523213712442067,0.5811052965854173,0.14537286590707316,1.0,0.31104107253992597,3.0004689424030113,2.0377537575374767,19.8902017870067,14.196133578996484,221.5370091425776,1747.9395781285457,0.9842131250419399,0.8468210413729826,8.0
45,5,23552,234.771942100022,100.31863172970614,51.03737871739609,5.743610622042662e-06,-5.5920133656673325,5.5920133656673325,1.3399832539382308,0.38523213712442067,0.5811052965854173,0.14537286590707316,1.0,0.31104107253992597,3.0004689424030113,2.0377537575374767,19.8902017870067,14.196133578996484,221.5370091425776,1747.9395781285457,0.9842131250419399,0.8468210413729826,8.0
46,5,24064,239.51518190000206,100.46962288197145,45.864609300000396,4.773192421503918e-06,-5.912186827612505,5.912186827612505,1.5388081440097072,0.354257283445039,0.8331922861812685,0.15666184064293429,0.0,0.4208158498089589,5.5116499107902275,2.188578483409683,19.53139041996628,15.035480731366706,221.34675017935433,1884.4322972581233,0.8328799278694512,0.8959340574219823,8.0
47,5,24576,244.9335023999447,100.33743754609189,40.822250399990786,4.01261539849383e-06,-6.620909866194299,6.620909866194299,1.6798952059979717,0.29796869098252443,0.8545346164259084,0.1813813295032291,1.0,0.2701600471249577,7.42371153475512,1.9659827076144936,20.374207298938245,13.147087749980031,298.8795818367796,1991.597674377471,0.8376945576196355,0.6830123288804764,8.0
48,5,25088,250.3925552999135,100.19467220161664,35.77036504284479,3.2899186071054707e-06,-6.620909866194299,6.620909866194299,1.6798952059979717,0.29796869098252443,0.8545346164259084,0.1813813295032291,1.0,0.2701600471249577,7.42371153475512,1.9659827076144936,20.374207298938245,13.147087749980031,298.8795818367796,1991.597674377471,0.8376945576196355,0.6830123288804764,8.0
49,5,25600,255.05470400000922,100.37062480525384,30.606564480001104,2.6671741446455643e-06,-6.620909866194299,6.620909866194299,1.6798952059979717,0.29796869098252443,0.8545346164259084,0.1813813295032291,1.0,0.2701600471249577,7.42371153475512,1.9659827076144936,20.374207298938245,13.147087749980031,298.8795818367796,1991.597674377471,0.8376945576196355,0.6830123288804764,8.0
50,5,26112,259.9756789000239,100.44016467417944,25.48781165686509,2.0163619285775687e-06,-6.620909866194299,6.620909866194299,1.6798952059979717,0.29796869098252443,0.8545346164259084,0.1813813295032291,1.0,0.2701600471249577,7.42371153475512,1.9659827076144936,20.374207298938245,13.147087749980031,298.8795818367796,1991.597674377471,0.8376945576196355,0.6830123288804764,8.0
