rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power
2116,2322,33.579904761904764,-33.579904761904764,-33.579904761904764,True,1.4265850352104752,0.24043861902676747,0.6358705011237802,0.22873659247532485,2.0,0.21530846480640561,0.09301395024785732,4.0230632871448435,3.8748239494664602,2.7104877667773177,20.0,13.0,20.0,10.0,392.164790590403,1186.703221872449
2117,1950,33.584761904761905,-33.584761904761905,-33.584761904761905,True,1.3963261818485548,0.13357146938311248,0.3213169684165803,0.15509712137281895,1.0,0.35032597883811,0.057774312821494186,3.9458083354824964,3.885690429211195,1.600855485301819,15.0,8.0,20.0,11.0,552.2258535542809,1242.0094318353565
2118,1585,33.58619047619048,-33.58619047619048,-33.58619047619048,True,1.5992046861248626,0.2625744999690641,0.7786156319112323,0.18736933572109482,3.0,0.2276869764435049,0.09768502769000074,3.923313562587353,1.8928359932383358,1.9252426298840075,14.0,7.0,21.0,13.5,630.5408598729994,1702.1493250476192
2119,205,33.58961904761905,-33.58961904761905,-33.58961904761905,True,1.2874954923436714,0.24264648429614574,0.6747750534897508,0.09129479540499001,2.0,0.5216984007568237,0.06195374116353766,3.8670007644844304,3.2654188190814395,2.059856748292871,14.0,8.5,22.0,10.0,542.8560015813596,1120.6308161461886
2120,361,33.602089503526265,-33.602089503526265,-33.602089503526265,True,1.2620159749688191,0.36001182544976473,0.4638041850728942,0.14994689645325968,2.0,0.42739535819314234,0.07194877698556272,3.0925294740082663,2.132652090489259,1.6989561417245402,14.0,10.0,20.0,15.0,646.0234185215086,1447.6743074905282
2121,2481,33.60733333333334,-33.60733333333334,-33.60733333333334,True,1.427996374272578,0.39029317110829953,0.8475143457505183,0.1859215855901672,3.0,0.2936775269128772,0.10878026659798584,3.5893072611129355,0.989320256497713,2.536190760142241,20.0,15.0,22.0,13.0,374.20450364557774,2339.01159625786
2122,2258,33.612578136163464,-33.612578136163464,-33.612578136163464,True,1.6596423696919158,0.29265343214049533,0.32299422151710633,0.21958882421557507,2.0,0.4888946469663714,0.0778335384054105,1.6007629244760082,0.38893060471221474,2.391152394381729,11.0,8.5,20.0,15.0,422.68466705330235,1621.3075038780419
2123,638,33.61933333333334,-33.61933333333334,-33.61933333333334,True,1.3618658698873973,0.3697061125848633,0.6949645864382482,0.23921935890759166,3.0,0.3811990703156237,0.07560134467241872,3.398579839150834,0.2273116969710074,1.5532218177015928,13.0,6.5,17.0,10.0,523.4230726141184,2092.174942630647
2124,2795,33.62133333333333,-33.62133333333333,-33.62133333333333,True,1.4752736982012278,0.19941277775913477,0.4580979321071115,0.28230488662482045,1.0,0.24312012023748125,0.0562666756677417,3.3639925099608377,1.4188612260768423,1.379383482844443,18.0,8.0,21.0,13.5,637.686910899356,1623.2013456107297
2125,2432,33.64761904761905,-33.64761904761905,-33.64761904761905,True,0.9759083283871413,0.3697288447234461,0.8022555328945579,0.14604066141038277,4.0,0.5512975248477631,0.12209527093974142,2.950106063238472,2.6473660076446137,1.4219140111314839,20.0,13.0,20.0,8.0,360.07434868835884,1395.7644837070575
2126,1353,33.64961904761905,-33.64961904761905,-33.64961904761905,True,1.14083888447111,0.3293571906321888,0.7276028995279922,0.1911961675213082,5.0,0.33320733105234474,0.06649454089599574,2.9165421392327175,1.7046350693891696,3.085477472030394,19.0,10.0,18.0,8.0,430.2978146814624,2551.253306561607
2127,2010,33.68047619047619,-33.68047619047619,-33.68047619047619,True,1.1763788678590208,0.3730159007694349,0.5903053684181149,0.22657785208822376,2.0,0.36793911290160397,0.07528989296387245,2.427123450597996,2.305711963025942,1.255082957166688,20.0,15.0,22.0,10.0,378.2856712137897,2561.445608854644
2128,1197,33.69155872871362,-33.69155872871362,-33.69155872871362,True,1.5058055386699736,0.2260420561954379,0.611240117624402,0.1190797547250986,2.0,0.5404356842000037,0.03442125781709328,3.9478171347423157,1.6650643204500284,1.2175068563303433,14.0,7.0,19.0,8.0,225.8006228134036,1597.6425595581532
2129,1236,33.70333333333333,-33.70333333333333,-33.70333333333333,True,1.3284746518313884,0.2803073205426335,0.8676363056525589,0.12100948300212622,6.0,0.22517445963621133,0.04344352643769234,2.063661054855366,0.2304232101720629,3.1884581192925165,17.0,10.0,11.0,4.5,297.6482817903161,2613.816946744919
2130,1881,33.71419047619048,-33.71419047619048,-33.71419047619048,True,1.5033558156017341,0.36408281367272144,0.8340197118273296,0.23943753425543512,6.0,0.3887583954966413,0.09524833284906518,1.8914616485212363,0.6736026631128809,2.880833187618771,21.0,13.5,14.0,8.5,300.60248328988325,1804.3074509039589
2131,2479,33.71447619047619,-33.71447619047619,-33.71447619047619,True,1.1364283073914765,0.3045725335918533,0.724588814189731,0.11336707913569778,4.0,0.17740953117124728,0.04151049670744686,1.8847439006168472,0.3695425227428544,1.752056970037637,20.0,10.0,25.0,12.5,342.19839367266206,1144.6389149042438
2132,2631,33.7159868150992,-33.7159868150992,-33.7159868150992,True,1.6101960826051527,0.2967727037403772,0.8828151766507919,0.12332734347379155,2.0,0.2320723311543685,0.0689562823511039,6.51888071553801,4.761998050089353,3.0611696556093584,21.0,12.0,21.0,13.5,509.2516398165264,1947.178667794179
2133,161,33.75190476190476,-33.75190476190476,-33.75190476190476,True,1.2419599747538568,0.34408833876252176,0.8845308059826493,0.1399284224338202,6.0,0.4754801400845018,0.06316932638000257,1.2935506944412012,0.5772296864237774,2.5605607953749554,20.0,11.0,16.0,8.0,254.5898286401639,1583.249932155013
2134,451,33.75190476190476,-33.75190476190476,-33.75190476190476,True,1.3328045026629856,0.26970618964583826,0.7474262863193248,0.11037673935732038,5.0,0.43328989174605675,0.06446727425472186,1.291085324984543,1.1789328802112564,1.1612422632124308,12.0,8.0,22.0,13.0,383.46346081234515,1525.0545906035832
2135,407,33.7562543823998,-33.7562543823998,-33.7562543823998,True,1.6936162658218294,0.19487891138672853,0.5099429283229744,0.16536627207930096,2.0,0.5820477696166777,0.05627468603132373,3.7322960654504556,3.3943164913015806,2.954282313835044,20.0,13.0,20.0,13.0,615.7474373467267,1344.315173870747
2136,1774,33.76090622006052,-33.76090622006052,-33.76090622006052,True,1.0557680985283107,0.23155095595866443,0.5335603130981326,0.20914006726816298,1.0,0.47965518794283263,0.02843333455212413,2.39080565493434,0.4899767120171745,2.5191200709826234,12.0,8.0,18.0,8.0,635.770149435848,2396.9393838196993
2137,672,33.76864934821741,-33.76864934821741,-33.76864934821741,True,1.7655917639446401,0.2265572936787957,0.7389688989641078,0.21820154366635006,5.0,0.4897932139416813,0.029907641152436305,0.8621532169315742,0.6748954614445921,2.343684477436392,22.0,13.0,18.0,8.0,439.5966744475152,2982.0780071403087
2138,113,34.01361783298882,-34.01361783298882,-34.01361783298882,True,1.1803369349360466,0.31624620716768104,0.3977772083133459,0.1156298321737228,5.0,0.573081227151677,0.13493805125812067,2.9279449951763183,0.8383539193946703,2.553459006185467,14.0,8.5,22.0,13.0,252.24461115162126,1956.9560400136975
2139,2246,34.028475839801885,-34.028475839801885,-34.028475839801885,True,1.761286784933799,0.1990004375576973,0.8307050231804565,0.1439000240255174,9.0,0.19647596656607128,0.1252544624567963,1.0790314769638485,0.23987148951717074,3.02286561629606,19.0,12.0,19.0,12.0,409.559692395851,1040.826958360722
2140,2030,34.09837726561324,-34.09837726561324,-34.09837726561324,True,1.4855295684369982,0.3165696156300765,0.7432552384212614,0.08412037297068518,2.0,0.44608707415200766,0.10656041524301499,4.690784474552153,4.582968570400055,2.67900957044358,16.0,7.0,20.0,15.0,337.79767033253825,1876.920231482914
2141,454,34.157707684991294,-34.157707684991294,-34.157707684991294,True,1.3005366847984492,0.24038592209502266,0.7099896649715289,0.23338626979094812,2.0,0.49744092980601906,0.11180312051320135,3.8778396721839883,3.344506384160603,1.4395388340127364,15.0,10.0,18.0,12.0,269.075356571769,1422.084421633022
2142,1004,34.15985914957958,-34.15985914957958,-34.15985914957958,True,1.7242484655005126,0.36644444764222867,0.4167392410945907,0.1609665542407851,0.0,0.5993080573011687,0.03503932872506482,0.981666486047402,0.3039393662839558,2.1702556378834257,11.0,8.0,15.0,10.0,269.8639453910944,2423.9397761353125
2143,2931,34.18647619047619,-34.18647619047619,-34.18647619047619,True,1.2207541921286653,0.2917427143396222,0.7653873011469842,0.10867835151031613,1.0,0.2904114042493575,0.08282143082922606,10.271510381366632,6.122820121266884,2.2228283086907945,17.0,12.0,15.0,6.0,631.9882841780782,1249.881746950175
2144,2807,34.19761904761905,-34.19761904761905,-34.19761904761905,True,1.113372939803824,0.3173348127823108,0.630947764031589,0.28304374208970473,1.0,0.30235446318847836,0.08068343602459264,10.092810044770275,7.755501005966082,2.64664524527369,22.0,10.0,21.0,13.0,241.20098459969424,2265.1916866364254
2145,2273,34.207314616819865,-34.207314616819865,-34.207314616819865,True,1.5660402468635146,0.19486189063779374,0.710773581388296,0.2747630109210456,5.0,0.39910582417622203,0.14034539635454366,0.7256260711566398,0.3865582879046059,3.114904417580849,21.0,12.0,17.0,7.0,478.1490281689912,2222.4227245897055
2146,15,34.2253059700759,-34.2253059700759,-34.2253059700759,True,1.7583065556317568,0.2945400246232748,0.39319680612534286,0.1694260516576469,2.0,0.3732370442625135,0.05601844391562044,7.221149913721227,2.7044901459572728,2.5933008675236957,20.0,8.0,10.0,6.0,598.3723174314946,2853.332495316863
