generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,feasible_population_fraction,finite_energy_relative_std,best_objective,best_score,global_best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power
21,2,12288,249.24832119999337,49.30023175618616,913.9105110666424,nan,0.7890625,3.1467087733172843,5.435942975845,-5.435942975845,3.2105484507030626,1.745521619870141,0.3321152546256781,0.42186192646622656,0.2918204852379858,4.0,0.2588126602191478,0.018079508641455327,0.5215768428604193,0.19338100110683598,3.1109251514882654,15.0,10.0,16.0,12.0,304.40066042356193,2617.6781691610813
22,2,12800,253.45252659999824,50.50255435094206,882.0147925679938,nan,0.80859375,3.237537613372953,5.435942975845,-5.435942975845,3.2105484507030626,1.745521619870141,0.3321152546256781,0.42186192646622656,0.2918204852379858,4.0,0.2588126602191478,0.018079508641455327,0.5215768428604193,0.19338100110683598,3.1109251514882654,15.0,10.0,16.0,12.0,304.40066042356193,2617.6781691610813
23,2,13312,257.8594116000022,51.625030544356854,852.919592215392,nan,0.81640625,3.2546938799922427,5.435942975845,-5.435942975845,3.2105484507030626,1.745521619870141,0.3321152546256781,0.42186192646622656,0.2918204852379858,4.0,0.2588126602191478,0.018079508641455327,0.5215768428604193,0.19338100110683598,3.1109251514882654,15.0,10.0,16.0,12.0,304.40066042356193,2617.6781691610813
24,2,13824,262.61819759999344,52.63915496463808,826.7609924444239,nan,0.828125,3.439017285629546,5.435942975845,-5.435942975845,3.2105484507030626,1.745521619870141,0.3321152546256781,0.42186192646622656,0.2918204852379858,4.0,0.2588126602191478,0.018079508641455327,0.5215768428604193,0.19338100110683598,3.1109251514882654,15.0,10.0,16.0,12.0,304.40066042356193,2617.6781691610813
25,2,14336,266.9747978999949,53.69795243882934,800.9243936999846,nan,0.841796875,3.52780726595759,5.435942975845,-5.435942975845,3.2105484507030626,1.745521619870141,0.3321152546256781,0.42186192646622656,0.2918204852379858,4.0,0.2588126602191478,0.018079508641455327,0.5215768428604193,0.19338100110683598,3.1109251514882654,15.0,10.0,16.0,12.0,304.40066042356193,2617.6781691610813
26,2,14848,271.91327619999356,54.60564562165484,778.2345491241194,nan,0.85546875,3.6841671506486477,5.435942975845,-5.435942975845,3.2105484507030626,1.745521619870141,0.3321152546256781,0.42186192646622656,0.2918204852379858,4.0,0.2588126602191478,0.018079508641455327,0.5215768428604193,0.19338100110683598,3.1109251514882654,15.0,10.0,16.0,12.0,304.40066042356193,2617.6781691610813
27,2,15360,277.244154400003,55.40243051559118,757.8006886933416,nan,0.873046875,3.7926660415744675,5.435942975845,-5.435942975845,3.2105484507030626,1.745521619870141,0.3321152546256781,0.42186192646622656,0.2918204852379858,4.0,0.2588126602191478,0.018079508641455327,0.5215768428604193,0.19338100110683598,3.1109251514882654,15.0,10.0,16.0,12.0,304.40066042356193,2617.6781691610813
28,2,15872,281.0951372999989,56.46486862937299,734.4743910096745,nan,0.876953125,3.8735239807156776,5.435942975845,-5.435942975845,3.2105484507030626,1.745521619870141,0.3321152546256781,0.42186192646622656,0.2918204852379858,4.0,0.2588126602191478,0.018079508641455327,0.5215768428604193,0.19338100110683598,3.1109251514882654,15.0,10.0,16.0,12.0,304.40066042356193,2617.6781691610813
29,2,16384,287.5501432000019,56.9778885090115,718.8753580000048,nan,0.88671875,3.896538484543372,5.435942975845,-5.435942975845,3.2105484507030626,1.745521619870141,0.3321152546256781,0.42186192646622656,0.2918204852379858,4.0,0.2588126602191478,0.018079508641455327,0.5215768428604193,0.19338100110683598,3.1109251514882654,15.0,10.0,16.0,12.0,304.40066042356193,2617.6781691610813
30,2,16896,293.1865145000047,57.628844317120624,701.8707468333446,nan,0.892578125,3.9102780052966764,5.435942975845,-5.435942975845,3.2105484507030626,1.745521619870141,0.3321152546256781,0.42186192646622656,0.2918204852379858,4.0,0.2588126602191478,0.018079508641455327,0.5215768428604193,0.19338100110683598,3.1109251514882654,15.0,10.0,16.0,12.0,304.40066042356193,2617.6781691610813
31,3,17920,333.609217899997,53.71554213280675,733.9402793799935,nan,0.8125,3.296424245373051,8.26066044688513,-8.26066044688513,3.2105484507030626,1.779762129759579,0.39985242016613487,0.546153567403334,0.22346111876202615,0.0,0.27381483662586154,0.06791047251780757,4.674803329369638,4.49873402357575,2.1007316622592107,12.0,8.0,18.0,12.0,532.2508984749128,2261.6661069254897
32,3,18432,341.42379329999676,53.98569274228778,720.7835636333266,nan,0.84375,3.5931359411832036,8.26066044688513,-8.26066044688513,3.2105484507030626,1.779762129759579,0.39985242016613487,0.546153567403334,0.22346111876202615,0.0,0.27381483662586154,0.06791047251780757,4.674803329369638,4.49873402357575,2.1007316622592107,12.0,8.0,18.0,12.0,532.2508984749128,2261.6661069254897
33,3,18944,347.3257387000049,54.54245939533572,704.0386595270369,nan,0.859375,3.9068428865253124,8.26066044688513,-8.26066044688513,3.2105484507030626,1.779762129759579,0.39985242016613487,0.546153567403334,0.22346111876202615,0.0,0.27381483662586154,0.06791047251780757,4.674803329369638,4.49873402357575,2.1007316622592107,12.0,8.0,18.0,12.0,532.2508984749128,2261.6661069254897
34,3,19456,353.9314013999974,54.97110435254006,689.2348343052581,nan,0.873046875,4.1932265757050216,7.291257601067535,-7.291257601067535,3.2105484507030626,1.722059700156095,0.27196715719095826,0.7037791692485293,0.24322611978277564,0.0,0.24229231359069778,0.0878214663432911,3.848776399369214,3.5689098548655807,3.352120528313964,13.0,10.0,24.0,12.0,498.7858242895086,1897.7242738844188
35,3,19968,360.04645110000274,55.45951067978697,673.9331007769282,nan,0.888671875,4.783205312209313,7.291257601067535,-7.291257601067535,3.2105484507030626,1.722059700156095,0.27196715719095826,0.7037791692485293,0.24322611978277564,0.0,0.24229231359069778,0.0878214663432911,3.848776399369214,3.5689098548655807,3.352120528313964,13.0,10.0,24.0,12.0,498.7858242895086,1897.7242738844188
36,3,20480,367.87006620000466,55.67183057744463,662.1661191600084,nan,0.8984375,4.810684157736173,7.291257601067535,-7.291257601067535,3.2105484507030626,1.722059700156095,0.27196715719095826,0.7037791692485293,0.24322611978277564,0.0,0.24229231359069778,0.0878214663432911,3.848776399369214,3.5689098548655807,3.352120528313964,13.0,10.0,24.0,12.0,498.7858242895086,1897.7242738844188
37,3,20992,376.4750920999941,55.75933292932005,651.9446716853556,nan,0.91796875,5.003575963504218,7.291257601067535,-7.291257601067535,3.2105484507030626,1.722059700156095,0.27196715719095826,0.7037791692485293,0.24322611978277564,0.0,0.24229231359069778,0.0878214663432911,3.848776399369214,3.5689098548655807,3.352120528313964,13.0,10.0,24.0,12.0,498.7858242895086,1897.7242738844188
38,3,21504,383.9589207999961,56.0059913576052,639.9315346666601,nan,0.93359375,5.364669854185927,6.497617862646319,-6.497617862646319,3.2105484507030626,1.6065102194567307,0.35394612111597734,0.8739416605716557,0.2906010819164444,0.0,0.2754875040249359,0.08191277743061239,4.6809685367337295,3.9123281407815185,3.1017591518696057,20.0,13.0,24.0,12.0,302.36009999646234,2403.353216979958
39,3,22016,392.23669599999266,56.12937347402195,629.4030703255696,nan,0.935546875,5.975339377126373,6.497617862646319,-6.497617862646319,3.2105484507030626,1.6065102194567307,0.35394612111597734,0.8739416605716557,0.2906010819164444,0.0,0.2754875040249359,0.08191277743061239,4.6809685367337295,3.9123281407815185,3.1017591518696057,20.0,13.0,24.0,12.0,302.36009999646234,2403.353216979958
40,3,22528,402.18510570000217,56.01400867590577,621.5587997181851,nan,0.9453125,6.007475467950313,-3.6878445518319216,3.6878445518319216,3.6878445518319216,1.4179064858086408,0.2800260984363827,0.7321991265489797,0.16622081892564894,0.0,0.4197190460866119,0.10954613389861606,3.2428677931498555,1.7956640974789906,2.371235326997712,20.0,15.0,19.0,12.0,284.90294601741084,1077.7840368734269
41,4,23552,442.809986399996,53.1875990229479,635.3360674434725,nan,0.796875,3.211798890753201,5.9567345666098195,-5.9567345666098195,3.6878445518319216,1.7715795156698673,0.2747274701297283,0.7493414159864188,0.1899236088618636,0.0,0.23313180743604892,0.048100349474139506,3.3255044425614244,0.815587022621969,2.598927656339632,16.0,12.0,20.0,10.0,402.91041075251997,2330.32900840044
42,4,24064,449.26092719999724,53.563527436000335,621.3183035744643,nan,0.8203125,3.421331674491678,5.9567345666098195,-5.9567345666098195,3.6878445518319216,1.7715795156698673,0.2747274701297283,0.7493414159864188,0.1899236088618636,0.0,0.23313180743604892,0.048100349474139506,3.3255044425614244,0.815587022621969,2.598927656339632,16.0,12.0,20.0,10.0,402.91041075251997,2330.32900840044
43,4,24576,458.72042299999157,53.57511627512702,611.6272306666555,nan,0.841796875,3.7898228104781935,5.9567345666098195,-5.9567345666098195,3.6878445518319216,1.7715795156698673,0.2747274701297283,0.7493414159864188,0.1899236088618636,0.0,0.23313180743604892,0.048100349474139506,3.3255044425614244,0.815587022621969,2.598927656339632,16.0,12.0,20.0,10.0,402.91041075251997,2330.32900840044
