score,objective,generation,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
6.00215091144611,-6.00215091144611,282,1.7672342019611889,0.3907705359134482,0.5079180696504514,0.08016591204503756,0.0,0.4875681824401992,11.164682097661268,3.405735247831826,3.3148066643845606,21.0,13.5,21.0,12.0,227.33083311468363,2215.8553490035015,23.37149447112398
1.6237440537873828,-1.6237440537873828,300,1.8204493402692776,0.3388449943978901,0.30182573637619087,0.26089147624519143,0.0,0.40614296817732526,11.256741183946895,5.698652070570781,3.2135224341739064,20.0,15.0,20.0,13.0,251.27166598396397,2363.509622833131,13.993505802757545
-3.4278439683216977,3.4278439683216977,246,1.762976187543269,0.37960481144701474,0.6638729702057137,0.12174557895600119,0.0,0.46006151281994623,11.114522643445138,9.57900230809138,3.2685783512906514,20.0,15.0,20.0,15.0,232.3159820358657,2330.3850145156384,24.736979825502058
-3.4696741382836684,3.4696741382836684,230,1.8232362821639412,0.32426902056555107,0.5145142747267306,0.18600727093740027,0.0,0.37743804992698304,11.414124921493602,10.808771870258841,3.08336329489516,20.0,15.0,19.0,12.0,243.68729809350103,2257.7608799106997,25.85026812905891
-3.5115706478904594,3.5115706478904594,228,1.7330499481254107,0.3718164691258532,0.36043938041956736,0.20566473278432226,0.0,0.31323904931245744,11.165915446652924,10.142418883271688,3.303217700484929,20.0,15.0,20.0,15.0,242.38474169767792,2769.12628392944,38.09201176665333
-3.58569383647853,3.58569383647853,284,1.7895985801334457,0.3603127598148508,0.6509407622364138,0.1370717436058383,0.0,0.5195139666983517,11.052062089050828,10.122139319105132,3.114442302893674,20.0,15.0,22.0,13.0,232.45165808496623,2201.9428405492345,39.65446085625264
-3.5956794513952177,3.5956794513952177,298,1.7371370236204702,0.358461505917551,0.7195496417557729,0.2259017955510919,0.0,0.5686665745522361,11.026016842824404,10.130372368740394,3.3664397833281945,20.0,15.0,17.0,12.0,263.91063476873853,2361.1279532505305,6.8068889170232705
-3.596568441796757,3.596568441796757,249,1.7048701693686874,0.3884383707374025,0.4891981066178461,0.17942693866806717,0.0,0.38338453695933516,11.150603521036917,8.768233149574902,3.35836048108104,20.0,13.0,19.0,12.0,253.35263528372238,2400.0924662338684,20.979468030796433
-3.610714105178001,3.610714105178001,288,1.799066924507331,0.3728134034244361,0.5612233293836171,0.13721373591802183,0.0,0.5473570747775628,11.482143936381792,6.869669637248322,3.286367254471299,20.0,15.0,20.0,15.0,257.5290935693438,2363.380356585485,14.857601135977422
-3.6164598319131107,3.6164598319131107,229,1.782298032015289,0.37412305429801507,0.8333378697339029,0.153690909848942,0.0,0.3453851255217948,11.00127632863212,10.917549540071194,3.165195514599236,21.0,13.5,22.0,12.0,242.6668223464055,2225.7020151733095,18.010961836797115
-3.6206527154569477,3.6206527154569477,290,1.8143011712610744,0.36925314175802554,0.7493520020504435,0.18943804941529468,0.0,0.4911053412375687,11.317063474493901,10.418349605015356,3.1775856346549363,22.0,13.0,21.0,13.5,232.0426181729669,1969.4307871084877,10.95936513076789
-3.653082982706909,3.653082982706909,300,1.82234706392155,0.3548968645403466,0.5860495914948788,0.2323570334310336,0.0,0.5024155576647319,11.378146786868385,8.202318504161557,3.1694964792530023,20.0,15.0,17.0,12.0,257.0581246000145,2348.6407837738957,7.2572719094292495
-3.6591324721018994,3.6591324721018994,289,1.7911693189331257,0.3647180155925912,0.8152483333061787,0.20402593940053376,0.0,0.3468541298174042,11.34828517787228,10.086788279055785,3.138585814439511,20.0,15.0,20.0,15.0,247.92182671085192,2171.3648876225284,5.794143521107422
-3.6835790532035437,3.6835790532035437,230,1.6465934608837185,0.39328283660943486,0.8902865247178005,0.16610505318725294,0.0,0.4089014571430153,11.26408453821831,10.008153886069449,3.3718699077903462,20.0,15.0,20.0,13.0,247.07464270308088,2318.9992068388724,16.3082948512343
-3.7150674879330703,3.7150674879330703,222,1.8156852774632584,0.3553787272808184,0.6404264205708579,0.08764981267344484,0.0,0.36510544251997357,11.143916205350674,9.474081492623421,3.21247124393882,19.0,12.0,20.0,12.0,261.94213992056154,2033.900237299652,30.58734952827805
-3.7150674879330703,3.7150674879330703,281,1.8156852774632584,0.3553787272808184,0.6404264205708579,0.08764981267344485,0.0,0.36510544251997357,11.143916205350674,9.474081492623421,3.21247124393882,19.0,12.0,20.0,12.0,261.94213992056154,2033.900237299652,30.587349528278054
-3.740664694886431,3.740664694886431,245,1.820375290202803,0.36163000336673,0.47590704191007926,0.19502703696273865,0.0,0.5832378871587213,11.689067768611228,10.467311830601627,3.3312959330155785,21.0,13.5,20.0,15.0,235.3779461222962,2295.257355625404,22.294991440330804
