case_id,design_wing_span,design_wing_chord,design_tail_arm,design_nose_length,design_ducks_num,design_pucks_num,design_banner_length,design_batt_capacity,status,error,main_seconds,mech_seconds,prop_m1_seconds,aero_m1_seconds,prop_m2_seconds,aero_m2_seconds,prop_m3_seconds,aero_m3_seconds,prop_total_seconds,aero_total_seconds,module_total_seconds,other_seconds
40,0.9721990711003974,0.1694015411004398,0.4529026812479918,0.08487364954932287,7,2,3.2642883542088232,7.715469857529972,ok,,0.018590799998492002,0.0022076000459492207,0.0035943000111728907,0.0018399001564830542,0.005537400022149086,0.0015429998748004436,0.0034759000409394503,0.0003098000306636095,0.012607600074261427,0.0036927000619471073,0.018507900182157755,8.289981633424759e-05
41,1.269371898894717,0.3454721170867479,0.8925002581829862,0.1412541364741185,8,10,2.1868247915063694,8.92599633752307,ok,,0.02052449993789196,0.0021563000045716763,0.006254999898374081,0.0017840000800788403,0.0036788000725209713,0.0013407999649643898,0.0034785999450832605,0.0017390998546034098,0.013412399915978312,0.00486389989964664,0.02043259982019663,9.190011769533157e-05
42,1.0395724669381083,0.12249854071797198,0.5218851278798544,0.1743307528614404,6,1,3.269428833964043,3.440067060993653,ok,,0.019018299877643585,0.0018003000877797604,0.005773300072178245,0.0016826000064611435,0.0036144000478088856,0.0013427999801933765,0.0043975000735372305,0.00032739993184804916,0.01378520019352436,0.003352799918502569,0.01893830019980669,7.999967783689499e-05
43,1.5433368653996176,0.25723380818867303,0.31111909025929074,0.19065511243994177,6,5,0.5671942394521928,9.382885148621579,ok,,0.024284499930217862,0.0038998001255095005,0.003797600045800209,0.0016892000567167997,0.0039265998639166355,0.0014726000372320414,0.007563600083813071,0.0018414999358356,0.015287799993529916,0.005003300029784441,0.024190900148823857,9.359978139400482e-05
44,1.111833468153565,0.28447619724605444,0.7371590606437998,0.1338376144884591,3,6,4.19896773224232,2.613806961442637,ok,,0.020992100005969405,0.0025822999887168407,0.005202599801123142,0.003796899924054742,0.003813300048932433,0.001455900026485324,0.003714399877935648,0.00033660000190138817,0.012730299727991223,0.005589399952441454,0.020901999669149518,9.010033681988716e-05
45,1.7520113518580938,0.2585264808623764,0.40550514651597236,0.08676722958045979,6,3,2.3937074371812117,5.247514271202548,ok,,0.01960480003617704,0.0018452000804245472,0.0052386000752449036,0.0018064999021589756,0.003581699915230274,0.001401799963787198,0.004258499946445227,0.0013919000048190355,0.013078799936920404,0.004600199870765209,0.01952419988811016,8.060014806687832e-05
46,0.8473227881391517,0.22049644657881948,0.5004813709924653,0.1260858008645962,4,8,1.7642587026714085,1.5018750916567507,ok,,0.025261499918997288,0.00345690012909472,0.004490799969062209,0.0016057000029832125,0.00483900005929172,0.0017768999096006155,0.007191300159320235,0.0018072999082505703,0.016521100187674165,0.005189899820834398,0.025167900137603283,9.359978139400482e-05
47,1.2444914587995464,0.1422722968706814,0.5659428264915405,0.19985284276936735,8,1,3.1100385283651666,9.615382265708604,ok,,0.020439400104805827,0.0021146999206393957,0.004271399928256869,0.0019074000883847475,0.006692299852147698,0.0015349001623690128,0.0035294999834150076,0.0002810999285429716,0.014493199763819575,0.003723400179296732,0.020331299863755703,0.00010810024105012417
48,1.640685697440419,0.21688214554201102,0.4540452473047385,0.16216739318437426,6,6,2.7360595098948854,3.7828516112471435,ok,,0.019857099978253245,0.001999999862164259,0.00607040012255311,0.0019529999699443579,0.0036130999214947224,0.0013339000288397074,0.0034783000592142344,0.001316100126132369,0.013161800103262067,0.004603000124916434,0.01976480009034276,9.229988791048527e-05
49,1.0979833205178449,0.24664195269606365,0.8180591252549092,0.09027778199440568,5,4,2.5516449958811167,4.544990489098962,ok,,0.02237700019031763,0.004002500092610717,0.004543999908491969,0.0017359999474138021,0.0034694999922066927,0.0013118998613208532,0.003911999985575676,0.00330069987103343,0.011925499886274338,0.0063485996797680855,0.02227659965865314,0.0001004005316644907
50,1.1785211448434199,0.252753490471441,0.45249449412753895,0.18505256514529797,9,10,1.6271158745325647,6.6805692671547146,ok,,0.021639500046148896,0.0023157999385148287,0.0036118999123573303,0.001478500198572874,0.0047865998931229115,0.003834199858829379,0.0039178000297397375,0.0015960999298840761,0.01231629983521998,0.006908799987286329,0.021540899761021137,9.860028512775898e-05
51,1.6252078919032646,0.3058225382604974,0.5009784013815787,0.26429335919808405,10,7,1.009593404487648,3.4068782232782997,ok,,0.023939100094139576,0.0027805001009255648,0.007598900003358722,0.002512000035494566,0.004343000007793307,0.0015653001610189676,0.003676600055769086,0.001366300042718649,0.015618500066921115,0.0054436002392321825,0.023842600407078862,9.649968706071377e-05
52,1.4458263465888328,0.27079401171096507,0.8044374664249394,0.1293983781205911,6,10,2.2267669427360417,4.479583670258513,ok,,0.025367200141772628,0.003999699838459492,0.0037550998385995626,0.0017810000572353601,0.00607770006172359,0.0017921999096870422,0.006198900053277612,0.0016665998846292496,0.016031699953600764,0.005239799851551652,0.025271199643611908,9.600049816071987e-05
53,1.579180656965878,0.2935686526153788,0.5136699458616307,0.09638008062854653,3,6,3.0192423679543627,8.370033765093385,ok,,0.02001080010086298,0.0018913999665528536,0.0039319999050349,0.001537499949336052,0.005364400101825595,0.0015000998973846436,0.0037588998675346375,0.0019368999637663364,0.013055299874395132,0.004974499810487032,0.019921199651435018,8.96004494279623e-05
54,0.9948622256775601,0.28543468133637545,0.5961104534900703,0.1597462413174478,6,8,4.164083438435066,9.479803714419324,ok,,0.029062499990686774,0.003800200065597892,0.006827300181612372,0.00209650001488626,0.00557939987629652,0.0022328998893499374,0.008193699875846505,0.00021529989317059517,0.020600399933755398,0.004544699797406793,0.028945299796760082,0.00011720019392669201
55,0.9007026640341289,0.2664855389354166,0.553831616456907,0.1823193008142231,4,4,3.229044912368004,9.258962996643339,ok,,0.01971750007942319,0.0022694000508636236,0.004045900190249085,0.001669200137257576,0.005776099860668182,0.0015616000164300203,0.004151500063017011,0.00014950009062886238,0.013973500113934278,0.0033803002443164587,0.01962320040911436,9.429967030882835e-05
56,1.7926262489470504,0.3282646067542967,0.6605406210357109,0.2598768601722886,6,3,1.7982663234767637,4.691026809110559,ok,,0.03231389983557165,0.002871299860998988,0.008020900189876556,0.0017094002105295658,0.006863499991595745,0.0023719999007880688,0.008340399945154786,0.0020210000220686197,0.023224800126627088,0.006102400133386254,0.03219850012101233,0.00011539971455931664
57,1.1167127887395663,0.12294647131255605,0.30388093217534906,0.132321839603581,10,6,3.114986467155572,1.5231966733329245,ok,,0.027309700148180127,0.0027362999971956015,0.007324500009417534,0.0019081998616456985,0.004187700105831027,0.001579799922183156,0.005346700083464384,0.004103200044482946,0.016858900198712945,0.007591199828311801,0.027186400024220347,0.00012330012395977974
58,1.1262254385480372,0.12863746807770543,0.5579452497639492,0.17016720477058822,5,8,3.729392094599114,5.154896168595541,ok,,0.0250921999104321,0.003825700143352151,0.005958799971267581,0.003078700043261051,0.006528500001877546,0.0016849001403898,0.003565800143405795,0.00029390002600848675,0.016053100116550922,0.005057500209659338,0.02493630046956241,0.000155899440869689
