rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
240,304,-5.568887541944285,5.568887541944285,5.5179348633465155,True,1.4928777990739641,0.392278697377937,0.7681159113444651,0.22397513575326142,3.0,1.0,3.416910867475531,4.454485652567412,21.174705138377337,11.018054034693836,268.52446759271777,1957.5786158275478,0.7815648794251966,0.9976215877532565
241,41,-5.5562783343074695,5.5562783343074695,5.517934112798585,True,1.4399690011677155,0.3869078753385978,0.6236606380313675,0.14407198466338597,3.0,1.0,3.374651712530864,4.274650463417988,16.649405695071742,12.008099687218033,322.8107702368659,1503.6671390036279,0.6729272536092588,0.9942263979651957
242,361,-5.54494500868734,5.54494500868734,5.517875204417732,True,1.4363832887093562,0.3909950092165392,0.6238292170827444,0.29300121244548527,3.0,1.0,3.35674072530474,4.0505969410871066,17.66205086559922,9.484320693258319,325.56539446205977,2197.6938435547204,0.8224262623055323,0.9709423269876734
243,160,-5.547243327903654,5.547243327903654,5.5178019695460705,True,1.4801895153710003,0.3732335831427923,0.8094186132260792,0.10355826631511393,3.0,1.0,3.39777344994052,4.295334963940574,20.57446624545172,10.901447696006631,296.2094604564728,1244.8938901072506,0.7831298143675687,0.9410098950847092
244,196,-5.557005859525618,5.557005859525618,5.517660843737905,True,1.4131717191198514,0.3593835214149292,0.7660745761594492,0.24027636233691385,3.0,1.0,3.3726683971058673,4.467928671041329,18.57258067830675,8.898470043842165,330.6864555718611,1792.6451629860394,0.7165964490570915,0.975940101274219
245,184,-5.571527868729518,5.571527868729518,5.51759203856033,True,1.461789887635194,0.37196167207323566,0.7702500596175671,0.19172731587995143,3.0,1.0,3.397436229551878,4.4329565311299595,20.448472853701688,12.98478796081778,253.8952053218581,2202.449513679085,0.7026751561797459,0.9945584618743832
246,477,-5.539094403371978,5.539094403371978,5.517317124529285,True,1.3715992167458677,0.3923232732105377,0.7202109687486676,0.1236985119730331,3.0,1.0,3.314497198263058,3.9342738912709754,19.74921417952754,8.258269338071829,317.9893716421401,1747.4493397688027,0.8248725519544646,0.9550247511088716
247,359,-5.553962472255531,5.553962472255531,5.517232643992173,True,1.297604647130189,0.380196799522903,0.5788546907351663,0.13138711552259408,3.0,1.0,3.2791506808097064,4.1117674449971595,19.767081328182282,10.04998243840386,285.40756544074804,1929.9747198407506,0.9507635991173446,0.9993797128791151
248,317,-5.561609498336225,5.561609498336225,5.51714218634817,True,1.4654987412680218,0.3733331926211243,0.7873322736410395,0.1064921246097614,3.0,1.0,3.3924811778326003,4.401731213275532,21.093852279386155,10.661318295855235,264.0973625738801,2170.2734926421854,0.9378453874166846,0.9959044064190639
249,451,-5.5346786377725365,5.5346786377725365,5.516894646774464,True,1.5174484414059748,0.39822001578316546,0.7370863164012609,0.18081242954094012,3.0,1.0,3.4039262207133847,4.172754031537903,19.070959159842893,9.431406653347825,298.46945368450116,2632.1140029745197,0.8317285048931817,0.9877250237487254
