generation,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
21,11264,156.30364359985106,72.06485876194081,1982.2143892890201,0.0030286111804334968,28.5,-28.5,1.3550580472887062,0.27965050768920485,0.6665493248168994,0.2193461484874518,4.0,21.762287344305904,1.0077255797035907,20.471304987981423,13.5193212712319,285.48304717156816,1230.2224044414825,0.8827750990351986,0.9479335600308344
22,11776,165.2206885998603,71.27436702869399,1997.0152795983115,0.0032646296587628245,28.5,-28.5,1.3550580472887062,0.27965050768920485,0.6665493248168994,0.2193461484874518,4.0,21.762287344305904,1.0077255797035907,20.471304987981423,13.5193212712319,285.48304717156816,1230.2224044414825,0.8827750990351986,0.9479335600308344
23,12288,172.9451979000587,71.0514090544507,1996.0758257631776,0.0035429502385010657,28.5,-28.5,1.3550580472887062,0.27965050768920485,0.6665493248168994,0.2193461484874518,4.0,21.762287344305904,1.0077255797035907,20.471304987981423,13.5193212712319,285.48304717156816,1230.2224044414825,0.8827750990351986,0.9479335600308344
24,12800,180.93285780004226,70.74447480482459,1997.4987501124665,0.0037132981774222738,28.5,-28.5,1.3550580472887062,0.27965050768920485,0.6665493248168994,0.2193461484874518,4.0,21.762287344305904,1.0077255797035907,20.471304987981423,13.5193212712319,285.48304717156816,1230.2224044414825,0.8827750990351986,0.9479335600308344
25,13312,187.88221920002252,70.85289952759086,1987.2157800002383,0.0039942834357497925,28.5,-28.5,1.3550580472887062,0.27965050768920485,0.6665493248168994,0.2193461484874518,4.0,21.762287344305904,1.0077255797035907,20.471304987981423,13.5193212712319,285.48304717156816,1230.2224044414825,0.8827750990351986,0.9479335600308344
26,13824,195.78503330005333,70.60805295986961,1986.8555231190596,0.004198881746221733,28.5,-28.5,1.3550580472887062,0.27965050768920485,0.6665493248168994,0.2193461484874518,4.0,21.762287344305904,1.0077255797035907,20.471304987981423,13.5193212712319,285.48304717156816,1230.2224044414825,0.8827750990351986,0.9479335600308344
27,14336,202.58892649994232,70.76398620436977,1975.2420333744376,0.004758911850502734,28.5,-28.5,1.3550580472887062,0.27965050768920485,0.6665493248168994,0.2193461484874518,4.0,21.762287344305904,1.0077255797035907,20.471304987981423,13.5193212712319,285.48304717156816,1230.2224044414825,0.8827750990351986,0.9479335600308344
28,14848,210.8956923999358,70.40447261408607,1978.0561494062943,0.005515286991500019,28.5,-28.5,1.3582222431153288,0.27965050768920485,0.6459596058455963,0.24405189563371948,3.0,21.762287344305904,1.152200125641769,20.71156928350804,15.121611050017771,302.0533191233299,1230.2224044414825,0.8827750990351986,0.9479335600308344
29,15360,218.65139740006998,70.24880784043452,1975.1509565139654,0.005623691669720694,28.5,-28.5,1.3582222431153288,0.27965050768920485,0.6459596058455963,0.24405189563371948,3.0,21.762287344305904,1.152200125641769,20.71156928350804,15.121611050017771,302.0533191233299,1230.2224044414825,0.8827750990351986,0.9479335600308344
30,15872,225.29658750002272,70.44935822651286,1962.2606008066496,0.006320089403150897,28.5,-28.5,1.3582222431153288,0.27965050768920485,0.6459596058455963,0.24405189563371948,3.0,21.762287344305904,1.152200125641769,20.71156928350804,15.121611050017771,302.0533191233299,1230.2224044414825,0.8827750990351986,0.9479335600308344
