rank,population_index,optimization_objective,optimization_score,official_score,finite,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle,battery_cell_count
1482,1243,10.756350392909077,-10.756350392909077,-10.766028654709212,True,1.7482047450637501,0.15301995816029018,0.8291485142330539,0.09773558760251001,3.0,0.5997316122466201,1.8542185361179842,1.711892797543574,2.9299486469917873,16.49071289692074,10.141595248371239,340.47774977815214,1695.7846600083997,0.8799721800767998,0.7157756318049738,8
1483,1031,10.813547109725999,-10.813547109725999,-10.814236257987897,True,1.4240692105978712,0.26950319202012357,0.3336470490982232,0.2579576384834945,4.0,0.4122227101769987,1.9810264198967262,0.17128274278878397,3.3782822192242428,16.975244330242276,13.286501600184351,493.72042873874307,2564.8529181626445,0.6550919308337384,0.6346486783816457,6
1484,1485,10.823305551039901,-10.823305551039901,-10.825631512605042,True,1.5176651166211814,0.12013474341481922,0.4966074211522937,0.13050709433853624,4.0,0.0476916144112125,1.6344072162697083,1.0584053179029649,2.354900273028761,15.225774017162621,10.865342816344574,312.9784449003637,2180.997623130679,0.9850638839416206,0.7754720547236502,8
1485,1732,10.8383621450755,-10.8383621450755,-10.8383621450755,True,1.3457592198153931,0.352016861725993,0.6258165473490729,0.09435552599784908,1.0,0.38565593758057565,9.463525766888937,6.7716883908394125,2.8175922961880295,18.294813820134262,11.529762275685071,359.1575327551934,1490.9232306807464,0.7197703004715947,0.6328671826812293,8
1486,725,10.840242593914986,-10.840242593914986,-10.840242593914986,True,1.6984411606665384,0.20846308967395008,0.6235584127131407,0.285628391231544,1.0,0.3651976027182736,8.815146709746825,5.669582455749506,1.5751713224346313,22.0316329224378,13.791101194006526,337.4375466148888,1453.544359714616,0.5704855667427182,0.5431447409247019,8
1487,356,10.859714285714286,-10.859714285714286,-10.859714285714286,True,1.0786311553322727,0.1486201698705554,0.5743900648217691,0.2040919982364265,1.0,0.4892424375535168,10.164392936222763,8.101344430515862,3.96378706808835,16.80964544329462,11.069893274050646,464.09194550931375,1389.1532069525829,0.6767637180810713,0.8339873702424088,6
1488,2710,10.865403434035244,-10.865403434035244,-10.865403434035244,True,0.9787893224030734,0.2863346108421684,0.6781919030472636,0.16516090463846922,2.0,0.42221152402367434,2.148901209367314,1.4009530700103285,1.4450692692771554,18.322577248327434,9.017034287170318,421.02088620886207,1158.27938914299,0.9548184364102781,0.7169191944412887,6
1489,3013,10.867428571428572,-10.867428571428572,-10.867428571428572,True,1.1039387590451755,0.3906623559556503,0.472254896590091,0.14215790580785986,1.0,0.5836129062981794,10.044363757765566,7.767252440489083,3.763525745396563,18.166308578785138,12.798018362216734,380.8675713148568,2161.25267027891,0.8898457655511174,0.8057084137257171,6
1490,1754,10.873714285714286,-10.873714285714286,-10.873714285714286,True,0.9832293628864519,0.27406665064386765,0.6901140727513508,0.13551512552050457,1.0,0.3124046677603824,9.943257194442756,2.4435581200578786,2.962744454406805,16.61009140287251,9.827772192329139,430.46332291293527,1198.9793729932999,0.6692311585842532,0.6206424918693522,8
1491,2596,9.796969730692572,-9.796969730692572,-10.876600299249617,True,1.3972639375037184,0.20667706928914256,0.420227209597437,0.19045884574035976,1.0,0.5700530528186614,10.040921830638567,4.439178616673285,2.0282281961924595,17.21703592023838,12.368298651244949,410.2998113851519,2346.2949024165387,0.7168397953543397,0.7285005221794618,8
1492,2574,10.879999999999999,-10.879999999999999,-10.879999999999999,True,1.3491588130463108,0.27564278481118387,0.7161172712221742,0.19375487446426445,1.0,0.3059980300445515,9.843268001987113,1.8787448506552256,2.8500706475360285,20.657040714173327,14.763536456785207,417.12009522944896,2754.9760644713233,0.6145316488525353,0.627634985700035,6
1493,2211,10.881714285714285,-10.881714285714285,-10.881714285714285,True,1.059648396913135,0.30090673591941597,0.8531533438694185,0.11079992192813212,1.0,0.4169057629994274,9.814936660482108,7.635174229790298,1.8882013214752078,23.236460211496833,9.50575417372497,370.91693999595554,1909.274097532034,0.8581903301127742,0.7937493547797203,6
