generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,feasible_population_fraction,finite_energy_relative_std,best_objective,best_score,global_best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power,takeoff_flap_deflection_deg
42,4,24064,596.4089191999956,40.34815581275797,1535.43572815318,nan,0.814453125,3.4080584733908528,4.589782524808126,-4.589782524808126,5.540619515263685,1.4181670023851096,0.27994907792657614,0.3268571874126792,0.25829572435468434,0.0,0.4174730014041066,0.045105138761270785,5.236486386435182,4.313111831390884,1.6644559971786834,14.0,8.5,16.0,12.0,349.7050209902227,1422.6347245275974,1.8592874333262444
43,4,24576,602.532918500001,40.7878129898391,1506.3322962500024,nan,0.828125,3.6868201170151744,4.589782524808126,-4.589782524808126,5.540619515263685,1.4181670023851096,0.27994907792657614,0.3268571874126792,0.25829572435468434,0.0,0.4174730014041066,0.045105138761270785,5.236486386435182,4.313111831390884,1.6644559971786834,14.0,8.5,16.0,12.0,349.7050209902227,1422.6347245275974,1.8592874333262444
44,4,25088,613.3788498999929,40.901312466333685,1489.6343497571258,nan,0.8515625,4.049785383744478,4.589782524808126,-4.589782524808126,5.540619515263685,1.4181670023851096,0.27994907792657614,0.3268571874126792,0.25829572435468434,0.0,0.4174730014041066,0.045105138761270785,5.236486386435182,4.313111831390884,1.6644559971786834,14.0,8.5,16.0,12.0,349.7050209902227,1422.6347245275974,1.8592874333262444
45,4,25600,622.234775799996,41.142027086298,1468.4740708879906,nan,0.873046875,4.497719697282037,4.589782524808126,-4.589782524808126,5.540619515263685,1.4181670023851096,0.27994907792657614,0.3268571874126792,0.25829572435468434,0.0,0.4174730014041066,0.045105138761270785,5.236486386435182,4.313111831390884,1.6644559971786834,14.0,8.5,16.0,12.0,349.7050209902227,1422.6347245275974,1.8592874333262444
46,4,26112,629.4118232000037,41.486351284670064,1443.9447708705966,nan,0.888671875,4.783097737139871,4.589782524808126,-4.589782524808126,5.540619515263685,1.4181670023851096,0.27994907792657614,0.3268571874126792,0.25829572435468434,0.0,0.4174730014041066,0.045105138761270785,5.236486386435182,4.313111831390884,1.6644559971786834,14.0,8.5,16.0,12.0,349.7050209902227,1422.6347245275974,1.8592874333262444
47,4,26624,639.0346214000019,41.6628444037538,1425.538770815389,nan,0.896484375,5.430648819562738,4.589782524808126,-4.589782524808126,5.540619515263685,1.4181670023851096,0.27994907792657614,0.3268571874126792,0.25829572435468434,0.0,0.4174730014041066,0.045105138761270785,5.236486386435182,4.313111831390884,1.6644559971786834,14.0,8.5,16.0,12.0,349.7050209902227,1422.6347245275974,1.8592874333262444
48,4,27136,646.8513602000021,41.95090506049138,1403.5454042075517,nan,0.912109375,5.677556685321502,4.589782524808126,-4.589782524808126,5.540619515263685,1.4181670023851096,0.27994907792657614,0.3268571874126792,0.25829572435468434,0.0,0.4174730014041066,0.045105138761270785,5.236486386435182,4.313111831390884,1.6644559971786834,14.0,8.5,16.0,12.0,349.7050209902227,1422.6347245275974,1.8592874333262444
49,4,27648,653.9485440999997,42.278555781557266,1380.5580375444438,nan,0.921875,6.779388816610086,4.589782524808126,-4.589782524808126,5.540619515263685,1.4181670023851096,0.27994907792657614,0.3268571874126792,0.25829572435468434,0.0,0.4174730014041066,0.045105138761270785,5.236486386435182,4.313111831390884,1.6644559971786834,14.0,8.5,16.0,12.0,349.7050209902227,1422.6347245275974,1.8592874333262444
50,4,28160,661.0093946999987,42.601512513722305,1358.0738472927246,nan,0.927734375,6.801978222511416,4.589782524808126,-4.589782524808126,5.540619515263685,1.4181670023851096,0.27994907792657614,0.3268571874126792,0.25829572435468434,0.0,0.4174730014041066,0.045105138761270785,5.236486386435182,4.313111831390884,1.6644559971786834,14.0,8.5,16.0,12.0,349.7050209902227,1422.6347245275974,1.8592874333262444
51,5,29184,703.7850776999985,41.46720486796144,1370.5288355210498,nan,0.802734375,3.1305012437202007,5.258853886408005,-5.258853886408005,5.540619515263685,1.1704523048825561,0.39665186084806925,0.6272749962285161,0.16800242394208909,0.0,0.2576869662746787,0.040504327817354344,2.6064827157544954,0.8477924612299077,3.33456606236664,21.0,13.5,17.0,12.0,426.12070571631193,2851.4688182622194,5.3166719526052475
52,5,29696,710.3781411999953,41.80308807058237,1347.2688884827496,nan,0.814453125,3.250545996675249,5.258853886408005,-5.258853886408005,5.540619515263685,1.1704523048825561,0.39665186084806925,0.6272749962285161,0.16800242394208909,0.0,0.2576869662746787,0.040504327817354344,2.6064827157544954,0.8477924612299077,3.33456606236664,21.0,13.5,17.0,12.0,426.12070571631193,2851.4688182622194,5.3166719526052475
53,5,30208,719.8575566999934,41.963857597718366,1329.9063335643948,nan,0.83203125,3.5057535185679543,5.258853886408005,-5.258853886408005,5.540619515263685,1.1704523048825561,0.39665186084806925,0.6272749962285161,0.16800242394208909,0.0,0.2576869662746787,0.040504327817354344,2.6064827157544954,0.8477924612299077,3.33456606236664,21.0,13.5,17.0,12.0,426.12070571631193,2851.4688182622194,5.3166719526052475
54,5,30720,727.0087842999928,42.25533537339447,1308.615811739987,nan,0.8515625,3.5500100238491687,5.258853886408005,-5.258853886408005,5.540619515263685,1.1704523048825561,0.39665186084806925,0.6272749962285161,0.16800242394208909,0.0,0.2576869662746787,0.040504327817354344,2.6064827157544954,0.8477924612299077,3.33456606236664,21.0,13.5,17.0,12.0,426.12070571631193,2851.4688182622194,5.3166719526052475
55,5,31232,735.3075653999986,42.47474318180062,1289.801795045899,nan,0.861328125,3.990985269597546,5.258853886408005,-5.258853886408005,5.540619515263685,1.1704523048825561,0.39665186084806925,0.6272749962285161,0.16800242394208909,0.0,0.2576869662746787,0.040504327817354344,2.6064827157544954,0.8477924612299077,3.33456606236664,21.0,13.5,17.0,12.0,426.12070571631193,2851.4688182622194,5.3166719526052475
56,5,31744,743.5782730000064,42.6908654443696,1271.2789828709788,nan,0.873046875,4.193501875599987,5.258853886408005,-5.258853886408005,5.540619515263685,1.1704523048825561,0.39665186084806925,0.6272749962285161,0.16800242394208909,0.0,0.2576869662746787,0.040504327817354344,2.6064827157544954,0.8477924612299077,3.33456606236664,21.0,13.5,17.0,12.0,426.12070571631193,2851.4688182622194,5.3166719526052475
57,5,32256,753.5179330999963,42.80720946785939,1255.8632218333273,nan,0.888671875,4.328967045792102,5.258853886408005,-5.258853886408005,5.540619515263685,1.1704523048825561,0.39665186084806925,0.6272749962285161,0.16800242394208909,0.0,0.2576869662746787,0.040504327817354344,2.6064827157544954,0.8477924612299077,3.33456606236664,21.0,13.5,17.0,12.0,426.12070571631193,2851.4688182622194,5.3166719526052475
58,5,32768,765.0422334000032,42.83162232021146,1243.1936292750052,nan,0.904296875,4.582320334403334,5.258853886408005,-5.258853886408005,5.540619515263685,1.1704523048825561,0.39665186084806925,0.6272749962285161,0.16800242394208909,0.0,0.2576869662746787,0.040504327817354344,2.6064827157544954,0.8477924612299077,3.33456606236664,21.0,13.5,17.0,12.0,426.12070571631193,2851.4688182622194,5.3166719526052475
59,5,33280,773.8484901000047,43.005834379413486,1226.2522227738536,nan,0.916015625,5.312861338862106,5.258853886408005,-5.258853886408005,5.540619515263685,1.1704523048825561,0.39665186084806925,0.6272749962285161,0.16800242394208909,0.0,0.2576869662746787,0.040504327817354344,2.6064827157544954,0.8477924612299077,3.33456606236664,21.0,13.5,17.0,12.0,426.12070571631193,2851.4688182622194,5.3166719526052475
