generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
132,1,68096,618.1126242919709,110.16762532233004,915.5502780866034,0.0,nan,nan,1.2855438206228416,0.29749199194433235,0.5762970031878003,0.2545817419807107,0.0,0.4535103058320009,0.05852675878001831,0.5674555849964946,0.45262302275271793,2.6005441842284562,11.595691531896804,5.0,546.5411982020859,1533.5991645952772,0.9262782524991406,0.8476826228487603
133,1,68608,625.1812607499887,109.74097323022048,914.4442321417746,0.0,nan,nan,1.2855438206228416,0.29749199194433235,0.5762970031878003,0.2545817419807107,0.0,0.4535103058320009,0.05852675878001831,0.5674555849964946,0.45262302275271793,2.6005441842284562,11.595691531896804,5.0,546.5411982020859,1533.5991645952772,0.9262782524991406,0.8476826228487603
134,1,69120,631.4795090839616,109.45723337922243,912.1370686768335,0.0,nan,nan,1.4658726014951007,0.2938451417934553,0.6319109537419847,0.15229475388189082,0.0,0.45236706077421673,0.08538056388809774,0.7200253503593785,0.6588331289028062,2.478298394547277,11.7363408587956,5.0,537.7289683846672,2079.472151042462,0.9757829635427453,0.8148026961250663
135,1,69632,636.6079401249881,109.37972276363509,908.1025028253506,0.0,nan,nan,1.4658726014951007,0.2938451417934553,0.6319109537419847,0.15229475388189082,0.0,0.45236706077421673,0.08538056388809774,0.7200253503593785,0.6588331289028062,2.478298394547277,11.7363408587956,5.0,537.7289683846672,2079.472151042462,0.9757829635427453,0.8148026961250663
136,1,70144,643.4751475419616,109.00809497918618,906.5014852233475,0.0,nan,nan,1.5233189462046952,0.2686965381831356,0.7329072113120354,0.17935207289419103,0.0,0.4641174831600965,0.09209596683393825,2.9657127296519192,0.8591436550462035,2.664632418400478,11.448603362606367,5.0,601.2317690031284,2787.7256985436884,0.9382561605838773,0.7330713739224151
137,1,70656,652.3007334169815,108.31813668195485,907.5488464931917,0.0,nan,nan,1.5233189462046952,0.2686965381831356,0.7329072113120354,0.17935207289419103,0.0,0.4641174831600965,0.09209596683393825,2.9657127296519192,0.8591436550462035,2.664632418400478,11.448603362606367,5.0,601.2317690031284,2787.7256985436884,0.9382561605838773,0.7330713739224151
138,1,71168,666.7484506669571,106.7389056979581,916.1795257366101,0.0,nan,nan,1.5233189462046952,0.2686965381831356,0.7329072113120354,0.17935207289419103,0.0,0.4641174831600965,0.09209596683393825,2.9657127296519192,0.8591436550462035,2.664632418400478,11.448603362606367,5.0,601.2317690031284,2787.7256985436884,0.9382561605838773,0.7330713739224151
139,1,71680,680.663318625011,105.30903904855454,923.7573609910863,0.0,nan,nan,1.5233189462046952,0.2686965381831356,0.7329072113120354,0.17935207289419103,0.0,0.4641174831600965,0.09209596683393825,2.9657127296519192,0.8591436550462035,2.664632418400478,11.448603362606367,5.0,601.2317690031284,2787.7256985436884,0.9382561605838773,0.7330713739224151
140,1,72192,693.0300053340034,104.16864990601283,928.955113532813,1.4268826638895726e-05,nan,nan,1.5233189462046952,0.2686965381831356,0.7329072113120354,0.17935207289419103,0.0,0.4641174831600965,0.09209596683393825,2.9657127296519192,0.8591436550462035,2.664632418400478,11.448603362606367,5.0,601.2317690031284,2787.7256985436884,0.9382561605838773,0.7330713739224151
141,2,72704,717.9620090840035,101.2644110414113,950.5412514633285,0.0,nan,nan,0.9794530882052265,0.38149239515288424,0.42938118744198084,0.2647186060024185,0.0,0.47437475882083224,0.1246660692313081,2.0170019160552712,0.7478999621943601,2.1817929739021737,10.437284434249774,5.0,625.7991390866032,2169.1523403133087,0.7487677634839122,0.7163726028079257
