case_id,design_wing_span,design_wing_chord,design_tail_arm,design_nose_length,design_ducks_num,design_pucks_num,design_banner_length,design_batt_capacity,coarse_status,coarse_velocity,coarse_alpha,coarse_elevator_deflection,coarse_elapsed_seconds,full_status,full_velocity,full_alpha,full_elevator_deflection,full_elapsed_seconds
113,1.3976425354025057,0.239533367729651,0.33010973507589125,0.1598049759461838,8,5,1.858059624539956,6.50142611446025,ok,28.214459526709273,0.4052201075363426,-2.5172633571414234,0.013490299927070737,ok,29.876758345287268,-0.4840806039057066,-0.9321770433139119,1.5932350000366569
114,1.5719882023071166,0.2540114959077384,0.37429417914424296,0.09500860327610301,4,10,1.5635315032815051,1.5328363671651597,ok,27.763486535108743,0.11374253887385376,-2.4701912105614867,0.01571850012987852,ok,29.702137419825764,-0.7789472737104355,-0.8546930912560367,1.6377915001939982
115,1.6730643436889623,0.22411638452599902,0.3229378180853109,0.19847951650100765,6,9,2.525731975624103,7.549727669523304,ok,27.949513253109618,0.05740317560651283,-1.9761888357716153,0.016386500094085932,ok,29.715102503546298,-0.7004841283190438,-0.7022258316688766,1.561233000131324
116,0.8690469518279702,0.1854995299153549,0.3912627727253759,0.23432845049924017,6,7,4.2373512595390554,5.889470750001875,ok,29.737103832938455,2.079648394154275,-1.8247355589851404,0.015112000051885843,ok,30.332497626570664,1.1108941475960172,-0.8426896645253477,1.5272854000795633
117,1.7719702357114238,0.28065315982731276,0.35383916881148064,0.12198987758012131,7,4,4.551354483410619,4.460995656903521,ok,26.862280423320215,-0.044913440979740066,-2.5655015060288857,0.019568599993363023,ok,29.255856843114362,-0.9622266292334346,-0.8939623822714591,1.6031531998887658
118,1.3995841965661184,0.244368601145886,0.8204221812870358,0.24708617423359075,10,3,4.154012821115692,8.229661141487899,ok,28.652428557160846,0.12388853093037666,-2.3287450225324813,0.01592610008083284,ok,29.96824251337754,-0.771273748372069,-0.4874336514664071,1.7495779998134822
119,1.2337511798748257,0.32279168042195583,0.3048607695840264,0.20912860730956212,3,9,4.208056999851623,3.214066417738306,ok,27.14042986897848,0.91882513841427,-3.9731726251131216,0.01961360010318458,ok,29.416020167115473,-0.39873206953427565,-1.5277314417466745,1.7641066999640316
120,1.1199738630770055,0.12418298932362189,0.41715349985588807,0.14502671285920524,3,8,4.0519613743541285,9.514871160575701,ok,30.191919221568444,1.6662895803666253,3.399558771213667,0.017439099960029125,ok,30.63801743398296,0.87173482144683,1.0192561871251513,1.659082300029695
121,1.790010278911371,0.19090144121830865,0.5772631577278531,0.17053291945019652,9,6,2.2531282647405098,2.638302486690426,ok,28.665623988705,-0.1328530656080745,-1.1754457948132846,0.017364999977871776,ok,30.007578071377907,-0.7681448680532235,-0.14980032029980442,1.6567116999067366
122,1.4909786407963952,0.16030726505529777,0.7373873066248111,0.258871544948592,10,4,2.6339131122691852,1.0813447419272473,ok,29.548738232307944,0.39101422525657853,-0.2065849970754392,0.017103400081396103,ok,30.31371056441578,-0.20490747614610882,0.13797344173148401,1.654116400051862
123,1.1003829786226844,0.20066567039082053,0.3426287084719949,0.13654944777467237,5,3,1.8440314893368144,7.792500295232337,ok,29.277370580823046,1.0837714426376979,-2.032421183593915,0.020380999892950058,ok,30.297418526095377,0.22239169969324205,-0.7347114891854006,1.5698989999946207
