generation,island,estimated_completed_candidates,elapsed_seconds,estimated_candidates_per_second,eta_seconds,convergence,best_objective,best_score,wing_span,wing_chord,tail_arm,nose_length,extra_shipping_containers,sensor_length_m,sensor_diameter_m,sensor_weight_kg,mission3_sensor_weight_kg,batt_capacity,prop_diameter_in,prop_pitch_in,mission3_prop_diameter_in,mission3_prop_pitch_in,motor_kv,motor_max_power
23,2,13312,810.5409354000003,16.42359986843916,2681.0200170923085,0.0,-5.684110278730072,5.684110278730072,1.8050831154599787,0.369163962751627,0.8273213993757964,0.24832651752978563,0.0,0.22249200050532814,0.06780462954919785,6.3065614842153295,4.288502346876037,2.9533600644082636,11.790093807503581,7.498341262292307,13.30154204275459,6.710949011039898,488.7239024974406,2644.0595258027315
24,2,13824,828.4833712999971,16.685911243225515,2608.1883911296204,0.0,-5.684110278730072,5.684110278730072,1.8050831154599787,0.369163962751627,0.8273213993757964,0.24832651752978563,0.0,0.22249200050532814,0.06780462954919785,6.3065614842153295,4.288502346876037,2.9533600644082636,11.790093807503581,7.498341262292307,13.30154204275459,6.710949011039898,488.7239024974406,2644.0595258027315
25,2,14336,847.2251894999936,16.921121064000314,2541.6755684999807,0.0,-5.684110278730072,5.684110278730072,1.8050831154599787,0.369163962751627,0.8273213993757964,0.24832651752978563,0.0,0.22249200050532814,0.06780462954919785,6.3065614842153295,4.288502346876037,2.9533600644082636,11.790093807503581,7.498341262292307,13.30154204275459,6.710949011039898,488.7239024974406,2644.0595258027315
26,2,14848,870.2555101999897,17.061655830926995,2490.7312878137636,0.0,-5.684110278730072,5.684110278730072,1.8050831154599787,0.369163962751627,0.8273213993757964,0.24832651752978563,0.0,0.22249200050532814,0.06780462954919785,6.3065614842153295,4.288502346876037,2.9533600644082636,11.790093807503581,7.498341262292307,13.30154204275459,6.710949011039898,488.7239024974406,2644.0595258027315
27,2,15360,900.1942027999903,17.06298480063947,2460.5308209866403,0.0,-5.684110278730072,5.684110278730072,1.8050831154599787,0.369163962751627,0.8273213993757964,0.24832651752978563,0.0,0.22249200050532814,0.06780462954919785,6.3065614842153295,4.288502346876037,2.9533600644082636,11.790093807503581,7.498341262292307,13.30154204275459,6.710949011039898,488.7239024974406,2644.0595258027315
28,2,15872,917.2700729999924,17.303518851421344,2396.7379326773994,0.0,-5.684110278730072,5.684110278730072,1.8050831154599787,0.369163962751627,0.8273213993757964,0.24832651752978563,0.0,0.22249200050532814,0.06780462954919785,6.3065614842153295,4.288502346876037,2.9533600644082636,11.790093807503581,7.498341262292307,13.30154204275459,6.710949011039898,488.7239024974406,2644.0595258027315
29,2,16384,939.6618902999908,17.436058830447347,2349.154725749977,0.0,-5.684110278730072,5.684110278730072,1.8050831154599787,0.369163962751627,0.8273213993757964,0.24832651752978563,0.0,0.22249200050532814,0.06780462954919785,6.3065614842153295,4.288502346876037,2.9533600644082636,11.790093807503581,7.498341262292307,13.30154204275459,6.710949011039898,488.7239024974406,2644.0595258027315
30,2,16896,968.9724898999993,17.437027548371073,2319.66141521515,0.0,-5.684110278730072,5.684110278730072,1.8050831154599787,0.369163962751627,0.8273213993757964,0.24832651752978563,0.0,0.22249200050532814,0.06780462954919785,6.3065614842153295,4.288502346876037,2.9533600644082636,11.790093807503581,7.498341262292307,13.30154204275459,6.710949011039898,488.7239024974406,2644.0595258027315
31,3,17920,1102.4096245999972,16.255300752206484,2425.3011741199934,0.0,-4.836692164439686,4.836692164439686,1.712637105204165,0.1837482289597392,0.6784206116572022,0.12547082111239433,0.0,0.2205764867484569,0.05725723228333518,1.9833792810993813,0.14731343796565,2.6730630667628468,12.326442571356893,8.544682225500875,11.991527760401368,8.93637465171821,566.6595355607569,1783.3052575588226
32,3,18432,1126.3512036999891,16.36434527654616,2377.8525411444216,0.0,-4.836692164439686,4.836692164439686,1.712637105204165,0.1837482289597392,0.6784206116572022,0.12547082111239433,0.0,0.2205764867484569,0.05725723228333518,1.9833792810993813,0.14731343796565,2.6730630667628468,12.326442571356893,8.544682225500875,11.991527760401368,8.93637465171821,566.6595355607569,1783.3052575588226
