score,objective,generation,wing_span,wing_chord,tail_arm,nose_length,ducks_num,pucks_num,banner_length,batt_capacity,prop_diameter_in,prop_pitch_in,motor_kv,motor_max_power,cruise_throttle,mission3_cruise_throttle
5.504451766018027,-5.504451766018027,236,1.5215467729596333,0.3978098950578088,0.7795836374863243,0.16578816691677675,68.0,21.0,2.1980687156949514,4.498177164182558,17.946067957213447,12.087528681634032,307.95529431669684,1756.837358911971,0.9375915596081692,0.9994108444931676
5.5043647005006555,-5.5043647005006555,236,1.506284598074253,0.3986654419463592,0.7961669733621243,0.1352940557314025,66.0,21.0,2.1643526612888637,4.469450894886368,17.664902546360292,12.920961764712212,297.3338581543019,1834.3868835760006,0.9949774635461144,0.9968095024317996
5.504277191135529,-5.504277191135529,255,1.5232760551484112,0.39889289583074716,0.8122576692534239,0.11749232251293124,66.0,22.0,2.245180641024741,4.298126760478015,18.192830256891668,11.867196168641106,309.5113110780503,1932.5612641975247,0.9388974492764028,0.9849518822376844
5.504191232265477,-5.504191232265477,276,1.523507323624575,0.39776943548052407,0.7631612345458398,0.17344536602030994,66.0,22.0,2.1606872831543464,4.499332020130692,18.090961567947954,11.86771423386516,312.56628328161,1851.3966471855424,0.8932788495119819,0.9931364149851158
5.5041823381563555,-5.5041823381563555,294,1.5196599655039633,0.39937022623916174,0.7935663061144116,0.12998309204939007,66.0,21.0,2.2490487443334466,4.378094743199452,18.2706805541208,12.070526313257595,309.92440166999563,1904.369080974394,0.9435460824641037,0.978889500086934
5.504065356455698,-5.504065356455698,277,1.5124605424044988,0.3927322907248552,0.8133161762386777,0.23778161234079767,63.0,21.0,2.1954555026719804,4.471441747262543,17.983597948047954,11.497606837714578,329.59302275956276,1550.4222643462256,0.9768619848861183,0.9712226151288939
5.5040609195163706,-5.5040609195163706,260,1.5214051709136243,0.3993462087642101,0.8344053571669496,0.15427496992653925,68.0,22.0,2.242585876466033,4.420162575697184,18.510486467028244,11.330538766149472,313.9918371575727,1938.7465909537616,0.9236261850092912,0.9877797289436756
5.503959304322597,-5.503959304322597,212,1.508197909571711,0.39888384379249964,0.7833395286554892,0.1844252949152372,66.0,21.0,2.184668165586637,4.495981449484521,16.585321497171492,12.076935635823954,330.5332789012812,1751.15917408773,0.9497529913313676,0.9960644692870331
5.503950333729833,-5.503950333729833,275,1.50608467327117,0.39193933278501214,0.7868410192364391,0.22653596255038333,66.0,21.0,2.1443208716510878,4.492802924863753,18.859687509782837,11.777841424895431,310.3360069646826,1732.2985708030997,0.9466117573689372,0.9871447678938607
5.503912255279589,-5.503912255279589,271,1.5127117838730906,0.39891395380096384,0.8061851098524726,0.16008197177722985,68.0,21.0,2.1686461911628205,4.488557590034325,17.592953016103504,12.24477558832293,313.2182400859066,1946.2300008065558,0.8984616062634032,0.995024645216379
