test_name,sample_index,prop_diameter_in,prop_pitch_in,battery_capacity_mah,battery_capacity_ah,battery_cells,battery_voltage_v,motor_kv,motor_max_current_a,motor_max_power_w,motor_no_load_current_a,motor_resistance_ohm,commanded_throttle,commanded_throttle_percent,estimated_rpm,measured_static_thrust_g,measured_static_thrust_n,predicted_static_thrust_n,correction_factor,model_calculated_throttle,model_current_a,model_power_w,model_voltage_required_v,model_voltage_sag_v,raw_load_cell_g,zero_throttle_baseline_g
14x8.5_4200,37,14.0,8.5,4200.0,4.2,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.83,83.0,8859.0,2384.26,23.381603,41.090605,0.5690255229875539,0.8318141621801818,45.46352616990831,970.9043970385,17.763954880256996,21.355677371130273,3279.85,895.59
14x8.5_4200,38,14.0,8.5,4200.0,4.2,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.89,89.0,9407.0,2602.13,25.518178,46.563879,0.5480251763389385,0.8899713231520818,51.247441194999006,1088.9190474183301,18.9103436745046,21.24826180637859,3497.72,895.59
14x8.5_4200,39,14.0,8.5,4200.0,4.2,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.93,93.0,9773.5,2802.25,27.480685,50.3377295,0.5459261924000763,0.9293893839371636,55.238939381139964,1169.6367035307467,19.679015337790545,21.174133982921685,3697.84,895.59
14x8.5_4200,40,14.0,8.5,4200.0,4.2,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.99,99.0,10321.84375,2915.6,28.592269,56.388582687500005,0.5070577701598842,0.9896270483508247,61.666541346410575,1298.3744890600701,20.836364180773337,21.05476423213809,3811.19,895.59
14x8.5_4200,41,14.0,8.5,4200.0,4.2,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.99,99.0,10321.84375,2898.14,28.421045,56.388582687500005,0.504021268942095,0.9896270483508247,61.666541346410575,1298.3744890600701,20.836364180773337,21.05476423213809,3793.73,895.59
14x8.5_4200,42,14.0,8.5,4200.0,4.2,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.98,98.0,10230.453125,2917.57,28.611588,55.332655406250005,0.5170832267118746,0.9794533415679537,60.54182748358084,1275.9584738845351,20.642617557044986,21.075651775304927,3813.16,895.59
14x8.5_4200,43,14.0,8.5,4200.0,4.2,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.96,96.0,10047.671875,2884.77,28.28993,53.22080084375,0.531557765976801,0.9591663057388513,58.29239975792135,1230.985488477304,20.255124309588282,21.117426861638602,3780.36,895.59
14x8.5_4200,44,14.0,8.5,4200.0,4.2,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.92,92.0,9682.109375,2844.1,27.891093,49.396680234375,0.5646349687400789,0.9195342686038726,54.24361737863576,1149.5642910312026,19.487338983827403,21.192618534396765,3739.69,895.59
14x8.5_4200,45,14.0,8.5,4200.0,4.2,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.86,86.0,9133.0,2803.33,27.491276,43.742501,0.6284797478772419,0.860681088474525,48.26334705310918,1028.1869350161735,18.335675091311284,21.303680697585115,3698.92,895.59
14x8.5_4200,46,14.0,8.5,4200.0,4.2,6,22.2,520.0,100.0,2000.0,1.4,0.016,0.76,76.0,8174.0,2341.78,22.965017,34.86053,0.6587684409846896,0.760867503209164,38.898519057750704,835.4467913627506,16.34160707415478,21.47759893178463,3237.37,895.59
